time;NETWORK_B1_U_value;NETWORK_B2_U_value;NETWORK_B5_U_value;
270.000000;139.401014;134.967274;133.077008;
271.000000;139.401014;134.967274;133.077008;
272.000000;139.401014;134.967274;133.077008;
273.000000;139.401014;134.967274;133.077008;
274.000000;139.401014;134.967274;133.077008;
275.000000;139.401014;134.967274;133.077008;
276.000000;139.401014;134.967274;133.077008;
277.000000;139.401014;134.967274;133.077008;
278.000000;139.401014;134.967274;133.077008;
279.000000;139.401014;134.967274;133.077008;
280.000000;139.401014;134.967274;133.077008;
281.000000;139.401014;134.967274;133.077008;
282.000000;139.401014;134.967274;133.077008;
283.000000;139.401014;134.967274;133.077008;
284.000000;139.401014;134.967274;133.077008;
285.000000;139.401014;134.967274;133.077008;
286.000000;139.401014;134.967274;133.077008;
287.000000;139.401014;134.967274;133.077008;
288.000000;139.401014;134.967274;133.077008;
289.000000;139.401014;134.967274;133.077008;
290.000000;139.401014;134.967274;133.077008;
291.000000;139.401014;134.967274;133.077008;
292.000000;139.401014;134.967274;133.077008;
293.000000;139.401014;134.967274;133.077008;
294.000000;139.401014;134.967274;133.077008;
295.000000;139.401014;134.967274;133.077008;
296.000000;139.401014;134.967274;133.077008;
297.000000;139.401014;134.967274;133.077008;
298.000000;139.401014;134.967274;133.077008;
299.000000;139.401014;134.967274;133.077008;
300.000000;139.401014;134.967274;133.077008;
