time;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;
2.293173;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293301;1.000000;1.000000;1.000000;1.000000;1.000000;
2.293557;1.000000;1.000000;1.000000;1.000000;1.000000;
2.294069;1.000000;1.000000;1.000000;1.000000;1.000000;
2.295093;1.000000;1.000000;1.000000;1.000000;1.000000;
2.297141;1.000000;1.000000;1.000000;1.000000;1.000000;
2.301237;1.000000;1.000000;1.000000;1.000000;1.000000;
2.309429;1.000000;1.000000;1.000000;1.000000;1.000000;
2.323265;1.000000;1.000000;1.000000;1.000000;1.000000;
2.323265;1.000000;1.000000;1.000000;1.000000;1.000000;
2.323265;1.000000;1.000000;1.000000;1.000000;1.000000;
2.325813;1.000000;1.000000;1.000000;1.000000;1.000000;
2.358581;1.000000;1.000000;1.000000;1.000000;1.000000;
2.377733;1.000000;1.000000;1.000000;1.000000;1.000000;
2.377733;1.000000;1.000000;1.000000;1.000000;1.000000;
2.377733;1.000000;1.000000;1.000000;1.000000;1.000000;
2.424117;1.000000;1.000000;1.000000;1.000000;1.000000;
2.555189;1.000000;1.000000;1.000000;1.000000;1.000000;
2.682569;1.000000;1.000000;1.000000;1.000000;1.000000;
2.682569;1.000000;1.000000;1.000000;1.000000;1.000000;
2.682569;1.000000;1.000000;1.000000;1.000000;1.000000;
2.686261;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947187;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947187;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947188;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947189;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947191;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947195;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947203;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947219;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947251;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947315;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947443;1.000000;1.000000;1.000000;1.000000;1.000000;
2.947699;1.000000;1.000000;1.000000;1.000000;1.000000;
2.948211;1.000000;1.000000;1.000000;1.000000;1.000000;
2.949235;1.000000;1.000000;1.000000;1.000000;1.000000;
2.951283;1.000000;1.000000;1.000000;1.000000;1.000000;
2.955379;1.000000;1.000000;1.000000;1.000000;1.000000;
2.963571;1.000000;1.000000;1.000000;1.000000;1.000000;
2.979955;1.000000;1.000000;1.000000;1.000000;1.000000;
3.012723;1.000000;1.000000;1.000000;1.000000;1.000000;
3.078259;1.000000;1.000000;1.000000;1.000000;1.000000;
3.209331;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334704;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334704;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334705;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334706;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334708;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334712;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334720;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334736;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334768;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334832;1.000000;1.000000;1.000000;1.000000;1.000000;
3.334960;1.000000;1.000000;1.000000;1.000000;1.000000;
3.335216;1.000000;1.000000;1.000000;1.000000;1.000000;
3.335728;1.000000;1.000000;1.000000;1.000000;1.000000;
3.336752;1.000000;1.000000;1.000000;1.000000;1.000000;
3.338800;1.000000;1.000000;1.000000;1.000000;1.000000;
3.342896;1.000000;1.000000;1.000000;1.000000;1.000000;
3.351088;1.000000;1.000000;1.000000;1.000000;1.000000;
3.367472;1.000000;1.000000;1.000000;1.000000;1.000000;
3.400240;1.000000;1.000000;1.000000;1.000000;1.000000;
3.465776;1.000000;1.000000;1.000000;1.000000;1.000000;
3.487355;1.000000;1.000000;1.000000;1.000000;1.000000;
3.487355;1.000000;1.000000;1.000000;1.000000;1.000000;
3.487355;1.000000;1.000000;1.000000;1.000000;1.000000;
3.596848;1.000000;1.000000;1.000000;1.000000;1.000000;
3.858992;1.000000;1.000000;1.000000;1.000000;1.000000;
4.121136;1.000000;1.000000;1.000000;1.000000;1.000000;
4.276573;1.000000;1.000000;1.000000;1.000000;1.000000;
4.276573;1.000000;1.000000;1.000000;1.000000;1.000000;
4.276573;1.000000;1.000000;1.000000;1.000000;1.000000;
4.383280;1.000000;1.000000;1.000000;1.000000;1.000000;
4.645424;1.000000;1.000000;1.000000;1.000000;1.000000;
5.132170;1.000000;1.000000;1.000000;1.000000;1.000000;
5.132170;1.000000;1.000000;1.000000;1.000000;1.000000;
5.132170;1.000000;1.000000;1.000000;1.000000;1.000000;
5.169712;1.000000;1.000000;1.000000;1.000000;1.000000;
5.694000;1.000000;1.000000;1.000000;1.000000;1.000000;
6.742576;1.000000;1.000000;1.000000;1.000000;1.000000;
8.839728;1.000000;1.000000;1.000000;1.000000;1.000000;
13.034032;1.000000;1.000000;1.000000;1.000000;1.000000;
20.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
