time;WT4A_WT_measurementsPQ_PPu;WT4A_WT_measurementsPQ_QPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_gridProtection_fOCB;
5.999999;0.368203;-0.135470;0.736401;0.729837;0.098101;-0.471039;-0.248932;-1.000000;
6.000092;0.368000;-0.136592;0.735985;0.729421;0.098077;-0.470819;-0.250566;-1.000000;
6.000277;0.367658;-0.138607;0.735236;0.728670;0.098040;-0.470451;-0.253517;-1.000000;
6.000463;0.367377;-0.140406;0.734564;0.727996;0.098015;-0.470153;-0.256167;-1.000000;
6.000793;0.367082;-0.142926;0.733618;0.727042;0.098012;-0.469857;-0.259928;-1.000000;
6.000793;0.367082;-0.142927;0.733618;0.727042;0.098012;-0.469858;-0.259928;-1.000000;
6.000793;0.367082;-0.142929;0.733617;0.727041;0.098012;-0.469858;-0.259932;-1.000000;
6.000793;0.367082;-0.142930;0.733617;0.727041;0.098012;-0.469858;-0.259932;-1.000000;
6.000793;0.367082;-0.142930;0.733617;0.727041;0.098012;-0.469858;-0.259932;-1.000000;
6.000793;0.367082;-0.142930;0.733617;0.727041;0.098012;-0.469858;-0.259932;-1.000000;
6.001004;0.366908;-0.144354;0.733082;0.726501;0.098008;-0.469682;-0.262060;-1.000000;
6.001424;0.366672;-0.146406;0.732308;0.725720;0.098007;-0.469446;-0.265137;-1.000000;
6.001845;0.366535;-0.147757;0.731797;0.725204;0.098012;-0.469314;-0.267174;-1.000000;
6.002686;0.366603;-0.148278;0.731596;0.724995;0.098054;-0.469415;-0.268010;-1.000000;
6.003205;0.366818;-0.147565;0.731861;0.725257;0.098097;-0.469664;-0.266992;-1.000000;
6.003205;0.366817;-0.147565;0.731861;0.725257;0.098097;-0.469662;-0.266991;-1.000000;
6.003523;0.366949;-0.147130;0.732022;0.725416;0.098124;-0.469816;-0.266372;-1.000000;
6.003987;0.367244;-0.145929;0.732470;0.725861;0.098175;-0.470150;-0.264633;-1.000000;
6.003987;0.367243;-0.145930;0.732470;0.725861;0.098175;-0.470149;-0.264633;-1.000000;
6.004325;0.367477;-0.144959;0.732831;0.726220;0.098215;-0.470414;-0.263227;-1.000000;
6.005001;0.368070;-0.142370;0.733795;0.727180;0.098312;-0.471082;-0.259473;-1.000000;
6.005341;0.368457;-0.140676;0.734423;0.727805;0.098375;-0.471515;-0.257027;-1.000000;
6.005341;0.368451;-0.140681;0.734423;0.727805;0.098373;-0.471509;-0.257026;-1.000000;
6.005368;0.368479;-0.140559;0.734469;0.727850;0.098378;-0.471540;-0.256849;-1.000000;
6.005368;0.368479;-0.140559;0.734469;0.727850;0.098378;-0.471540;-0.256849;-1.000000;
6.005369;0.368480;-0.140555;0.734470;0.727851;0.098378;-0.471541;-0.256845;-1.000000;
6.005369;0.368480;-0.140555;0.734470;0.727851;0.098378;-0.471541;-0.256845;-1.000000;
6.005369;0.368480;-0.140555;0.734470;0.727851;0.098378;-0.471541;-0.256844;-1.000000;
6.005369;0.368480;-0.140555;0.734470;0.727851;0.098378;-0.471541;-0.256844;-1.000000;
6.005369;0.368480;-0.140555;0.734470;0.727851;0.098378;-0.471541;-0.256844;-1.000000;
6.005369;0.368480;-0.140555;0.734470;0.727851;0.098378;-0.471541;-0.256844;-1.000000;
6.005532;0.368649;-0.139813;0.734745;0.728125;0.098406;-0.471732;-0.255773;-1.000000;
6.005532;0.368649;-0.139814;0.734745;0.728125;0.098406;-0.471731;-0.255773;-1.000000;
6.005532;0.368649;-0.139814;0.734745;0.728125;0.098406;-0.471731;-0.255773;-1.000000;
6.005532;0.368649;-0.139814;0.734745;0.728125;0.098406;-0.471731;-0.255773;-1.000000;
6.005958;0.369165;-0.137439;0.735625;0.729002;0.098486;-0.472308;-0.252338;-1.000000;
6.006810;0.370478;-0.131165;0.737942;0.731314;0.098681;-0.473764;-0.243283;-1.000000;
6.008514;0.373728;-0.115662;0.743599;0.736956;0.099169;-0.477360;-0.221182;-1.000000;
6.009766;0.376352;-0.103572;0.747938;0.741279;0.099580;-0.480265;-0.204260;-1.000000;
6.009766;0.376333;-0.103591;0.747937;0.741280;0.099574;-0.480243;-0.204256;-1.000000;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;-1.000000;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;-1.000000;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;-1.000000;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;-1.000000;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;-1.000000;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;-1.000000;
6.010257;0.377428;-0.098474;0.749761;0.743097;0.099744;-0.481450;-0.197142;-1.000000;
6.011235;0.379841;-0.087048;0.753800;0.747122;0.100113;-0.484101;-0.181379;-1.000000;
6.013191;0.385166;-0.061802;0.762566;0.755857;0.100932;-0.489921;-0.147185;-1.000000;
6.015147;0.390705;-0.035902;0.771343;0.764596;0.101804;-0.495951;-0.112989;-1.000000;
6.019059;0.400924;0.009806;0.786337;0.779495;0.103502;-0.507069;-0.054749;-1.000000;
6.022580;0.409034;0.043604;0.797047;0.790107;0.104949;-0.515922;-0.013339;-1.000000;
6.026101;0.415871;0.069224;0.804956;0.797909;0.106276;-0.523469;0.017029;-1.000000;
6.029621;0.421526;0.087282;0.810415;0.803256;0.107485;-0.529823;0.037751;-1.000000;
6.033142;0.426204;0.099085;0.813919;0.806642;0.108594;-0.535203;0.050770;-1.000000;
6.036663;0.430140;0.106140;0.815966;0.808568;0.109628;-0.539849;0.058060;-1.000000;
6.040184;0.433553;0.109849;0.817001;0.809480;0.110607;-0.543978;0.061363;-1.000000;
6.047225;0.439423;0.111205;0.817248;0.809473;0.112463;-0.551296;0.060785;-1.000000;
6.054266;0.444962;0.110452;0.816858;0.808824;0.114285;-0.558287;0.057687;-1.000000;
6.068349;0.456010;0.108944;0.816056;0.807491;0.117920;-0.572223;0.051353;-1.000000;
6.096515;0.478552;0.108916;0.815306;0.805630;0.125236;-0.600514;0.041843;-1.000000;
6.112492;0.491402;0.109522;0.815031;0.804687;0.129387;-0.616602;0.036892;-1.000000;
6.112492;0.491415;0.109512;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491415;0.109512;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491416;0.109523;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491416;0.109523;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491416;0.109523;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491416;0.109523;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491416;0.109523;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491416;0.109523;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.112493;0.491416;0.109523;0.815039;0.804703;0.129391;-0.616622;0.036954;-1.000000;
6.121263;0.495243;0.109476;0.814885;0.804346;0.130635;-0.621422;0.035179;-1.000000;
6.138803;0.498160;0.109441;0.814767;0.804072;0.131584;-0.625081;0.033816;-1.000000;
6.156344;0.499288;0.109466;0.814734;0.803979;0.131949;-0.626494;0.033341;-1.000000;
6.191425;0.499830;0.109509;0.814726;0.803942;0.132124;-0.627171;0.033143;-1.000000;
6.226506;0.499960;0.109525;0.814726;0.803935;0.132165;-0.627333;0.033104;-1.000000;
6.296669;0.499995;0.109529;0.814726;0.803933;0.132177;-0.627377;0.033093;-1.000000;
6.335532;0.499996;0.109529;0.814726;0.803933;0.132177;-0.627378;0.033093;-1.000000;
6.335532;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335557;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335607;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335707;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335807;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335907;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336107;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336307;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336507;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336707;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337107;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337507;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337907;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.338707;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339414;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339414;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339701;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339973;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339973;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340272;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340871;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342069;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342098;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342098;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342447;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.343144;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.344539;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.345934;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.348723;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.351512;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.354302;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.357091;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.359880;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.362669;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.368248;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.373827;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.379405;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.384984;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.396141;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.399999;0.000000;0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.399999;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400235;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400708;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.401654;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402302;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402302;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402581;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.403140;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.404256;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405348;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405348;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405348;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405348;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405525;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405878;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.406586;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.408000;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.409414;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.410829;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.412243;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.413657;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.415072;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.417900;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.420446;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.422992;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.423475;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.423475;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.424006;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.425067;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.427191;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.429314;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.433562;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.437809;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.442056;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.446303;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.454797;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.463291;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.471785;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.488773;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.505762;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.539738;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.607692;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.653118;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.653118;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.659099;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.671061;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.694985;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.702634;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.702634;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.708902;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.721437;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.746507;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.796647;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.864424;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.864424;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.871597;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.885941;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.900286;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.902634;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.902634;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.910731;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.926926;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.959316;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.024095;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.153652;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.412768;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
7.931000;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
8.967462;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
11.040388;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
11.999998;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
11.999998;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000179;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000543;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000907;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000938;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000938;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000938;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000938;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000938;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.000938;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.001234;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.001319;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.001319;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.001634;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.002263;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.002609;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.002609;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.002963;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.003671;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.005086;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.006502;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.009334;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.011028;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.011028;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.011029;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.011029;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.011029;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.011029;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.011685;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.012998;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.015625;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.018251;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.021862;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.021862;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.022673;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.024297;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.027543;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.030790;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.037284;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.043128;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.048972;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.054816;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.060660;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.072348;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.084036;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.095724;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.119100;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.142477;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.148425;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.148425;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.149998;0.000000;0.000000;0.801136;0.800951;-0.017217;0.000000;0.000000;1.000000;
12.149998;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
12.150175;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
12.150531;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
12.150886;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
12.151598;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
12.152309;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
12.152803;0.000000;0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
