time;NETWORK_B1_U_value;NETWORK_B1_phi_value;NETWORK_B2_U_value;NETWORK_B2_phi_value;NETWORK_B3_U_value;NETWORK_B4_U_value;NETWORK_B5_U_value;NETWORK_B5_phi_value;NETWORK_B6_U_value;NETWORK_B7_U_value;NETWORK_B8_U_value;NETWORK_B8_phi_value;NETWORK_B9_U_value;NETWORK_B10_U_value;NETWORK_B11_U_value;NETWORK_B11_phi_value;NETWORK_B12_U_value;NETWORK_B13_U_value;NETWORK_B13_phi_value;NETWORK_B14_U_value;NETWORK_B15_U_value;NETWORK_B16_U_value;NETWORK_B17_U_value;NETWORK_B18_U_value;NETWORK_B19_U_value;NETWORK_B20_U_value;NETWORK_B21_U_value;NETWORK_B22_U_value;NETWORK_B23_U_value;NETWORK_B24_U_value;NETWORK_B25_U_value;NETWORK_B26_U_value;NETWORK_B27_U_value;NETWORK_B28_U_value;NETWORK_B29_U_value;NETWORK_B30_U_value;B1-G1_generator_PGenPu;B1-G1_generator_QGenPu;B1-G1_generator_UPu;B2-G1_generator_PGenPu;B2-G1_generator_QGenPu;B2-G1_generator_UPu;B5-G1_generator_PGenPu;B5-G1_generator_QGenPu;B5-G1_generator_UPu;B8-G1_generator_PGenPu;B8-G1_generator_QGenPu;B8-G1_generator_UPu;B11-G1_generator_PGenPu;B11-G1_generator_QGenPu;B11-G1_generator_UPu;B13-G1_generator_PGenPu;B13-G1_generator_QGenPu;B13-G1_generator_UPu;
10.200000;139.920000;0.000000;137.694480;-5.332071;134.980794;133.856524;133.320000;-14.085622;133.763399;132.556705;133.320000;-11.710321;11.401730;34.237795;11.902000;-11.009057;35.244192;11.781000;-15.956513;34.692133;34.460495;34.543742;34.173391;33.979374;33.799058;33.882255;33.861577;33.890068;34.002926;33.670717;33.622173;33.039079;33.871470;133.177672;33.217572;32.839388;2.610319;-0.178982;1.060000;0.400601;0.466404;1.043140;0.000601;0.352122;1.010000;0.000556;0.285682;1.010000;0.000552;0.236579;1.082000;0.000552;0.206149;1.071000;
11.200000;139.920000;0.000000;137.694480;-5.332065;134.980775;133.856487;133.320000;-14.085578;133.763320;132.556815;133.320000;-11.710322;11.401723;34.237295;11.902000;-11.009068;35.244179;11.781000;-15.956592;34.692228;34.460462;34.543495;34.172922;33.979156;33.798720;33.881871;33.860978;33.889504;34.002785;33.670374;33.622064;33.039031;33.871475;133.177630;33.217709;32.839597;2.610316;-0.178980;1.060000;0.400599;0.466409;1.043140;0.000599;0.352116;1.010000;0.000554;0.285698;1.010000;0.000550;0.236582;1.082000;0.000550;0.206176;1.071000;
12.200000;139.920000;0.000000;137.694480;-5.332061;134.980754;133.856449;133.320000;-14.085537;133.763244;132.556913;133.320000;-11.710324;11.401716;34.236835;11.902000;-11.009078;35.244167;11.781000;-15.956677;34.692310;34.460427;34.543267;34.172490;33.978951;33.798407;33.881516;33.860425;33.888984;34.002652;33.670056;33.621960;33.038983;33.871476;133.177588;33.217829;32.839783;2.610314;-0.178979;1.060000;0.400597;0.466413;1.043140;0.000597;0.352110;1.010000;0.000552;0.285714;1.010000;0.000548;0.236585;1.082000;0.000548;0.206203;1.071000;
13.200000;139.920000;0.000000;137.694480;-5.332056;134.980735;133.856415;133.320000;-14.085500;133.763177;132.557002;133.320000;-11.710326;11.401711;34.236418;11.902000;-11.009087;35.244155;11.781000;-15.956751;34.692387;34.460397;34.543060;34.172099;33.978767;33.798124;33.881195;33.859926;33.888514;34.002531;33.669768;33.621868;33.038940;33.871479;133.177551;33.217940;32.839955;2.610311;-0.178977;1.060000;0.400595;0.466417;1.043140;0.000595;0.352105;1.010000;0.000551;0.285729;1.010000;0.000546;0.236588;1.082000;0.000546;0.206226;1.071000;
14.200000;139.920000;0.000000;137.694480;-5.332053;134.980714;133.856380;133.320000;-14.085467;133.763111;132.557080;133.320000;-11.710331;11.401705;34.236030;11.902000;-11.009094;35.244144;11.781000;-15.956834;34.692451;34.460365;34.542867;34.171734;33.978591;33.797858;33.880894;33.859461;33.888076;34.002415;33.669497;33.621777;33.038894;33.871477;133.177512;33.218036;32.840105;2.610310;-0.178976;1.060000;0.400594;0.466422;1.043140;0.000594;0.352100;1.010000;0.000550;0.285742;1.010000;0.000545;0.236591;1.082000;0.000545;0.206249;1.071000;
15.200000;139.920000;0.000000;137.694480;-5.332050;134.980699;133.856352;133.320000;-14.085437;133.763055;132.557153;133.320000;-11.710332;11.401700;34.235685;11.902000;-11.009101;35.244135;11.781000;-15.956898;34.692515;34.460339;34.542696;34.171410;33.978437;33.797622;33.880626;33.859046;33.887686;34.002314;33.669257;33.621699;33.038857;33.871478;133.177480;33.218128;32.840247;2.610308;-0.178975;1.060000;0.400593;0.466425;1.043140;0.000593;0.352096;1.010000;0.000548;0.285754;1.010000;0.000544;0.236593;1.082000;0.000544;0.206269;1.071000;
16.200000;139.920000;0.000000;137.694480;-5.332048;134.980677;133.856317;133.320000;-14.085409;133.762996;132.557213;133.320000;-11.710340;11.401695;34.235355;11.902000;-11.009106;35.244125;11.781000;-15.956983;34.692563;34.460307;34.542531;34.171101;33.978285;33.797394;33.880369;33.858651;33.887314;34.002210;33.669024;33.621618;33.038812;33.871472;133.177442;33.218203;32.840366;2.610307;-0.178974;1.060000;0.400593;0.466429;1.043140;0.000593;0.352092;1.010000;0.000548;0.285767;1.010000;0.000544;0.236595;1.082000;0.000544;0.206290;1.071000;
17.200000;139.920000;0.000000;137.694480;-5.332045;134.980666;133.856296;133.320000;-14.085384;133.762951;132.557275;133.320000;-11.710340;11.401691;34.235073;11.902000;-11.009112;35.244117;11.781000;-15.957032;34.692617;34.460288;34.542391;34.170835;33.978159;33.797201;33.880150;33.858313;33.886995;34.002128;33.668828;33.621555;33.038782;33.871475;133.177419;33.218281;32.840487;2.610306;-0.178973;1.060000;0.400591;0.466432;1.043140;0.000591;0.352088;1.010000;0.000547;0.285776;1.010000;0.000543;0.236597;1.082000;0.000543;0.206306;1.071000;
18.200000;139.920000;0.000000;137.694480;-5.332045;134.980641;133.856260;133.320000;-14.085361;133.762896;132.557319;133.320000;-11.710351;11.401686;34.234787;11.902000;-11.009115;35.244108;11.781000;-15.957126;34.692650;34.460254;34.542248;34.170568;33.978024;33.797001;33.879926;33.857971;33.886673;34.002033;33.668623;33.621479;33.038736;33.871464;133.177379;33.218335;32.840577;2.610306;-0.178972;1.060000;0.400592;0.466435;1.043140;0.000592;0.352086;1.010000;0.000547;0.285788;1.010000;0.000543;0.236600;1.082000;0.000543;0.206326;1.071000;
19.200000;139.920000;0.000000;137.694480;-5.332041;134.980637;133.856248;133.320000;-14.085340;133.762864;132.557375;133.320000;-11.710348;11.401683;34.234564;11.902000;-11.009121;35.244102;11.781000;-15.957149;34.692702;34.460243;34.542137;34.170357;33.977926;33.796849;33.879753;33.857704;33.886421;34.001972;33.668470;33.621434;33.038718;33.871472;133.177366;33.218407;32.840685;2.610304;-0.178971;1.060000;0.400590;0.466437;1.043140;0.000590;0.352082;1.010000;0.000546;0.285794;1.010000;0.000541;0.236601;1.082000;0.000541;0.206337;1.071000;
19.534897;139.920000;0.000000;137.694480;-5.332041;134.980629;133.856237;133.320000;-14.085334;133.762848;132.557387;133.320000;-11.710351;11.401682;34.234482;11.902000;-11.009122;35.244099;11.781000;-15.957177;34.692711;34.460233;34.542095;34.170280;33.977887;33.796791;33.879688;33.857605;33.886328;34.001944;33.668410;33.621411;33.038704;33.871468;133.177354;33.218422;32.840710;2.610304;-0.178971;1.060000;0.400590;0.466438;1.043140;0.000590;0.352082;1.010000;0.000546;0.285798;1.010000;0.000541;0.236602;1.082000;0.000541;0.206342;1.071000;
19.534897;139.920000;0.000000;137.694480;-5.332041;134.980629;133.856237;133.320000;-14.085334;133.762848;132.557387;133.320000;-11.710351;11.401682;34.234482;11.902000;-11.009122;35.244099;11.781000;-15.957177;34.692711;34.460233;34.542095;34.170280;33.977887;33.796791;33.879688;33.857605;33.886328;34.001944;33.668410;33.621411;33.038704;33.871468;133.177354;33.218422;32.840710;2.610304;-0.178971;1.060000;0.400590;0.466438;1.043140;0.000590;0.352082;1.010000;0.000546;0.285798;1.010000;0.000541;0.236602;1.082000;0.000541;0.206342;1.071000;
19.665362;139.920000;0.000000;137.694480;-5.332042;134.980622;133.856227;133.320000;-14.085331;133.762838;132.557388;133.320000;-11.710357;11.401681;34.234443;11.902000;-11.009121;35.244097;11.781000;-15.957212;34.692702;34.460224;34.542076;34.170244;33.977866;33.796762;33.879657;33.857559;33.886285;34.001927;33.668381;33.621398;33.038693;33.871463;133.177345;33.218424;32.840715;2.610305;-0.178971;1.060000;0.400591;0.466439;1.043140;0.000591;0.352081;1.010000;0.000546;0.285800;1.010000;0.000542;0.236602;1.082000;0.000542;0.206347;1.071000;
19.795827;139.920000;0.000000;137.694480;-5.332042;134.980618;133.856222;133.320000;-14.085328;133.762831;132.557393;133.320000;-11.710359;11.401680;34.234414;11.902000;-11.009121;35.244096;11.781000;-15.957232;34.692700;34.460219;34.542061;34.170216;33.977851;33.796741;33.879633;33.857524;33.886251;34.001917;33.668359;33.621390;33.038689;33.871463;133.177340;33.218430;32.840726;2.610305;-0.178970;1.060000;0.400591;0.466439;1.043140;0.000591;0.352081;1.010000;0.000547;0.285801;1.010000;0.000542;0.236602;1.082000;0.000542;0.206350;1.071000;
20.056757;139.920000;0.000000;137.694480;-5.332043;134.980611;133.856213;133.320000;-14.085323;133.762820;132.557402;133.320000;-11.710363;11.401679;34.234356;11.902000;-11.009121;35.244094;11.781000;-15.957270;34.692694;34.460210;34.542032;34.170162;33.977822;33.796700;33.879587;33.857455;33.886186;34.001896;33.668317;33.621376;33.038681;33.871462;133.177332;33.218444;32.840747;2.610306;-0.178970;1.060000;0.400591;0.466440;1.043140;0.000591;0.352080;1.010000;0.000547;0.285803;1.010000;0.000543;0.236603;1.082000;0.000543;0.206355;1.071000;
20.578618;139.920000;0.000000;137.694480;-5.332043;134.980597;133.856193;133.320000;-14.085312;133.762796;132.557420;133.320000;-11.710372;11.401677;34.234243;11.902000;-11.009120;35.244089;11.781000;-15.957346;34.692682;34.460192;34.541975;34.170056;33.977765;33.796618;33.879496;33.857319;33.886059;34.001856;33.668235;33.621347;33.038663;33.871459;133.177316;33.218469;32.840787;2.610307;-0.178970;1.060000;0.400592;0.466442;1.043140;0.000592;0.352079;1.010000;0.000548;0.285808;1.010000;0.000543;0.236604;1.082000;0.000543;0.206365;1.071000;
21.578618;139.920000;0.000000;137.694480;-5.332044;134.980572;133.856159;133.320000;-14.085294;133.762754;132.557451;133.320000;-11.710388;11.401673;34.234042;11.902000;-11.009120;35.244080;11.781000;-15.957483;34.692662;34.460160;34.541873;34.169866;33.977663;33.796472;33.879334;33.857078;33.885831;34.001783;33.668088;33.621294;33.038632;33.871455;133.177286;33.218513;32.840859;2.610309;-0.178969;1.060000;0.400594;0.466444;1.043140;0.000594;0.352076;1.010000;0.000549;0.285817;1.010000;0.000545;0.236606;1.082000;0.000545;0.206384;1.071000;
22.578618;139.920000;0.000000;137.694480;-5.332046;134.980549;133.856126;133.320000;-14.085276;133.762715;132.557480;133.320000;-11.710402;11.401670;34.233857;11.902000;-11.009119;35.244072;11.781000;-15.957609;34.692643;34.460130;34.541779;34.169693;33.977570;33.796338;33.879186;33.856857;33.885622;34.001716;33.667953;33.621246;33.038603;33.871450;133.177258;33.218554;32.840924;2.610311;-0.178968;1.060000;0.400595;0.466447;1.043140;0.000595;0.352073;1.010000;0.000550;0.285824;1.010000;0.000546;0.236607;1.082000;0.000546;0.206401;1.071000;
23.578618;139.920000;0.000000;137.694480;-5.332047;134.980527;133.856097;133.320000;-14.085261;133.762679;132.557505;133.320000;-11.710416;11.401667;34.233688;11.902000;-11.009119;35.244064;11.781000;-15.957726;34.692625;34.460103;34.541693;34.169534;33.977483;33.796216;33.879049;33.856655;33.885431;34.001653;33.667829;33.621201;33.038575;33.871446;133.177232;33.218589;32.840983;2.610312;-0.178967;1.060000;0.400596;0.466449;1.043140;0.000596;0.352071;1.010000;0.000552;0.285832;1.010000;0.000547;0.236609;1.082000;0.000547;0.206416;1.071000;
24.578618;139.920000;0.000000;137.694480;-5.332048;134.980507;133.856069;133.320000;-14.085247;133.762645;132.557527;133.320000;-11.710429;11.401664;34.233534;11.902000;-11.009118;35.244057;11.781000;-15.957834;34.692609;34.460077;34.541615;34.169388;33.977404;33.796103;33.878924;33.856470;33.885256;34.001596;33.667715;33.621159;33.038549;33.871441;133.177208;33.218622;32.841036;2.610314;-0.178967;1.060000;0.400598;0.466452;1.043140;0.000598;0.352069;1.010000;0.000553;0.285838;1.010000;0.000548;0.236610;1.082000;0.000548;0.206431;1.071000;
25.578618;139.920000;0.000000;137.694480;-5.332049;134.980488;133.856043;133.320000;-14.085234;133.762615;132.557547;133.320000;-11.710441;11.401661;34.233393;11.902000;-11.009118;35.244051;11.781000;-15.957934;34.692594;34.460053;34.541543;34.169255;33.977332;33.796000;33.878810;33.856301;33.885096;34.001543;33.667610;33.621121;33.038524;33.871436;133.177185;33.218650;32.841083;2.610316;-0.178966;1.060000;0.400599;0.466454;1.043140;0.000599;0.352067;1.010000;0.000554;0.285844;1.010000;0.000549;0.236611;1.082000;0.000549;0.206444;1.071000;
26.578618;139.920000;0.000000;137.694480;-5.332050;134.980471;133.856020;133.320000;-14.085222;133.762587;132.557565;133.320000;-11.710452;11.401659;34.233263;11.902000;-11.009117;35.244045;11.781000;-15.958025;34.692580;34.460031;34.541477;34.169134;33.977265;33.795905;33.878705;33.856146;33.884950;34.001494;33.667514;33.621085;33.038501;33.871432;133.177164;33.218676;32.841126;2.610317;-0.178965;1.060000;0.400600;0.466456;1.043140;0.000600;0.352066;1.010000;0.000555;0.285850;1.010000;0.000550;0.236612;1.082000;0.000550;0.206456;1.071000;
27.578618;139.920000;0.000000;137.694480;-5.332051;134.980454;133.855998;133.320000;-14.085212;133.762561;132.557581;133.320000;-11.710463;11.401657;34.233145;11.902000;-11.009116;35.244040;11.781000;-15.958110;34.692567;34.460010;34.541417;34.169022;33.977203;33.795818;33.878609;33.856005;33.884817;34.001449;33.667426;33.621052;33.038479;33.871427;133.177145;33.218699;32.841165;2.610319;-0.178965;1.060000;0.400601;0.466457;1.043140;0.000601;0.352064;1.010000;0.000556;0.285855;1.010000;0.000551;0.236613;1.082000;0.000551;0.206467;1.071000;
28.578618;139.920000;0.000000;137.694480;-5.332052;134.980439;133.855977;133.320000;-14.085202;133.762537;132.557595;133.320000;-11.710473;11.401654;34.233037;11.902000;-11.009116;35.244035;11.781000;-15.958188;34.692555;34.459991;34.541362;34.168921;33.977147;33.795738;33.878521;33.855876;33.884694;34.001408;33.667345;33.621022;33.038459;33.871422;133.177127;33.218720;32.841199;2.610320;-0.178964;1.060000;0.400602;0.466459;1.043140;0.000602;0.352063;1.010000;0.000557;0.285860;1.010000;0.000552;0.236614;1.082000;0.000552;0.206478;1.071000;
29.578618;139.920000;0.000000;137.694480;-5.332053;134.980425;133.855959;133.320000;-14.085193;133.762515;132.557608;133.320000;-11.710482;11.401653;34.232938;11.902000;-11.009115;35.244030;11.781000;-15.958261;34.692544;34.459973;34.541311;34.168828;33.977095;33.795665;33.878440;33.855757;33.884583;34.001370;33.667271;33.620993;33.038440;33.871418;133.177110;33.218738;32.841231;2.610321;-0.178964;1.060000;0.400603;0.466460;1.043140;0.000603;0.352062;1.010000;0.000557;0.285865;1.010000;0.000553;0.236615;1.082000;0.000553;0.206487;1.071000;
30.578618;139.920000;0.000000;137.694480;-5.332054;134.980412;133.855941;133.320000;-14.085186;133.762494;132.557619;133.320000;-11.710490;11.401651;34.232848;11.902000;-11.009114;35.244026;11.781000;-15.958327;34.692534;34.459957;34.541265;34.168743;33.977047;33.795598;33.878366;33.855649;33.884480;34.001334;33.667203;33.620967;33.038422;33.871414;133.177094;33.218754;32.841259;2.610322;-0.178963;1.060000;0.400604;0.466462;1.043140;0.000604;0.352061;1.010000;0.000558;0.285869;1.010000;0.000554;0.236616;1.082000;0.000554;0.206496;1.071000;
31.578618;139.920000;0.000000;137.694480;-5.332055;134.980400;133.855925;133.320000;-14.085178;133.762476;132.557629;133.320000;-11.710498;11.401649;34.232765;11.902000;-11.009113;35.244022;11.781000;-15.958389;34.692524;34.459942;34.541223;34.168665;33.977003;33.795536;33.878299;33.855550;33.884387;34.001302;33.667141;33.620943;33.038405;33.871409;133.177080;33.218769;32.841284;2.610324;-0.178963;1.060000;0.400604;0.466463;1.043140;0.000604;0.352060;1.010000;0.000559;0.285872;1.010000;0.000555;0.236617;1.082000;0.000555;0.206504;1.071000;
32.578618;139.920000;0.000000;137.694480;-5.332055;134.980389;133.855910;133.320000;-14.085172;133.762458;132.557637;133.320000;-11.710505;11.401648;34.232690;11.902000;-11.009113;35.244019;11.781000;-15.958445;34.692515;34.459928;34.541184;34.168594;33.976963;33.795480;33.878237;33.855460;33.884301;34.001272;33.667083;33.620921;33.038389;33.871405;133.177066;33.218782;32.841307;2.610325;-0.178963;1.060000;0.400605;0.466464;1.043140;0.000605;0.352059;1.010000;0.000560;0.285876;1.010000;0.000555;0.236618;1.082000;0.000555;0.206511;1.071000;
33.578618;139.920000;0.000000;137.694480;-5.332056;134.980379;133.855897;133.320000;-14.085166;133.762443;132.557645;133.320000;-11.710512;11.401646;34.232621;11.902000;-11.009112;35.244015;11.781000;-15.958497;34.692507;34.459915;34.541149;34.168529;33.976926;33.795428;33.878180;33.855378;33.884223;34.001244;33.667031;33.620900;33.038375;33.871401;133.177053;33.218794;32.841327;2.610326;-0.178962;1.060000;0.400606;0.466465;1.043140;0.000606;0.352058;1.010000;0.000560;0.285879;1.010000;0.000556;0.236618;1.082000;0.000556;0.206518;1.071000;
34.578618;139.920000;0.000000;137.694480;-5.332057;134.980369;133.855884;133.320000;-14.085161;133.762428;132.557652;133.320000;-11.710519;11.401645;34.232557;11.902000;-11.009112;35.244012;11.781000;-15.958545;34.692500;34.459903;34.541116;34.168469;33.976892;33.795381;33.878128;33.855302;33.884152;34.001219;33.666983;33.620881;33.038361;33.871398;133.177042;33.218804;32.841345;2.610326;-0.178962;1.060000;0.400607;0.466466;1.043140;0.000607;0.352057;1.010000;0.000561;0.285882;1.010000;0.000557;0.236619;1.082000;0.000557;0.206524;1.071000;
35.578618;139.920000;0.000000;137.694480;-5.332058;134.980361;133.855872;133.320000;-14.085156;133.762415;132.557658;133.320000;-11.710525;11.401644;34.232500;11.902000;-11.009111;35.244010;11.781000;-15.958590;34.692493;34.459891;34.541086;34.168415;33.976861;33.795337;33.878080;33.855233;33.884086;34.001196;33.666938;33.620864;33.038348;33.871394;133.177031;33.218813;32.841362;2.610327;-0.178962;1.060000;0.400607;0.466467;1.043140;0.000607;0.352057;1.010000;0.000562;0.285885;1.010000;0.000557;0.236620;1.082000;0.000557;0.206530;1.071000;
