time;NETWORK__BUS____9-BUS___10-1_AC_P1;NETWORK__BUS____5-BUS____6-1_PS_P1;NETWORK__BUS____5-BUS____6-1_PS_step;PhaseShifter_phaseShifter_state;PhaseShifter_phaseShifter_valueMax;PhaseShifter_phaseShifter_valueMin;PhaseShifter_phaseShifter_PMonitored;PhaseShifter_phaseShifter_valueUnderMin;PhaseShifter_phaseShifter_valueAboveMax;
0.050454;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050486;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050550;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050678;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.050934;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.051446;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.052470;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.054518;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.058614;0.052236;0.440874;7.000000;4.000000;0.445000;0.435000;0.440874;-1.000000;-1.000000;
0.066806;0.052236;0.440875;7.000000;4.000000;0.445000;0.435000;0.440875;-1.000000;-1.000000;
0.083190;0.052236;0.440876;7.000000;4.000000;0.445000;0.435000;0.440876;-1.000000;-1.000000;
0.115958;0.052237;0.440878;7.000000;4.000000;0.445000;0.435000;0.440878;-1.000000;-1.000000;
0.181494;0.052239;0.440881;7.000000;4.000000;0.445000;0.435000;0.440881;-1.000000;-1.000000;
0.312566;0.052248;0.440885;7.000000;4.000000;0.445000;0.435000;0.440885;-1.000000;-1.000000;
0.518888;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518888;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518889;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518890;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518892;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518896;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518904;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518920;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.518952;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.519016;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.519144;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.519400;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.519912;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.520936;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.522984;0.052258;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.527080;0.052259;0.440892;7.000000;4.000000;0.445000;0.435000;0.440892;-1.000000;-1.000000;
0.535272;0.052259;0.440893;7.000000;4.000000;0.445000;0.435000;0.440893;-1.000000;-1.000000;
0.538081;0.052259;0.440893;7.000000;4.000000;0.445000;0.435000;0.440893;-1.000000;-1.000000;
0.538081;0.052259;0.440893;7.000000;4.000000;0.445000;0.435000;0.440893;-1.000000;-1.000000;
0.538081;0.052259;0.440893;7.000000;4.000000;0.445000;0.435000;0.440893;-1.000000;-1.000000;
0.551656;0.052260;0.440893;7.000000;4.000000;0.445000;0.435000;0.440893;-1.000000;-1.000000;
0.584424;0.052261;0.440894;7.000000;4.000000;0.445000;0.435000;0.440894;-1.000000;-1.000000;
0.649960;0.052262;0.440898;7.000000;4.000000;0.445000;0.435000;0.440898;-1.000000;-1.000000;
0.781032;0.052259;0.440909;7.000000;4.000000;0.445000;0.435000;0.440909;-1.000000;-1.000000;
1.043176;0.052249;0.440927;7.000000;4.000000;0.445000;0.435000;0.440927;-1.000000;-1.000000;
1.567464;0.052239;0.440934;7.000000;4.000000;0.445000;0.435000;0.440934;-1.000000;-1.000000;
2.616040;0.052245;0.440921;7.000000;4.000000;0.445000;0.435000;0.440921;-1.000000;-1.000000;
4.713192;0.052247;0.440919;7.000000;4.000000;0.445000;0.435000;0.440919;-1.000000;-1.000000;
8.907496;0.052247;0.440918;7.000000;4.000000;0.445000;0.435000;0.440918;-1.000000;-1.000000;
17.296104;0.052248;0.440917;7.000000;4.000000;0.445000;0.435000;0.440917;-1.000000;-1.000000;
19.999996;0.000000;0.440917;7.000000;4.000000;0.445000;0.435000;0.440917;-1.000000;-1.000000;
19.999996;0.000000;0.455545;7.000000;5.000000;0.445000;0.435000;0.455545;-1.000000;1.000000;
19.999997;0.000000;0.455545;7.000000;5.000000;0.445000;0.435000;0.455545;-1.000000;1.000000;
19.999998;0.000000;0.455545;7.000000;5.000000;0.445000;0.435000;0.455545;-1.000000;1.000000;
20.000000;0.000000;0.455546;7.000000;5.000000;0.445000;0.435000;0.455546;-1.000000;1.000000;
20.000004;0.000000;0.455546;7.000000;5.000000;0.445000;0.435000;0.455546;-1.000000;1.000000;
20.000012;0.000000;0.455548;7.000000;5.000000;0.445000;0.435000;0.455548;-1.000000;1.000000;
20.000028;0.000000;0.455551;7.000000;5.000000;0.445000;0.435000;0.455551;-1.000000;1.000000;
20.000060;0.000000;0.455556;7.000000;5.000000;0.445000;0.435000;0.455556;-1.000000;1.000000;
20.000124;0.000000;0.455568;7.000000;5.000000;0.445000;0.435000;0.455568;-1.000000;1.000000;
20.000252;0.000000;0.455591;7.000000;5.000000;0.445000;0.435000;0.455591;-1.000000;1.000000;
20.000508;0.000000;0.455636;7.000000;5.000000;0.445000;0.435000;0.455636;-1.000000;1.000000;
20.001020;0.000000;0.455724;7.000000;5.000000;0.445000;0.435000;0.455724;-1.000000;1.000000;
20.002044;0.000000;0.455898;7.000000;5.000000;0.445000;0.435000;0.455898;-1.000000;1.000000;
20.004092;0.000000;0.456227;7.000000;5.000000;0.445000;0.435000;0.456227;-1.000000;1.000000;
20.008188;0.000000;0.456826;7.000000;5.000000;0.445000;0.435000;0.456826;-1.000000;1.000000;
20.015864;0.000000;0.457774;7.000000;5.000000;0.445000;0.435000;0.457774;-1.000000;1.000000;
20.015864;0.000000;0.457774;7.000000;5.000000;0.445000;0.435000;0.457774;-1.000000;1.000000;
20.015864;0.000000;0.457774;7.000000;5.000000;0.445000;0.435000;0.457774;-1.000000;1.000000;
20.015998;0.000000;0.457789;7.000000;5.000000;0.445000;0.435000;0.457789;-1.000000;1.000000;
20.015998;0.000000;0.457789;7.000000;5.000000;0.445000;0.435000;0.457789;-1.000000;1.000000;
20.015999;0.000000;0.457789;7.000000;5.000000;0.445000;0.435000;0.457789;-1.000000;1.000000;
20.016000;0.000000;0.457789;7.000000;5.000000;0.445000;0.435000;0.457789;-1.000000;1.000000;
20.016002;0.000000;0.457789;7.000000;5.000000;0.445000;0.435000;0.457789;-1.000000;1.000000;
20.016006;0.000000;0.457790;7.000000;5.000000;0.445000;0.435000;0.457790;-1.000000;1.000000;
20.016014;0.000000;0.457791;7.000000;5.000000;0.445000;0.435000;0.457791;-1.000000;1.000000;
20.016030;0.000000;0.457792;7.000000;5.000000;0.445000;0.435000;0.457792;-1.000000;1.000000;
20.016062;0.000000;0.457796;7.000000;5.000000;0.445000;0.435000;0.457796;-1.000000;1.000000;
20.016126;0.000000;0.457803;7.000000;5.000000;0.445000;0.435000;0.457803;-1.000000;1.000000;
20.016254;0.000000;0.457816;7.000000;5.000000;0.445000;0.435000;0.457816;-1.000000;1.000000;
20.016510;0.000000;0.457843;7.000000;5.000000;0.445000;0.435000;0.457843;-1.000000;1.000000;
20.017022;0.000000;0.457897;7.000000;5.000000;0.445000;0.435000;0.457897;-1.000000;1.000000;
20.018046;0.000000;0.458002;7.000000;5.000000;0.445000;0.435000;0.458002;-1.000000;1.000000;
20.020094;0.000000;0.458205;7.000000;5.000000;0.445000;0.435000;0.458205;-1.000000;1.000000;
20.024190;0.000000;0.458581;7.000000;5.000000;0.445000;0.435000;0.458581;-1.000000;1.000000;
20.032382;0.000000;0.459244;7.000000;5.000000;0.445000;0.435000;0.459244;-1.000000;1.000000;
20.048766;0.000000;0.460354;7.000000;5.000000;0.445000;0.435000;0.460354;-1.000000;1.000000;
20.081534;0.000000;0.462247;7.000000;5.000000;0.445000;0.435000;0.462247;-1.000000;1.000000;
20.114302;0.000000;0.464024;7.000000;5.000000;0.445000;0.435000;0.464024;-1.000000;1.000000;
20.147070;0.000000;0.465868;7.000000;5.000000;0.445000;0.435000;0.465868;-1.000000;1.000000;
20.179838;0.000000;0.467763;7.000000;5.000000;0.445000;0.435000;0.467763;-1.000000;1.000000;
20.245374;0.000000;0.471203;7.000000;5.000000;0.445000;0.435000;0.471203;-1.000000;1.000000;
20.314906;0.000000;0.473144;7.000000;5.000000;0.445000;0.435000;0.473144;-1.000000;1.000000;
20.384438;0.000000;0.473592;7.000000;5.000000;0.445000;0.435000;0.473592;-1.000000;1.000000;
20.441605;0.000000;0.473023;7.000000;5.000000;0.445000;0.435000;0.473023;-1.000000;1.000000;
20.441605;0.000000;0.473023;7.000000;5.000000;0.445000;0.435000;0.473023;-1.000000;1.000000;
20.441606;0.000000;0.473022;7.000000;5.000000;0.445000;0.435000;0.473022;-1.000000;1.000000;
20.441607;0.000000;0.473022;7.000000;5.000000;0.445000;0.435000;0.473022;-1.000000;1.000000;
20.441609;0.000000;0.473022;7.000000;5.000000;0.445000;0.435000;0.473022;-1.000000;1.000000;
20.441613;0.000000;0.473022;7.000000;5.000000;0.445000;0.435000;0.473022;-1.000000;1.000000;
20.441621;0.000000;0.473022;7.000000;5.000000;0.445000;0.435000;0.473022;-1.000000;1.000000;
20.441637;0.000000;0.473022;7.000000;5.000000;0.445000;0.435000;0.473022;-1.000000;1.000000;
20.441669;0.000000;0.473022;7.000000;5.000000;0.445000;0.435000;0.473022;-1.000000;1.000000;
20.441733;0.000000;0.473021;7.000000;5.000000;0.445000;0.435000;0.473021;-1.000000;1.000000;
20.441825;0.000000;0.473020;7.000000;5.000000;0.445000;0.435000;0.473020;-1.000000;1.000000;
20.441825;0.000000;0.473020;7.000000;5.000000;0.445000;0.435000;0.473020;-1.000000;1.000000;
20.441825;0.000000;0.473020;7.000000;5.000000;0.445000;0.435000;0.473020;-1.000000;1.000000;
20.441861;0.000000;0.473020;7.000000;5.000000;0.445000;0.435000;0.473020;-1.000000;1.000000;
20.442117;0.000000;0.473018;7.000000;5.000000;0.445000;0.435000;0.473018;-1.000000;1.000000;
20.442629;0.000000;0.473015;7.000000;5.000000;0.445000;0.435000;0.473015;-1.000000;1.000000;
20.443653;0.000000;0.473007;7.000000;5.000000;0.445000;0.435000;0.473007;-1.000000;1.000000;
20.445701;0.000000;0.472991;7.000000;5.000000;0.445000;0.435000;0.472991;-1.000000;1.000000;
20.449797;0.000000;0.472956;7.000000;5.000000;0.445000;0.435000;0.472956;-1.000000;1.000000;
20.457989;0.000000;0.472874;7.000000;5.000000;0.445000;0.435000;0.472874;-1.000000;1.000000;
20.459600;0.000000;0.472856;7.000000;5.000000;0.445000;0.435000;0.472856;-1.000000;1.000000;
20.459600;0.000000;0.472856;7.000000;5.000000;0.445000;0.435000;0.472856;-1.000000;1.000000;
20.459600;0.000000;0.472856;7.000000;5.000000;0.445000;0.435000;0.472856;-1.000000;1.000000;
20.459722;0.000000;0.472855;7.000000;5.000000;0.445000;0.435000;0.472855;-1.000000;1.000000;
20.459722;0.000000;0.472855;7.000000;5.000000;0.445000;0.435000;0.472855;-1.000000;1.000000;
20.459723;0.000000;0.472855;7.000000;5.000000;0.445000;0.435000;0.472855;-1.000000;1.000000;
20.459724;0.000000;0.472855;7.000000;5.000000;0.445000;0.435000;0.472855;-1.000000;1.000000;
20.459726;0.000000;0.472855;7.000000;5.000000;0.445000;0.435000;0.472855;-1.000000;1.000000;
20.459730;0.000000;0.472855;7.000000;5.000000;0.445000;0.435000;0.472855;-1.000000;1.000000;
20.459738;0.000000;0.472855;7.000000;5.000000;0.445000;0.435000;0.472855;-1.000000;1.000000;
20.459754;0.000000;0.472854;7.000000;5.000000;0.445000;0.435000;0.472854;-1.000000;1.000000;
20.459786;0.000000;0.472854;7.000000;5.000000;0.445000;0.435000;0.472854;-1.000000;1.000000;
20.459850;0.000000;0.472853;7.000000;5.000000;0.445000;0.435000;0.472853;-1.000000;1.000000;
20.459978;0.000000;0.472852;7.000000;5.000000;0.445000;0.435000;0.472852;-1.000000;1.000000;
20.460234;0.000000;0.472849;7.000000;5.000000;0.445000;0.435000;0.472849;-1.000000;1.000000;
20.460746;0.000000;0.472843;7.000000;5.000000;0.445000;0.435000;0.472843;-1.000000;1.000000;
20.461770;0.000000;0.472831;7.000000;5.000000;0.445000;0.435000;0.472831;-1.000000;1.000000;
20.463818;0.000000;0.472806;7.000000;5.000000;0.445000;0.435000;0.472806;-1.000000;1.000000;
20.467914;0.000000;0.472754;7.000000;5.000000;0.445000;0.435000;0.472754;-1.000000;1.000000;
20.476106;0.000000;0.472638;7.000000;5.000000;0.445000;0.435000;0.472638;-1.000000;1.000000;
20.492490;0.000000;0.472366;7.000000;5.000000;0.445000;0.435000;0.472366;-1.000000;1.000000;
20.525258;0.000000;0.471685;7.000000;5.000000;0.445000;0.435000;0.471685;-1.000000;1.000000;
20.590794;0.000000;0.470030;7.000000;5.000000;0.445000;0.435000;0.470030;-1.000000;1.000000;
20.656330;0.000000;0.468308;7.000000;5.000000;0.445000;0.435000;0.468308;-1.000000;1.000000;
20.787402;0.000000;0.466355;7.000000;5.000000;0.445000;0.435000;0.466355;-1.000000;1.000000;
20.809183;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809183;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809184;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809185;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809187;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809191;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809199;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809215;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.809247;0.000000;0.466551;7.000000;5.000000;0.445000;0.435000;0.466551;-1.000000;1.000000;
20.809311;0.000000;0.466551;7.000000;5.000000;0.445000;0.435000;0.466551;-1.000000;1.000000;
20.809334;0.000000;0.466551;7.000000;5.000000;0.445000;0.435000;0.466551;-1.000000;1.000000;
20.809334;0.000000;0.466551;7.000000;5.000000;0.445000;0.435000;0.466551;-1.000000;1.000000;
20.809334;0.000000;0.466551;7.000000;5.000000;0.445000;0.435000;0.466551;-1.000000;1.000000;
20.809439;0.000000;0.466550;7.000000;5.000000;0.445000;0.435000;0.466550;-1.000000;1.000000;
20.809695;0.000000;0.466548;7.000000;5.000000;0.445000;0.435000;0.466548;-1.000000;1.000000;
20.810207;0.000000;0.466545;7.000000;5.000000;0.445000;0.435000;0.466545;-1.000000;1.000000;
20.811231;0.000000;0.466539;7.000000;5.000000;0.445000;0.435000;0.466539;-1.000000;1.000000;
20.813279;0.000000;0.466527;7.000000;5.000000;0.445000;0.435000;0.466527;-1.000000;1.000000;
20.817375;0.000000;0.466506;7.000000;5.000000;0.445000;0.435000;0.466506;-1.000000;1.000000;
20.825567;0.000000;0.466474;7.000000;5.000000;0.445000;0.435000;0.466474;-1.000000;1.000000;
20.841951;0.000000;0.466449;7.000000;5.000000;0.445000;0.435000;0.466449;-1.000000;1.000000;
20.874719;0.000000;0.466552;7.000000;5.000000;0.445000;0.435000;0.466552;-1.000000;1.000000;
20.940255;0.000000;0.467267;7.000000;5.000000;0.445000;0.435000;0.467267;-1.000000;1.000000;
21.055205;0.000000;0.469196;7.000000;5.000000;0.445000;0.435000;0.469196;-1.000000;1.000000;
21.055205;0.000000;0.469196;7.000000;5.000000;0.445000;0.435000;0.469196;-1.000000;1.000000;
21.055205;0.000000;0.469196;7.000000;5.000000;0.445000;0.435000;0.469196;-1.000000;1.000000;
21.055746;0.000000;0.469207;7.000000;5.000000;0.445000;0.435000;0.469207;-1.000000;1.000000;
21.055746;0.000000;0.469207;7.000000;5.000000;0.445000;0.435000;0.469207;-1.000000;1.000000;
21.055747;0.000000;0.469207;7.000000;5.000000;0.445000;0.435000;0.469207;-1.000000;1.000000;
21.055748;0.000000;0.469207;7.000000;5.000000;0.445000;0.435000;0.469207;-1.000000;1.000000;
21.055750;0.000000;0.469207;7.000000;5.000000;0.445000;0.435000;0.469207;-1.000000;1.000000;
21.055754;0.000000;0.469207;7.000000;5.000000;0.445000;0.435000;0.469207;-1.000000;1.000000;
21.055762;0.000000;0.469208;7.000000;5.000000;0.445000;0.435000;0.469208;-1.000000;1.000000;
21.055778;0.000000;0.469208;7.000000;5.000000;0.445000;0.435000;0.469208;-1.000000;1.000000;
21.055810;0.000000;0.469209;7.000000;5.000000;0.445000;0.435000;0.469209;-1.000000;1.000000;
21.055874;0.000000;0.469210;7.000000;5.000000;0.445000;0.435000;0.469210;-1.000000;1.000000;
21.056002;0.000000;0.469213;7.000000;5.000000;0.445000;0.435000;0.469213;-1.000000;1.000000;
21.056258;0.000000;0.469219;7.000000;5.000000;0.445000;0.435000;0.469219;-1.000000;1.000000;
21.056770;0.000000;0.469231;7.000000;5.000000;0.445000;0.435000;0.469231;-1.000000;1.000000;
21.057794;0.000000;0.469255;7.000000;5.000000;0.445000;0.435000;0.469255;-1.000000;1.000000;
21.059842;0.000000;0.469302;7.000000;5.000000;0.445000;0.435000;0.469302;-1.000000;1.000000;
21.063938;0.000000;0.469398;7.000000;5.000000;0.445000;0.435000;0.469398;-1.000000;1.000000;
21.072130;0.000000;0.469588;7.000000;5.000000;0.445000;0.435000;0.469588;-1.000000;1.000000;
21.088514;0.000000;0.469963;7.000000;5.000000;0.445000;0.435000;0.469963;-1.000000;1.000000;
21.121282;0.000000;0.470672;7.000000;5.000000;0.445000;0.435000;0.470672;-1.000000;1.000000;
21.186818;0.000000;0.471776;7.000000;5.000000;0.445000;0.435000;0.471776;-1.000000;1.000000;
21.317890;0.000000;0.472388;7.000000;5.000000;0.445000;0.435000;0.472388;-1.000000;1.000000;
21.406257;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406257;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406258;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406259;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406261;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406265;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406273;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406289;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406321;0.000000;0.471811;7.000000;5.000000;0.445000;0.435000;0.471811;-1.000000;1.000000;
21.406385;0.000000;0.471810;7.000000;5.000000;0.445000;0.435000;0.471810;-1.000000;1.000000;
21.406513;0.000000;0.471808;7.000000;5.000000;0.445000;0.435000;0.471808;-1.000000;1.000000;
21.406769;0.000000;0.471805;7.000000;5.000000;0.445000;0.435000;0.471805;-1.000000;1.000000;
21.406827;0.000000;0.471805;7.000000;5.000000;0.445000;0.435000;0.471805;-1.000000;1.000000;
21.406827;0.000000;0.471805;7.000000;5.000000;0.445000;0.435000;0.471805;-1.000000;1.000000;
21.406827;0.000000;0.471805;7.000000;5.000000;0.445000;0.435000;0.471805;-1.000000;1.000000;
21.407281;0.000000;0.471799;7.000000;5.000000;0.445000;0.435000;0.471799;-1.000000;1.000000;
21.408305;0.000000;0.471787;7.000000;5.000000;0.445000;0.435000;0.471787;-1.000000;1.000000;
21.410353;0.000000;0.471762;7.000000;5.000000;0.445000;0.435000;0.471762;-1.000000;1.000000;
21.410620;0.000000;0.471758;7.000000;5.000000;0.445000;0.435000;0.471758;-1.000000;1.000000;
21.410620;0.000000;0.471758;7.000000;5.000000;0.445000;0.435000;0.471758;-1.000000;1.000000;
21.410620;0.000000;0.471758;7.000000;5.000000;0.445000;0.435000;0.471758;-1.000000;1.000000;
21.410863;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410863;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410864;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410865;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410867;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410871;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410879;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410895;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410927;0.000000;0.471755;7.000000;5.000000;0.445000;0.435000;0.471755;-1.000000;1.000000;
21.410991;0.000000;0.471754;7.000000;5.000000;0.445000;0.435000;0.471754;-1.000000;1.000000;
21.411119;0.000000;0.471752;7.000000;5.000000;0.445000;0.435000;0.471752;-1.000000;1.000000;
21.411375;0.000000;0.471749;7.000000;5.000000;0.445000;0.435000;0.471749;-1.000000;1.000000;
21.411887;0.000000;0.471743;7.000000;5.000000;0.445000;0.435000;0.471743;-1.000000;1.000000;
21.412911;0.000000;0.471730;7.000000;5.000000;0.445000;0.435000;0.471730;-1.000000;1.000000;
21.414959;0.000000;0.471704;7.000000;5.000000;0.445000;0.435000;0.471704;-1.000000;1.000000;
21.419055;0.000000;0.471650;7.000000;5.000000;0.445000;0.435000;0.471650;-1.000000;1.000000;
21.427247;0.000000;0.471538;7.000000;5.000000;0.445000;0.435000;0.471538;-1.000000;1.000000;
21.443631;0.000000;0.471296;7.000000;5.000000;0.445000;0.435000;0.471296;-1.000000;1.000000;
21.476399;0.000000;0.470757;7.000000;5.000000;0.445000;0.435000;0.470757;-1.000000;1.000000;
21.541935;0.000000;0.469613;7.000000;5.000000;0.445000;0.435000;0.469613;-1.000000;1.000000;
21.673007;0.000000;0.467971;7.000000;5.000000;0.445000;0.435000;0.467971;-1.000000;1.000000;
21.684179;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684179;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684180;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684181;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684183;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684187;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684195;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684211;0.000000;0.467996;7.000000;5.000000;0.445000;0.435000;0.467996;-1.000000;1.000000;
21.684243;0.000000;0.467995;7.000000;5.000000;0.445000;0.435000;0.467995;-1.000000;1.000000;
21.684307;0.000000;0.467995;7.000000;5.000000;0.445000;0.435000;0.467995;-1.000000;1.000000;
21.684435;0.000000;0.467994;7.000000;5.000000;0.445000;0.435000;0.467994;-1.000000;1.000000;
