time;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;NETWORK__KANA___1_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;GEN____6_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN____1_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____6_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN____1_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____6_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN____1_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____6_SM_generator_efdPu_value;GEN____9_SM_generator_efdPu_value;GEN____1_SM_generator_efdPu_value;GEN___12_SM_generator_efdPu_value;GEN____3_SM_generator_efdPu_value;GEN____8_SM_generator_efdPu_value;GEN____2_SM_generator_efdPu_value;
0.000512;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086762;0.139361;478.689979;310.017971;39.925090;449.870489;-0.045775;0.899650;2.299227;128.851051;128.745324;-1.002313;62.009447;-0.721942;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586441;1.423928;1.175823;1.648004;1.064105;
0.001024;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086618;0.139159;478.689909;310.017951;39.925194;449.870729;-0.045705;0.899617;2.299232;128.851072;128.745212;-1.002229;62.009558;-0.721983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055968;1.025004;1.586442;1.423929;1.175823;1.648003;1.064106;
0.002048;0.979989;1.004961;1.015040;1.039999;0.984956;0.979997;1.009992;0.086329;0.138752;478.689770;310.017913;39.925402;449.871209;-0.045563;0.899554;2.299244;128.851113;128.744994;-1.002063;62.009775;-0.722065;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055969;1.025005;1.586442;1.423931;1.175821;1.648001;1.064106;
0.004096;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.085751;0.137936;478.689490;310.017844;39.925821;449.872169;-0.045282;0.899437;2.299272;128.851194;128.744571;-1.001743;62.010194;-0.722223;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055970;1.025005;1.586443;1.423935;1.175819;1.647998;1.064106;
0.005367;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.085393;0.137427;478.689316;310.017804;39.926083;449.872764;-0.045109;0.899369;2.299291;128.851243;128.744318;-1.001553;62.010444;-0.722318;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055971;1.025006;1.586443;1.423938;1.175818;1.647997;1.064107;
0.005367;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.085393;0.137427;478.689316;310.017804;39.926083;449.872764;-0.045109;0.899369;2.299291;128.851243;128.744318;-1.001553;62.010444;-0.722318;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055971;1.025006;1.586443;1.423938;1.175818;1.647997;1.064107;
0.005367;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.085393;0.137427;478.689316;310.017804;39.926083;449.872764;-0.045109;0.899369;2.299291;128.851243;128.744318;-1.001553;62.010444;-0.722318;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055971;1.025006;1.586443;1.423938;1.175818;1.647997;1.064107;
0.005625;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.085320;0.137323;478.689280;310.017796;39.926137;449.872886;-0.045074;0.899355;2.299295;128.851253;128.744268;-1.001516;62.010494;-0.722337;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055971;1.025006;1.586443;1.423938;1.175817;1.647996;1.064107;
0.005625;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.085320;0.137323;478.689280;310.017796;39.926137;449.872886;-0.045074;0.899355;2.299295;128.851253;128.744268;-1.001516;62.010494;-0.722337;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055971;1.025006;1.586443;1.423938;1.175817;1.647996;1.064107;
0.005625;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.085320;0.137323;478.689280;310.017796;39.926137;449.872886;-0.045074;0.899355;2.299295;128.851253;128.744268;-1.001516;62.010494;-0.722337;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055971;1.025006;1.586443;1.423938;1.175817;1.647996;1.064107;
0.008192;0.979989;1.004961;1.015039;1.039999;0.984956;0.979997;1.009992;0.084596;0.136287;478.688926;310.017727;39.926673;449.874090;-0.044725;0.899232;2.299341;128.851349;128.743782;-1.001153;62.010973;-0.722523;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055973;1.025007;1.586444;1.423943;1.175814;1.647993;1.064107;
0.016384;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082270;0.132923;478.687778;310.017572;39.928432;449.877956;-0.043625;0.898935;2.299534;128.851641;128.742413;-1.000151;62.012310;-0.723061;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025010;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016662;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082190;0.132807;478.687738;310.017568;39.928493;449.878088;-0.043588;0.898927;2.299542;128.851650;128.742370;-1.000120;62.012352;-0.723079;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016662;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082190;0.132807;478.687738;310.017568;39.928493;449.878088;-0.043588;0.898927;2.299542;128.851650;128.742370;-1.000120;62.012352;-0.723079;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016663;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082190;0.132807;478.687738;310.017568;39.928493;449.878088;-0.043587;0.898927;2.299542;128.851650;128.742370;-1.000120;62.012352;-0.723079;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016664;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082190;0.132806;478.687738;310.017568;39.928494;449.878089;-0.043587;0.898927;2.299542;128.851650;128.742370;-1.000120;62.012352;-0.723079;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016666;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082189;0.132805;478.687738;310.017568;39.928494;449.878090;-0.043587;0.898927;2.299542;128.851650;128.742370;-1.000120;62.012352;-0.723079;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016670;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082188;0.132804;478.687737;310.017568;39.928495;449.878092;-0.043586;0.898927;2.299542;128.851651;128.742369;-1.000119;62.012353;-0.723079;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016678;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082186;0.132800;478.687736;310.017568;39.928497;449.878095;-0.043585;0.898926;2.299542;128.851651;128.742368;-1.000119;62.012354;-0.723079;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016694;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082181;0.132794;478.687734;310.017568;39.928500;449.878103;-0.043583;0.898926;2.299543;128.851651;128.742366;-1.000117;62.012356;-0.723080;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016726;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082172;0.132780;478.687729;310.017567;39.928507;449.878118;-0.043579;0.898925;2.299543;128.851652;128.742361;-1.000114;62.012361;-0.723082;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016790;0.979989;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082154;0.132754;478.687720;310.017566;39.928521;449.878148;-0.043570;0.898924;2.299545;128.851655;128.742351;-1.000107;62.012370;-0.723086;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.016918;0.979988;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082117;0.132700;478.687702;310.017565;39.928549;449.878209;-0.043553;0.898920;2.299549;128.851659;128.742332;-1.000093;62.012388;-0.723094;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423957;1.175806;1.647983;1.064109;
0.017174;0.979988;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.082044;0.132594;478.687666;310.017562;39.928606;449.878330;-0.043519;0.898914;2.299556;128.851668;128.742295;-1.000066;62.012425;-0.723109;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055977;1.025011;1.586446;1.423958;1.175806;1.647982;1.064109;
0.017686;0.979988;1.004962;1.015038;1.039999;0.984957;0.979997;1.009992;0.081898;0.132380;478.687593;310.017557;39.928719;449.878573;-0.043451;0.898901;2.299571;128.851685;128.742220;-1.000013;62.012497;-0.723140;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055978;1.025011;1.586446;1.423958;1.175805;1.647982;1.064109;
0.018710;0.979988;1.004962;1.015038;1.039998;0.984957;0.979997;1.009992;0.081606;0.131951;478.687447;310.017547;39.928945;449.879059;-0.043315;0.898877;2.299602;128.851719;128.742073;-0.999909;62.012638;-0.723200;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055978;1.025011;1.586446;1.423960;1.175804;1.647981;1.064109;
0.020758;0.979988;1.004962;1.015038;1.039998;0.984957;0.979997;1.009992;0.081019;0.131089;478.687153;310.017531;39.929402;449.880034;-0.043044;0.898836;2.299666;128.851786;128.741791;-0.999710;62.012908;-0.723317;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055979;1.025012;1.586447;1.423963;1.175803;1.647979;1.064110;
0.024854;0.979988;1.004962;1.015038;1.039998;0.984957;0.979996;1.009992;0.079836;0.129347;478.686561;310.017514;39.930332;449.881995;-0.042503;0.898778;2.299808;128.851917;128.741270;-0.999350;62.013402;-0.723539;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055981;1.025014;1.586448;1.423968;1.175799;1.647976;1.064110;
0.033046;0.979988;1.004962;1.015038;1.039998;0.984957;0.979996;1.009992;0.077431;0.125787;478.685352;310.017535;39.932255;449.885974;-0.041424;0.898751;2.300139;128.852168;128.740385;-0.998767;62.014221;-0.723939;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055985;1.025017;1.586449;1.423977;1.175793;1.647970;1.064111;
0.049430;0.979988;1.004962;1.015037;1.039998;0.984957;0.979996;1.009992;0.072432;0.118359;478.682835;310.017739;39.936357;449.894199;-0.039263;0.899004;2.300977;128.852641;128.739141;-0.998062;62.015286;-0.724596;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.055992;1.025025;1.586451;1.423991;1.175784;1.647964;1.064111;
0.082198;0.979987;1.004962;1.015036;1.039998;0.984958;0.979995;1.009992;0.061615;0.102329;478.677441;310.018492;39.945521;449.911852;-0.034834;0.900435;2.303235;128.853535;128.738171;-0.998003;62.015745;-0.725525;1.000000;0.999999;1.000000;1.000000;1.000000;1.000001;1.000000;1.056006;1.025040;1.586452;1.424007;1.175773;1.647964;1.064110;
0.147734;0.979985;1.004961;1.015036;1.039998;0.984959;0.979993;1.009993;0.037716;0.067163;478.665908;310.019978;39.966398;449.950705;-0.025391;0.905399;2.309247;128.855291;128.739641;-1.000888;62.012996;-0.726618;0.999999;0.999999;1.000000;1.000000;1.000001;1.000001;1.000000;1.056033;1.025072;1.586452;1.424012;1.175768;1.647994;1.064101;
0.278806;0.979982;1.004957;1.015036;1.039998;0.984959;0.979989;1.009994;-0.006957;0.000146;478.646405;310.019063;40.006844;450.023916;-0.005860;0.917062;2.322404;128.858288;128.747496;-1.010214;62.003672;-0.727750;0.999999;0.999999;1.000000;1.000000;1.000001;1.000001;1.000000;1.056077;1.025129;1.586449;1.423991;1.175783;1.648079;1.064080;
0.540950;0.979980;1.004953;1.015039;1.039998;0.984957;0.979987;1.009995;-0.044537;-0.065304;478.639263;310.006503;40.044966;450.083847;0.022365;0.931290;2.338106;128.860039;128.763673;-1.024893;61.991649;-0.728149;1.000000;0.999999;1.000000;1.000000;1.000000;1.000000;1.000000;1.056090;1.025163;1.586448;1.423932;1.175841;1.648173;1.064055;
0.828557;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038442;478.654587;310.002709;40.028483;450.046704;0.019355;0.930909;2.335922;128.857852;128.769266;-1.028604;61.989625;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828557;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038442;478.654587;310.002709;40.028483;450.046704;0.019355;0.930909;2.335922;128.857852;128.769266;-1.028604;61.989625;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828558;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038443;478.654587;310.002709;40.028483;450.046704;0.019355;0.930909;2.335922;128.857852;128.769266;-1.028604;61.989625;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828559;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038443;478.654587;310.002709;40.028483;450.046704;0.019355;0.930909;2.335922;128.857852;128.769266;-1.028604;61.989625;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828561;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038443;478.654587;310.002709;40.028483;450.046704;0.019355;0.930909;2.335922;128.857852;128.769266;-1.028604;61.989625;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828565;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038443;478.654587;310.002709;40.028483;450.046704;0.019355;0.930909;2.335922;128.857852;128.769267;-1.028604;61.989625;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828573;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038442;478.654588;310.002708;40.028483;450.046703;0.019356;0.930909;2.335922;128.857852;128.769267;-1.028605;61.989624;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828589;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024040;-0.038442;478.654588;310.002708;40.028483;450.046703;0.019356;0.930909;2.335922;128.857852;128.769268;-1.028605;61.989624;-0.726310;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828621;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024039;-0.038442;478.654590;310.002706;40.028483;450.046701;0.019357;0.930910;2.335923;128.857852;128.769269;-1.028606;61.989623;-0.726309;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828685;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024037;-0.038442;478.654593;310.002704;40.028483;450.046698;0.019360;0.930911;2.335924;128.857852;128.769272;-1.028608;61.989622;-0.726309;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.828813;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024034;-0.038442;478.654599;310.002698;40.028482;450.046692;0.019364;0.930913;2.335926;128.857851;128.769278;-1.028613;61.989619;-0.726308;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.829069;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024029;-0.038442;478.654612;310.002687;40.028481;450.046680;0.019373;0.930918;2.335930;128.857850;128.769289;-1.028621;61.989613;-0.726307;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423877;1.175885;1.648170;1.064054;
0.829581;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.024017;-0.038440;478.654637;310.002665;40.028479;450.046655;0.019390;0.930927;2.335937;128.857847;128.769312;-1.028638;61.989601;-0.726304;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423876;1.175885;1.648170;1.064054;
0.830605;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.023992;-0.038437;478.654687;310.002622;40.028473;450.046604;0.019425;0.930945;2.335952;128.857841;128.769357;-1.028671;61.989578;-0.726298;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025118;1.586444;1.423876;1.175885;1.648171;1.064054;
0.832653;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.023940;-0.038425;478.654789;310.002534;40.028459;450.046497;0.019493;0.930980;2.335981;128.857830;128.769447;-1.028737;61.989532;-0.726287;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056043;1.025117;1.586444;1.423876;1.175886;1.648171;1.064054;
0.836749;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.023823;-0.038386;478.655000;310.002359;40.028420;450.046263;0.019625;0.931046;2.336035;128.857806;128.769623;-1.028865;61.989446;-0.726264;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056042;1.025117;1.586444;1.423875;1.175887;1.648171;1.064054;
0.844941;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.023543;-0.038240;478.655445;310.002009;40.028300;450.045715;0.019874;0.931164;2.336129;128.857756;128.769963;-1.029108;61.989288;-0.726219;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056041;1.025116;1.586444;1.423873;1.175889;1.648172;1.064054;
0.861325;0.979982;1.004954;1.015041;1.039998;0.984955;0.979989;1.009995;-0.022799;-0.037687;478.656424;310.001312;40.027894;450.044308;0.020308;0.931347;2.336261;128.857642;128.770599;-1.029547;61.989030;-0.726129;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056038;1.025114;1.586444;1.423869;1.175892;1.648173;1.064054;
0.894093;0.979983;1.004954;1.015042;1.039998;0.984954;0.979989;1.009995;-0.020651;-0.035622;478.658689;309.999970;40.026477;450.040359;0.020923;0.931529;2.336321;128.857369;128.771721;-1.030264;61.988700;-0.725943;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056032;1.025108;1.586444;1.423862;1.175899;1.648173;1.064053;
0.901842;0.979983;1.004954;1.015042;1.039998;0.984954;0.979990;1.009995;-0.020050;-0.034987;478.659263;309.999673;40.026052;450.039259;0.021024;0.931546;2.336304;128.857298;128.771963;-1.030411;61.988645;-0.725897;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056030;1.025107;1.586444;1.423860;1.175901;1.648173;1.064053;
0.901842;0.979983;1.004954;1.015042;1.039998;0.984954;0.979990;1.009995;-0.020050;-0.034987;478.659263;309.999673;40.026052;450.039259;0.021024;0.931546;2.336304;128.857298;128.771963;-1.030411;61.988645;-0.725897;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056030;1.025107;1.586444;1.423860;1.175901;1.648173;1.064053;
0.901842;0.979983;1.004954;1.015042;1.039998;0.984954;0.979990;1.009995;-0.020050;-0.034987;478.659263;309.999673;40.026052;450.039259;0.021024;0.931546;2.336304;128.857298;128.771963;-1.030411;61.988645;-0.725897;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056030;1.025107;1.586444;1.423860;1.175901;1.648173;1.064053;
0.959629;0.979984;1.004954;1.015042;1.039998;0.984954;0.979990;1.009995;-0.014434;-0.028497;478.663999;309.997708;40.021810;450.029041;0.021230;0.931353;2.335802;128.856695;128.773490;-1.031231;61.988518;-0.725530;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056018;1.025095;1.586444;1.423848;1.175912;1.648169;1.064053;
0.963979;0.979984;1.004954;1.015042;1.039998;0.984954;0.979990;1.009995;-0.013997;-0.027966;478.664347;309.997587;40.021469;450.028242;0.021219;0.931331;2.335753;128.856650;128.773591;-1.031284;61.988512;-0.725502;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056017;1.025094;1.586444;1.423847;1.175913;1.648169;1.064053;
0.963979;0.979984;1.004954;1.015042;1.039998;0.984954;0.979990;1.009995;-0.013997;-0.027966;478.664347;309.997587;40.021469;450.028242;0.021219;0.931331;2.335753;128.856650;128.773591;-1.031284;61.988512;-0.725502;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.056017;1.025094;1.586444;1.423847;1.175913;1.648169;1.064053;
