time;NETWORK_L-4-5-1 _P1_value;NETWORK_L-4-5-1 _Q1_value;NETWORK_L-4-5-1 _P2_value;NETWORK_L-4-5-1 _Q2_value;B1-G1 _generator_PGenPu;B1-G1 _generator_QGenPu;B2-G1 _generator_PGenPu;B2-G1 _generator_QGenPu;B3-G1 _generator_PGenPu;B3-G1 _generator_QGenPu;
220.000000;0.709901;0.178198;-0.704032;-0.295556;0.709901;0.209761;1.618553;0.187243;0.839698;0.175340;
230.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
240.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
250.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
260.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
270.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
280.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
290.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
300.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
310.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
320.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
330.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
340.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
350.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
360.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
370.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
380.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
390.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
400.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
410.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
420.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
430.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
440.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
450.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
460.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
470.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
480.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
490.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
500.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
510.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
520.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
530.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
540.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
550.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
560.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
570.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
580.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
590.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
600.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
610.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
620.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
630.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
640.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
650.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
660.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
670.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
680.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
690.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
700.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
710.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
720.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
730.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
740.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
750.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
760.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
770.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
780.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
790.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
800.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
810.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
820.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
830.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
840.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
850.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
860.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
870.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
880.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
890.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
900.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
910.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
920.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
930.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
940.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
950.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
960.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
970.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
980.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
990.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
1000.000000;0.709899;0.178198;-0.704030;-0.295555;0.709899;0.209760;1.618550;0.187241;0.839695;0.175333;
