time;NETWORK_B1_U_value;NETWORK_B2_U_value;NETWORK_B3_U_value;NETWORK_B4_U_value;NETWORK_B5_U_value;NETWORK_B6_U_value;NETWORK_B7_U_value;NETWORK_B8_U_value;NETWORK_B9_U_value;NETWORK_B10_U_value;NETWORK_B11_U_value;NETWORK_B12_U_value;NETWORK_B13_U_value;NETWORK_B14_U_value;NETWORK_B15_U_value;B1-G1_generator_omegaPu;B1-G1_generator_PGen;B1-G1_generator_QGen;B8-G1_generator_PGen;B10-G1_generator_PGen;B12-G1_generator_PGen;B19-G1_generator_PGen;B54-G1_generator_PGen;B59-G1_generator_PGen;B116-G1_generator_PGen;B112-G1_generator_PGen;B110-G1_generator_PGen;B8-G1_generator_QGen;B10-G1_generator_QGen;B12-G1_generator_QGen;B116-G1_generator_QGen;B112-G1_generator_QGen;
0.005120;131.791188;134.053819;133.542870;137.725525;138.275431;136.621422;136.528845;140.071829;143.924028;144.900656;135.944019;136.621898;133.627474;135.737427;133.861629;1.000000;-0.001458;-3.109405;-0.002486;449.998792;84.999316;-0.003621;47.991413;155.068483;-0.001106;0.000081;-0.000289;62.748301;-51.058546;91.292643;51.321079;41.511551;
0.006411;131.791184;134.053813;133.542866;137.725520;138.275426;136.621418;136.528840;140.071824;143.924025;144.900656;135.944013;136.621892;133.627469;135.737421;133.861624;1.000000;-0.001453;-3.109388;-0.002476;449.998803;84.999321;-0.003609;47.991534;155.068102;-0.001098;0.000082;-0.000288;62.748319;-51.058488;91.292561;51.321084;41.511551;
0.006411;131.791184;134.053813;133.542866;137.725520;138.275426;136.621418;136.528840;140.071824;143.924025;144.900656;135.944013;136.621892;133.627469;135.737421;133.861624;1.000000;-0.001453;-3.109388;-0.002476;449.998803;84.999321;-0.003609;47.991534;155.068102;-0.001098;0.000082;-0.000288;62.748319;-51.058488;91.292561;51.321084;41.511551;
0.006421;131.791184;134.053813;133.542866;137.725520;138.275426;136.621418;136.528840;140.071824;143.924025;144.900656;135.944013;136.621892;133.627469;135.737421;133.861624;1.000000;-0.001453;-3.109388;-0.002476;449.998803;84.999321;-0.003609;47.991535;155.068099;-0.001098;0.000082;-0.000288;62.748319;-51.058487;91.292560;51.321084;41.511551;
0.006431;131.791184;134.053813;133.542866;137.725520;138.275426;136.621418;136.528840;140.071824;143.924025;144.900656;135.944013;136.621892;133.627469;135.737421;133.861624;1.000000;-0.001453;-3.109388;-0.002476;449.998803;84.999321;-0.003608;47.991536;155.068096;-0.001098;0.000082;-0.000288;62.748319;-51.058487;91.292560;51.321084;41.511551;
0.006451;131.791184;134.053813;133.542866;137.725520;138.275426;136.621418;136.528840;140.071824;143.924025;144.900656;135.944013;136.621891;133.627469;135.737421;133.861624;1.000000;-0.001453;-3.109388;-0.002476;449.998803;84.999321;-0.003608;47.991538;155.068090;-0.001098;0.000082;-0.000288;62.748320;-51.058486;91.292558;51.321084;41.511551;
0.006491;131.791184;134.053813;133.542866;137.725520;138.275426;136.621418;136.528839;140.071824;143.924025;144.900656;135.944013;136.621891;133.627469;135.737421;133.861624;1.000000;-0.001453;-3.109387;-0.002476;449.998804;84.999321;-0.003608;47.991542;155.068079;-0.001098;0.000082;-0.000288;62.748320;-51.058484;91.292556;51.321084;41.511551;
0.006571;131.791184;134.053813;133.542866;137.725520;138.275426;136.621417;136.528839;140.071824;143.924025;144.900656;135.944012;136.621891;133.627469;135.737420;133.861624;1.000000;-0.001452;-3.109386;-0.002475;449.998804;84.999321;-0.003607;47.991549;155.068055;-0.001097;0.000082;-0.000288;62.748321;-51.058480;91.292551;51.321084;41.511551;
0.006731;131.791183;134.053812;133.542865;137.725519;138.275425;136.621417;136.528838;140.071823;143.924025;144.900656;135.944012;136.621890;133.627468;135.737420;133.861623;1.000000;-0.001452;-3.109384;-0.002474;449.998806;84.999322;-0.003606;47.991564;155.068008;-0.001096;0.000082;-0.000288;62.748324;-51.058473;91.292541;51.321085;41.511551;
0.007051;131.791182;134.053811;133.542864;137.725518;138.275424;136.621416;136.528837;140.071822;143.924024;144.900656;135.944010;136.621889;133.627467;135.737418;133.861622;1.000000;-0.001450;-3.109380;-0.002471;449.998808;84.999323;-0.003603;47.991594;155.067914;-0.001094;0.000082;-0.000288;62.748328;-51.058459;91.292520;51.321086;41.511552;
0.007584;131.791181;134.053809;133.542862;137.725516;138.275422;136.621414;136.528835;140.071820;143.924023;144.900656;135.944008;136.621886;133.627465;135.737416;133.861620;1.000000;-0.001448;-3.109374;-0.002467;449.998813;84.999325;-0.003598;47.991644;155.067759;-0.001091;0.000082;-0.000288;62.748336;-51.058435;91.292487;51.321088;41.511552;
0.007584;131.791181;134.053809;133.542862;137.725516;138.275422;136.621414;136.528835;140.071820;143.924023;144.900656;135.944008;136.621886;133.627465;135.737416;133.861620;1.000000;-0.001448;-3.109374;-0.002467;449.998813;84.999325;-0.003598;47.991644;155.067759;-0.001091;0.000082;-0.000288;62.748336;-51.058435;91.292487;51.321088;41.511552;
0.007594;131.791181;134.053809;133.542862;137.725516;138.275422;136.621414;136.528835;140.071820;143.924023;144.900656;135.944008;136.621886;133.627465;135.737416;133.861620;1.000000;-0.001448;-3.109373;-0.002467;449.998813;84.999325;-0.003597;47.991645;155.067756;-0.001091;0.000082;-0.000288;62.748336;-51.058434;91.292486;51.321088;41.511552;
0.007604;131.791181;134.053808;133.542862;137.725516;138.275422;136.621414;136.528835;140.071820;143.924023;144.900656;135.944008;136.621886;133.627465;135.737416;133.861620;1.000000;-0.001448;-3.109373;-0.002467;449.998813;84.999325;-0.003597;47.991646;155.067753;-0.001091;0.000082;-0.000288;62.748336;-51.058434;91.292486;51.321088;41.511552;
0.007624;131.791180;134.053808;133.542862;137.725516;138.275422;136.621414;136.528835;140.071820;143.924023;144.900656;135.944008;136.621886;133.627465;135.737416;133.861620;1.000000;-0.001448;-3.109373;-0.002466;449.998813;84.999325;-0.003597;47.991648;155.067747;-0.001091;0.000082;-0.000288;62.748336;-51.058433;91.292484;51.321088;41.511552;
0.007664;131.791180;134.053808;133.542862;137.725516;138.275422;136.621413;136.528835;140.071820;143.924023;144.900656;135.944008;136.621886;133.627464;135.737415;133.861620;1.000000;-0.001448;-3.109373;-0.002466;449.998813;84.999325;-0.003597;47.991651;155.067735;-0.001091;0.000082;-0.000288;62.748337;-51.058431;91.292482;51.321088;41.511552;
0.007744;131.791180;134.053808;133.542862;137.725516;138.275422;136.621413;136.528834;140.071820;143.924023;144.900656;135.944007;136.621885;133.627464;135.737415;133.861620;1.000000;-0.001448;-3.109372;-0.002465;449.998814;84.999326;-0.003596;47.991659;155.067712;-0.001090;0.000082;-0.000288;62.748338;-51.058428;91.292477;51.321089;41.511552;
0.007904;131.791180;134.053807;133.542861;137.725515;138.275421;136.621413;136.528834;140.071819;143.924023;144.900656;135.944007;136.621885;133.627463;135.737414;133.861619;1.000000;-0.001447;-3.109370;-0.002464;449.998815;84.999326;-0.003595;47.991674;155.067665;-0.001089;0.000082;-0.000288;62.748340;-51.058420;91.292467;51.321089;41.511552;
0.008224;131.791179;134.053806;133.542860;137.725514;138.275420;136.621412;136.528833;140.071818;143.924022;144.900656;135.944005;136.621883;133.627462;135.737413;133.861618;1.000000;-0.001446;-3.109366;-0.002461;449.998818;84.999328;-0.003592;47.991703;155.067572;-0.001087;0.000082;-0.000288;62.748345;-51.058406;91.292447;51.321090;41.511552;
0.008585;131.791178;134.053805;133.542859;137.725513;138.275419;136.621410;136.528831;140.071817;143.924021;144.900656;135.944004;136.621881;133.627461;135.737411;133.861617;1.000000;-0.001444;-3.109361;-0.002458;449.998821;84.999329;-0.003588;47.991737;155.067467;-0.001085;0.000082;-0.000288;62.748350;-51.058390;91.292424;51.321092;41.511552;
0.008585;131.791178;134.053805;133.542859;137.725513;138.275419;136.621410;136.528831;140.071817;143.924021;144.900656;135.944004;136.621881;133.627461;135.737411;133.861617;1.000000;-0.001444;-3.109361;-0.002458;449.998821;84.999329;-0.003588;47.991737;155.067467;-0.001085;0.000082;-0.000288;62.748350;-51.058390;91.292424;51.321092;41.511552;
0.008595;131.791178;134.053805;133.542859;137.725513;138.275419;136.621410;136.528831;140.071817;143.924021;144.900656;135.944004;136.621881;133.627461;135.737411;133.861617;1.000000;-0.001444;-3.109361;-0.002458;449.998821;84.999329;-0.003588;47.991738;155.067465;-0.001085;0.000082;-0.000288;62.748350;-51.058390;91.292424;51.321092;41.511552;
0.008605;131.791178;134.053804;133.542859;137.725513;138.275419;136.621410;136.528831;140.071817;143.924021;144.900656;135.944004;136.621881;133.627461;135.737411;133.861617;1.000000;-0.001444;-3.109361;-0.002458;449.998821;84.999329;-0.003588;47.991739;155.067462;-0.001085;0.000082;-0.000288;62.748350;-51.058389;91.292423;51.321092;41.511552;
0.008625;131.791178;134.053804;133.542859;137.725513;138.275419;136.621410;136.528831;140.071817;143.924021;144.900656;135.944004;136.621881;133.627461;135.737411;133.861617;1.000000;-0.001444;-3.109361;-0.002458;449.998821;84.999329;-0.003588;47.991741;155.067456;-0.001085;0.000082;-0.000288;62.748350;-51.058388;91.292422;51.321092;41.511552;
0.008665;131.791177;134.053804;133.542859;137.725512;138.275418;136.621410;136.528831;140.071816;143.924021;144.900656;135.944004;136.621881;133.627460;135.737411;133.861617;1.000000;-0.001444;-3.109360;-0.002458;449.998821;84.999329;-0.003587;47.991744;155.067444;-0.001084;0.000082;-0.000288;62.748351;-51.058387;91.292419;51.321092;41.511552;
0.008745;131.791177;134.053804;133.542858;137.725512;138.275418;136.621410;136.528830;140.071816;143.924021;144.900656;135.944003;136.621881;133.627460;135.737411;133.861616;1.000000;-0.001444;-3.109359;-0.002457;449.998822;84.999329;-0.003587;47.991752;155.067421;-0.001084;0.000082;-0.000288;62.748352;-51.058383;91.292414;51.321092;41.511552;
0.008905;131.791177;134.053803;133.542858;137.725512;138.275418;136.621409;136.528830;140.071816;143.924021;144.900656;135.944003;136.621880;133.627459;135.737410;133.861616;1.000000;-0.001443;-3.109357;-0.002456;449.998823;84.999330;-0.003585;47.991766;155.067375;-0.001083;0.000082;-0.000288;62.748354;-51.058376;91.292404;51.321093;41.511552;
0.009225;131.791176;134.053802;133.542857;137.725511;138.275417;136.621408;136.528829;140.071815;143.924020;144.900656;135.944001;136.621878;133.627458;135.737409;133.861615;1.000000;-0.001442;-3.109353;-0.002453;449.998826;84.999331;-0.003582;47.991796;155.067282;-0.001081;0.000083;-0.000288;62.748358;-51.058362;91.292385;51.321094;41.511552;
0.009865;131.791174;134.053799;133.542855;137.725508;138.275414;136.621406;136.528826;140.071812;143.924019;144.900656;135.943999;136.621875;133.627456;135.737406;133.861613;1.000000;-0.001439;-3.109346;-0.002447;449.998830;84.999333;-0.003576;47.991855;155.067098;-0.001077;0.000083;-0.000287;62.748367;-51.058333;91.292345;51.321096;41.511552;
0.011145;131.791170;134.053794;133.542850;137.725504;138.275410;136.621401;136.528821;140.071808;143.924016;144.900656;135.943993;136.621869;133.627451;135.737400;133.861608;1.000000;-0.001434;-3.109330;-0.002436;449.998840;84.999338;-0.003563;47.991972;155.066731;-0.001068;0.000083;-0.000287;62.748385;-51.058277;91.292267;51.321101;41.511552;
0.013705;131.791163;134.053784;133.542842;137.725495;138.275401;136.621393;136.528811;140.071799;143.924011;144.900656;135.943983;136.621857;133.627441;135.737389;133.861600;1.000000;-0.001423;-3.109299;-0.002412;449.998858;84.999347;-0.003538;47.992204;155.066005;-0.001051;0.000084;-0.000287;62.748419;-51.058167;91.292114;51.321110;41.511553;
0.014442;131.791161;134.053781;133.542840;137.725493;138.275398;136.621390;136.528808;140.071797;143.924010;144.900656;135.943980;136.621854;133.627438;135.737386;133.861597;1.000000;-0.001420;-3.109291;-0.002405;449.998863;84.999349;-0.003530;47.992270;155.065798;-0.001045;0.000084;-0.000286;62.748429;-51.058135;91.292070;51.321113;41.511553;
0.014442;131.791161;134.053781;133.542840;137.725493;138.275398;136.621390;136.528808;140.071797;143.924010;144.900656;135.943980;136.621854;133.627438;135.737386;133.861597;1.000000;-0.001420;-3.109291;-0.002405;449.998863;84.999349;-0.003530;47.992270;155.065798;-0.001045;0.000084;-0.000286;62.748429;-51.058135;91.292070;51.321113;41.511553;
0.014452;131.791161;134.053781;133.542840;137.725493;138.275398;136.621390;136.528808;140.071796;143.924010;144.900656;135.943980;136.621854;133.627438;135.737386;133.861597;1.000000;-0.001420;-3.109291;-0.002405;449.998863;84.999349;-0.003530;47.992271;155.065795;-0.001045;0.000084;-0.000286;62.748429;-51.058135;91.292069;51.321113;41.511553;
0.014462;131.791161;134.053781;133.542840;137.725493;138.275398;136.621390;136.528808;140.071796;143.924010;144.900656;135.943980;136.621854;133.627438;135.737386;133.861597;1.000000;-0.001420;-3.109291;-0.002404;449.998863;84.999349;-0.003530;47.992271;155.065793;-0.001045;0.000084;-0.000286;62.748429;-51.058135;91.292069;51.321113;41.511553;
0.014482;131.791161;134.053781;133.542839;137.725493;138.275398;136.621390;136.528808;140.071796;143.924010;144.900656;135.943979;136.621854;133.627438;135.737386;133.861597;1.000000;-0.001420;-3.109290;-0.002404;449.998863;84.999349;-0.003530;47.992273;155.065787;-0.001045;0.000084;-0.000286;62.748429;-51.058134;91.292068;51.321113;41.511553;
0.014522;131.791161;134.053781;133.542839;137.725493;138.275398;136.621390;136.528808;140.071796;143.924010;144.900656;135.943979;136.621854;133.627438;135.737386;133.861597;1.000000;-0.001420;-3.109290;-0.002404;449.998863;84.999349;-0.003529;47.992277;155.065776;-0.001045;0.000084;-0.000286;62.748430;-51.058132;91.292065;51.321113;41.511553;
0.014602;131.791160;134.053781;133.542839;137.725492;138.275398;136.621390;136.528808;140.071796;143.924010;144.900656;135.943979;136.621853;133.627437;135.737386;133.861597;1.000000;-0.001419;-3.109289;-0.002403;449.998864;84.999350;-0.003529;47.992284;155.065753;-0.001044;0.000084;-0.000286;62.748431;-51.058129;91.292061;51.321114;41.511553;
0.014762;131.791160;134.053780;133.542839;137.725492;138.275397;136.621389;136.528807;140.071795;143.924009;144.900656;135.943978;136.621853;133.627437;135.737385;133.861596;1.000000;-0.001419;-3.109287;-0.002402;449.998865;84.999350;-0.003527;47.992298;155.065708;-0.001043;0.000084;-0.000286;62.748433;-51.058122;91.292051;51.321114;41.511553;
0.015082;131.791159;134.053779;133.542838;137.725491;138.275396;136.621388;136.528806;140.071794;143.924009;144.900655;135.943977;136.621851;133.627435;135.737384;133.861595;1.000000;-0.001417;-3.109283;-0.002398;449.998867;84.999351;-0.003524;47.992327;155.065619;-0.001041;0.000084;-0.000286;62.748437;-51.058108;91.292032;51.321115;41.511553;
0.015722;131.791157;134.053776;133.542835;137.725489;138.275394;136.621386;136.528803;140.071792;143.924007;144.900655;135.943974;136.621848;133.627433;135.737381;133.861593;1.000000;-0.001415;-3.109276;-0.002392;449.998871;84.999353;-0.003517;47.992384;155.065440;-0.001036;0.000084;-0.000286;62.748446;-51.058081;91.291995;51.321118;41.511553;
0.017002;131.791154;134.053771;133.542831;137.725484;138.275390;136.621382;136.528799;140.071788;143.924005;144.900655;135.943969;136.621842;133.627428;135.737375;133.861589;1.000000;-0.001409;-3.109261;-0.002379;449.998879;84.999358;-0.003504;47.992497;155.065085;-0.001026;0.000085;-0.000286;62.748462;-51.058028;91.291921;51.321123;41.511553;
0.019562;131.791146;134.053762;133.542823;137.725476;138.275381;136.621373;136.528789;140.071779;143.924000;144.900654;135.943959;136.621831;133.627418;135.737365;133.861581;1.000000;-0.001397;-3.109232;-0.002352;449.998893;84.999365;-0.003477;47.992722;155.064381;-0.001007;0.000086;-0.000285;62.748495;-51.057922;91.291775;51.321132;41.511554;
0.019773;131.791146;134.053761;133.542822;137.725475;138.275380;136.621372;136.528788;140.071778;143.924000;144.900654;135.943958;136.621830;133.627418;135.737364;133.861580;1.000000;-0.001397;-3.109230;-0.002349;449.998895;84.999366;-0.003475;47.992741;155.064323;-0.001005;0.000086;-0.000285;62.748497;-51.057914;91.291763;51.321133;41.511554;
0.019773;131.791146;134.053761;133.542822;137.725475;138.275380;136.621372;136.528788;140.071778;143.924000;144.900654;135.943958;136.621830;133.627418;135.737364;133.861580;1.000000;-0.001397;-3.109230;-0.002349;449.998895;84.999366;-0.003475;47.992741;155.064323;-0.001005;0.000086;-0.000285;62.748497;-51.057914;91.291763;51.321133;41.511554;
0.019783;131.791146;134.053761;133.542822;137.725475;138.275380;136.621372;136.528788;140.071778;143.924000;144.900654;135.943958;136.621830;133.627417;135.737364;133.861580;1.000000;-0.001396;-3.109229;-0.002349;449.998895;84.999366;-0.003475;47.992742;155.064320;-0.001005;0.000086;-0.000285;62.748497;-51.057913;91.291763;51.321133;41.511554;
0.019793;131.791146;134.053761;133.542822;137.725475;138.275380;136.621372;136.528788;140.071778;143.924000;144.900654;135.943958;136.621830;133.627417;135.737364;133.861580;1.000000;-0.001396;-3.109229;-0.002349;449.998895;84.999366;-0.003475;47.992742;155.064317;-0.001005;0.000086;-0.000285;62.748497;-51.057913;91.291762;51.321133;41.511554;
0.019813;131.791146;134.053761;133.542822;137.725475;138.275380;136.621372;136.528788;140.071778;143.923999;144.900654;135.943958;136.621830;133.627417;135.737364;133.861580;1.000000;-0.001396;-3.109229;-0.002349;449.998895;84.999366;-0.003474;47.992744;155.064312;-0.001005;0.000086;-0.000285;62.748498;-51.057912;91.291761;51.321133;41.511554;
0.019853;131.791146;134.053760;133.542822;137.725475;138.275380;136.621372;136.528788;140.071778;143.923999;144.900654;135.943958;136.621829;133.627417;135.737363;133.861580;1.000000;-0.001396;-3.109229;-0.002348;449.998895;84.999366;-0.003474;47.992748;155.064301;-0.001004;0.000086;-0.000285;62.748498;-51.057910;91.291759;51.321133;41.511554;
0.019933;131.791145;134.053760;133.542822;137.725475;138.275380;136.621372;136.528787;140.071778;143.923999;144.900654;135.943957;136.621829;133.627417;135.737363;133.861579;1.000000;-0.001396;-3.109228;-0.002348;449.998895;84.999366;-0.003473;47.992755;155.064279;-0.001004;0.000086;-0.000285;62.748499;-51.057907;91.291754;51.321134;41.511554;
0.020093;131.791145;134.053760;133.542821;137.725474;138.275379;136.621371;136.528787;140.071777;143.923999;144.900654;135.943957;136.621828;133.627416;135.737362;133.861579;1.000000;-0.001395;-3.109226;-0.002346;449.998896;84.999367;-0.003471;47.992769;155.064236;-0.001002;0.000086;-0.000285;62.748501;-51.057901;91.291745;51.321134;41.511554;
0.020413;131.791144;134.053758;133.542820;137.725473;138.275378;136.621370;136.528786;140.071776;143.923998;144.900654;135.943955;136.621827;133.627415;135.737361;133.861578;1.000000;-0.001394;-3.109222;-0.002342;449.998898;84.999368;-0.003468;47.992796;155.064148;-0.001000;0.000086;-0.000285;62.748505;-51.057888;91.291728;51.321135;41.511554;
0.020809;131.791143;134.053757;133.542819;137.725472;138.275377;136.621369;136.528784;140.071775;143.923998;144.900654;135.943954;136.621825;133.627414;135.737360;133.861577;1.000000;-0.001392;-3.109218;-0.002338;449.998900;84.999369;-0.003464;47.992831;155.064041;-0.000997;0.000086;-0.000285;62.748510;-51.057872;91.291706;51.321137;41.511554;
0.020809;131.791143;134.053757;133.542819;137.725472;138.275377;136.621369;136.528784;140.071775;143.923998;144.900654;135.943954;136.621825;133.627414;135.737360;133.861577;1.000000;-0.001392;-3.109218;-0.002338;449.998900;84.999369;-0.003464;47.992831;155.064041;-0.000997;0.000086;-0.000285;62.748510;-51.057872;91.291706;51.321137;41.511554;
0.020819;131.791143;134.053757;133.542819;137.725472;138.275377;136.621369;136.528784;140.071775;143.923997;144.900654;135.943954;136.621825;133.627414;135.737359;133.861577;1.000000;-0.001392;-3.109218;-0.002338;449.998900;84.999369;-0.003464;47.992832;155.064038;-0.000997;0.000086;-0.000285;62.748510;-51.057871;91.291705;51.321137;41.511554;
0.020829;131.791143;134.053757;133.542819;137.725472;138.275377;136.621369;136.528784;140.071775;143.923997;144.900654;135.943954;136.621825;133.627414;135.737359;133.861577;1.000000;-0.001392;-3.109218;-0.002338;449.998900;84.999369;-0.003464;47.992832;155.064035;-0.000996;0.000086;-0.000285;62.748510;-51.057871;91.291704;51.321137;41.511554;
0.020849;131.791143;134.053757;133.542819;137.725472;138.275377;136.621369;136.528784;140.071775;143.923997;144.900654;135.943954;136.621825;133.627413;135.737359;133.861576;1.000000;-0.001392;-3.109217;-0.002337;449.998900;84.999369;-0.003463;47.992834;155.064030;-0.000996;0.000086;-0.000285;62.748511;-51.057870;91.291703;51.321137;41.511554;
0.020889;131.791143;134.053757;133.542819;137.725472;138.275377;136.621369;136.528784;140.071775;143.923997;144.900654;135.943954;136.621825;133.627413;135.737359;133.861576;1.000000;-0.001391;-3.109217;-0.002337;449.998901;84.999369;-0.003463;47.992838;155.064019;-0.000996;0.000086;-0.000285;62.748511;-51.057868;91.291701;51.321137;41.511554;
0.020969;131.791142;134.053756;133.542819;137.725471;138.275376;136.621368;136.528784;140.071774;143.923997;144.900654;135.943953;136.621824;133.627413;135.737359;133.861576;1.000000;-0.001391;-3.109216;-0.002336;449.998901;84.999370;-0.003462;47.992845;155.063997;-0.000995;0.000086;-0.000285;62.748512;-51.057865;91.291697;51.321138;41.511554;
0.021129;131.791142;134.053756;133.542818;137.725471;138.275376;136.621368;136.528783;140.071774;143.923997;144.900654;135.943953;136.621824;133.627412;135.737358;133.861576;1.000000;-0.001390;-3.109214;-0.002334;449.998902;84.999370;-0.003460;47.992858;155.063954;-0.000994;0.000086;-0.000285;62.748514;-51.057859;91.291688;51.321138;41.511554;
0.021449;131.791141;134.053754;133.542817;137.725470;138.275375;136.621367;136.528782;140.071773;143.923996;144.900654;135.943951;136.621822;133.627411;135.737357;133.861575;1.000000;-0.001389;-3.109211;-0.002331;449.998903;84.999371;-0.003457;47.992886;155.063867;-0.000991;0.000086;-0.000285;62.748518;-51.057846;91.291670;51.321139;41.511554;
0.022089;131.791139;134.053752;133.542815;137.725468;138.275373;136.621365;136.528779;140.071771;143.923995;144.900654;135.943949;136.621820;133.627409;135.737354;133.861572;1.000000;-0.001386;-3.109204;-0.002323;449.998907;84.999373;-0.003450;47.992941;155.063694;-0.000986;0.000086;-0.000285;62.748526;-51.057820;91.291635;51.321142;41.511554;
0.022607;131.791138;134.053750;133.542813;137.725466;138.275371;136.621363;136.528777;140.071769;143.923994;144.900654;135.943947;136.621817;133.627407;135.737352;133.861571;1.000000;-0.001383;-3.109198;-0.002318;449.998909;84.999374;-0.003444;47.992986;155.063554;-0.000982;0.000086;-0.000285;62.748532;-51.057799;91.291606;51.321144;41.511554;
0.022607;131.791138;134.053750;133.542813;137.725466;138.275371;136.621363;136.528777;140.071769;143.923994;144.900654;135.943947;136.621817;133.627407;135.737352;133.861571;1.000000;-0.001383;-3.109198;-0.002318;449.998909;84.999374;-0.003444;47.992986;155.063554;-0.000982;0.000086;-0.000285;62.748532;-51.057799;91.291606;51.321144;41.511554;
0.022617;131.791138;134.053750;133.542813;137.725466;138.275371;136.621363;136.528777;140.071769;143.923994;144.900654;135.943947;136.621817;133.627407;135.737352;133.861571;1.000000;-0.001383;-3.109198;-0.002317;449.998909;84.999374;-0.003444;47.992987;155.063551;-0.000982;0.000086;-0.000285;62.748532;-51.057799;91.291606;51.321144;41.511554;
0.022627;131.791138;134.053750;133.542813;137.725466;138.275371;136.621363;136.528777;140.071769;143.923994;144.900654;135.943947;136.621817;133.627407;135.737352;133.861571;1.000000;-0.001383;-3.109198;-0.002317;449.998909;84.999374;-0.003444;47.992988;155.063548;-0.000982;0.000086;-0.000285;62.748532;-51.057799;91.291605;51.321144;41.511554;
