time;B1-G1_generator_omegaPu;B1-G1_generator_PGen;B1-G1_generator_QGen;NETWORK_B1_U_value;B2-G1_generator_omegaPu;B2-G1_generator_PGen;B2-G1_generator_QGen;NETWORK_B2_U_value;B5-G1_generator_omegaPu;B5-G1_generator_PGen;B5-G1_generator_QGen;NETWORK_B5_U_value;
0.017351;0.999999;262.179800;-17.336473;139.928136;0.999998;41.599075;49.252546;137.721244;0.999999;0.573271;36.030074;133.341099;
0.033735;0.999998;262.148576;-17.322772;139.928467;0.999997;41.511256;49.269477;137.721573;0.999998;0.531054;36.037500;133.341359;
0.066503;0.999996;262.060439;-17.303953;139.929104;0.999994;41.291594;49.278059;137.722243;0.999997;0.412903;36.046142;133.341605;
0.099271;0.999994;261.937401;-17.291184;139.929659;0.999992;41.018813;49.265830;137.722873;0.999996;0.256030;36.051509;133.341465;
0.132039;0.999992;261.780692;-17.279131;139.930074;0.999991;40.704151;49.245683;137.723391;0.999996;0.070998;36.058372;133.340944;
0.164807;0.999991;261.594282;-17.264986;139.930325;0.999990;40.362951;49.225108;137.723756;0.999996;-0.129421;36.068943;133.340094;
0.197575;0.999990;261.384428;-17.248142;139.930420;0.999990;40.013023;49.207190;137.723965;0.999996;-0.331454;36.083186;133.339014;
0.210334;0.999990;261.298555;-17.241207;139.930430;0.999990;39.879460;49.200831;137.724024;0.999997;-0.406870;36.089206;133.338573;
0.219834;0.999990;261.233090;-17.235903;139.930426;0.999990;39.780981;49.196316;137.724058;0.999997;-0.461844;36.093858;133.338237;
0.230343;0.999990;261.159156;-17.229895;139.930411;0.999990;39.673011;49.191537;137.724085;0.999998;-0.521483;36.099168;133.337855;
0.250701;0.999989;261.016026;-17.219074;139.930397;0.999991;39.475765;49.181734;137.724172;0.999999;-0.627230;36.108437;133.337194;
0.250701;0.999989;261.016026;-17.219074;139.930397;0.999991;39.475765;49.181734;137.724172;0.999999;-0.627230;36.108437;133.337194;
0.250701;0.999989;261.016026;-17.219074;139.930397;0.999991;39.475765;49.181734;137.724172;0.999999;-0.627230;36.108437;133.337194;
0.251026;0.999989;261.013717;-17.218905;139.930397;0.999991;39.472699;49.181576;137.724174;0.999999;-0.628844;36.108581;133.337184;
0.251026;0.999989;261.014248;-17.220112;139.930517;0.999991;39.472931;49.179876;137.724313;0.999999;-0.628968;36.107554;133.337307;
0.251027;0.999989;261.014240;-17.220113;139.930517;0.999991;39.472920;49.179872;137.724313;0.999999;-0.628973;36.107553;133.337307;
0.251028;0.999989;261.014233;-17.220112;139.930517;0.999991;39.472910;49.179872;137.724313;0.999999;-0.628979;36.107553;133.337307;
0.251030;0.999989;261.014219;-17.220111;139.930517;0.999991;39.472891;49.179871;137.724313;0.999999;-0.628989;36.107554;133.337307;
0.251034;0.999989;261.014190;-17.220109;139.930517;0.999991;39.472853;49.179869;137.724313;0.999999;-0.629009;36.107556;133.337307;
0.251042;0.999989;261.014133;-17.220105;139.930517;0.999991;39.472776;49.179865;137.724313;0.999999;-0.629049;36.107560;133.337307;
0.251058;0.999989;261.014018;-17.220097;139.930517;0.999991;39.472623;49.179857;137.724314;0.999999;-0.629131;36.107567;133.337306;
0.251090;0.999989;261.013788;-17.220080;139.930517;0.999991;39.472317;49.179842;137.724314;0.999999;-0.629293;36.107582;133.337305;
0.251154;0.999989;261.013329;-17.220046;139.930517;0.999991;39.471704;49.179811;137.724314;0.999999;-0.629617;36.107611;133.337303;
0.251282;0.999989;261.012411;-17.219979;139.930517;0.999991;39.470479;49.179749;137.724315;0.999999;-0.630265;36.107669;133.337299;
0.251538;0.999989;261.010574;-17.219844;139.930517;0.999991;39.468031;49.179625;137.724316;0.999999;-0.631560;36.107785;133.337291;
0.252050;0.999989;261.006901;-17.219575;139.930516;0.999991;39.463141;49.179377;137.724318;0.999999;-0.634144;36.108017;133.337275;
0.253074;0.999989;260.999553;-17.219038;139.930516;0.999991;39.453392;49.178880;137.724323;0.999999;-0.639287;36.108479;133.337242;
0.255122;0.999989;260.984859;-17.217973;139.930514;0.999991;39.434014;49.177880;137.724333;0.999999;-0.649474;36.109391;133.337178;
0.259218;0.999989;260.955481;-17.215878;139.930512;0.999991;39.395754;49.175853;137.724354;0.999999;-0.669443;36.111172;133.337051;
0.267410;0.999990;260.896846;-17.211849;139.930509;0.999991;39.321337;49.171671;137.724402;1.000000;-0.707680;36.114527;133.336812;
0.279334;0.999990;260.812161;-17.206464;139.930513;0.999992;39.218568;49.165157;137.724488;1.000001;-0.758941;36.118795;133.336502;
0.279334;0.999990;260.812161;-17.206464;139.930513;0.999992;39.218568;49.165157;137.724488;1.000001;-0.758941;36.118795;133.336502;
0.279334;0.999990;260.812161;-17.206464;139.930513;0.999992;39.218568;49.165157;137.724488;1.000001;-0.758941;36.118795;133.336502;
0.280478;0.999990;260.804081;-17.205978;139.930514;0.999992;39.209059;49.164505;137.724498;1.000001;-0.763583;36.119166;133.336475;
0.280478;0.999990;260.804081;-17.205978;139.930514;0.999992;39.209059;49.164505;137.724498;1.000001;-0.763583;36.119166;133.336475;
0.280479;0.999990;260.804071;-17.205970;139.930513;0.999992;39.209050;49.164514;137.724497;1.000001;-0.763586;36.119172;133.336474;
0.280480;0.999990;260.804064;-17.205970;139.930513;0.999992;39.209041;49.164514;137.724497;1.000001;-0.763590;36.119172;133.336474;
0.280482;0.999990;260.804049;-17.205966;139.930513;0.999992;39.209024;49.164517;137.724497;1.000001;-0.763597;36.119176;133.336473;
0.280486;0.999990;260.804022;-17.205967;139.930513;0.999992;39.208991;49.164510;137.724497;1.000001;-0.763614;36.119174;133.336474;
0.280494;0.999990;260.803965;-17.205964;139.930513;0.999992;39.208925;49.164506;137.724497;1.000001;-0.763646;36.119177;133.336474;
0.280510;0.999990;260.803852;-17.205957;139.930514;0.999992;39.208792;49.164497;137.724497;1.000001;-0.763711;36.119182;133.336473;
0.280542;0.999990;260.803626;-17.205944;139.930514;0.999992;39.208526;49.164478;137.724497;1.000001;-0.763841;36.119192;133.336472;
0.280606;0.999990;260.803173;-17.205917;139.930514;0.999992;39.207995;49.164442;137.724498;1.000001;-0.764100;36.119213;133.336471;
0.280734;0.999990;260.802267;-17.205863;139.930514;0.999992;39.206932;49.164368;137.724499;1.000001;-0.764618;36.119254;133.336468;
0.280990;0.999990;260.800456;-17.205755;139.930514;0.999992;39.204810;49.164221;137.724501;1.000001;-0.765651;36.119336;133.336462;
0.281502;0.999990;260.796836;-17.205540;139.930514;0.999992;39.200575;49.163926;137.724505;1.000001;-0.767710;36.119499;133.336450;
0.282526;0.999990;260.789602;-17.205114;139.930515;0.999992;39.192144;49.163332;137.724514;1.000001;-0.771798;36.119820;133.336426;
0.284574;0.999990;260.775160;-17.204279;139.930518;0.999992;39.175440;49.162130;137.724532;1.000001;-0.779852;36.120442;133.336379;
0.288670;0.999990;260.746386;-17.202671;139.930524;0.999992;39.142674;49.159663;137.724570;1.000001;-0.795458;36.121605;133.336290;
0.296862;0.999990;260.689359;-17.199729;139.930541;0.999993;39.079806;49.154461;137.724657;1.000002;-0.824612;36.123585;133.336134;
0.313246;0.999990;260.577949;-17.195042;139.930602;0.999994;38.965365;49.142865;137.724875;1.000003;-0.874284;36.126004;133.335909;
0.346014;0.999991;260.369721;-17.190899;139.930841;0.999996;38.785125;49.114421;137.725507;1.000006;-0.937124;36.123861;133.335854;
0.351514;0.999992;260.337410;-17.190805;139.930896;0.999996;38.761304;49.109088;137.725636;1.000006;-0.942990;36.122596;133.335896;
0.351514;0.999992;260.337410;-17.190805;139.930896;0.999996;38.761304;49.109088;137.725636;1.000006;-0.942990;36.122596;133.335896;
0.351514;0.999992;260.337410;-17.190805;139.930896;0.999996;38.761304;49.109088;137.725636;1.000006;-0.942990;36.122596;133.335896;
0.351540;0.999992;260.337254;-17.190805;139.930897;0.999996;38.761193;49.109061;137.725636;1.000006;-0.943015;36.122590;133.335896;
0.351540;0.999992;260.337254;-17.190805;139.930897;0.999996;38.761193;49.109061;137.725636;1.000006;-0.943015;36.122590;133.335896;
0.351541;0.999992;260.337240;-17.190820;139.930894;0.999996;38.761190;49.109042;137.725634;1.000006;-0.943017;36.122582;133.335895;
0.351542;0.999992;260.337234;-17.190820;139.930894;0.999996;38.761185;49.109041;137.725634;1.000006;-0.943018;36.122581;133.335895;
0.351544;0.999992;260.337218;-17.190827;139.930893;0.999996;38.761177;49.109031;137.725634;1.000006;-0.943020;36.122578;133.335894;
0.351548;0.999992;260.337198;-17.190820;139.930894;0.999996;38.761160;49.109035;137.725635;1.000006;-0.943024;36.122580;133.335895;
0.351556;0.999992;260.337150;-17.190821;139.930894;0.999996;38.761127;49.109027;137.725635;1.000006;-0.943031;36.122578;133.335895;
0.351572;0.999992;260.337055;-17.190821;139.930894;0.999996;38.761060;49.109010;137.725635;1.000006;-0.943046;36.122574;133.335895;
0.351604;0.999992;260.336864;-17.190822;139.930895;0.999996;38.760926;49.108978;137.725636;1.000006;-0.943076;36.122565;133.335895;
0.351668;0.999992;260.336483;-17.190823;139.930895;0.999996;38.760658;49.108913;137.725638;1.000006;-0.943136;36.122549;133.335896;
0.351796;0.999992;260.335721;-17.190826;139.930897;0.999996;38.760123;49.108782;137.725641;1.000006;-0.943254;36.122515;133.335897;
0.352052;0.999992;260.334199;-17.190832;139.930900;0.999996;38.759057;49.108521;137.725647;1.000006;-0.943489;36.122448;133.335899;
0.352564;0.999992;260.331158;-17.190845;139.930905;0.999996;38.756938;49.107997;137.725660;1.000007;-0.943950;36.122311;133.335904;
0.353588;0.999992;260.325095;-17.190877;139.930916;0.999997;38.752750;49.106943;137.725686;1.000007;-0.944833;36.122031;133.335914;
0.355636;0.999992;260.313045;-17.190962;139.930939;0.999997;38.744580;49.104813;137.725738;1.000007;-0.946448;36.121439;133.335937;
0.359732;0.999992;260.289253;-17.191220;139.930986;0.999997;38.729061;49.100468;137.725846;1.000007;-0.949074;36.120133;133.335988;
0.367924;0.999992;260.242942;-17.192079;139.931089;0.999998;38.701307;49.091444;137.726075;1.000008;-0.951917;36.117039;133.336117;
0.373843;0.999992;260.210599;-17.192967;139.931169;0.999998;38.683960;49.084670;137.726249;1.000008;-0.951996;36.114412;133.336231;
0.373843;0.999992;260.210599;-17.192967;139.931169;0.999998;38.683960;49.084670;137.726249;1.000008;-0.951996;36.114412;133.336231;
0.373844;0.999992;260.210593;-17.192970;139.931169;0.999998;38.683958;49.084665;137.726249;1.000008;-0.951996;36.114409;133.336231;
0.373845;0.999992;260.210588;-17.192970;139.931169;0.999998;38.683955;49.084664;137.726249;1.000008;-0.951996;36.114409;133.336231;
0.373847;0.999992;260.210577;-17.192972;139.931169;0.999998;38.683950;49.084660;137.726249;1.000008;-0.951996;36.114407;133.336231;
0.373851;0.999992;260.210556;-17.192971;139.931169;0.999998;38.683939;49.084657;137.726249;1.000008;-0.951995;36.114406;133.336231;
0.373852;0.999992;260.210553;-17.192971;139.931169;0.999998;38.683938;49.084656;137.726249;1.000008;-0.951995;36.114406;133.336231;
0.373852;0.999992;260.210553;-17.192971;139.931169;0.999998;38.683938;49.084656;137.726249;1.000008;-0.951995;36.114406;133.336231;
0.373852;0.999992;260.210553;-17.192971;139.931169;0.999998;38.683938;49.084656;137.726249;1.000008;-0.951995;36.114406;133.336231;
0.373859;0.999992;260.210513;-17.192973;139.931169;0.999998;38.683917;49.084647;137.726250;1.000008;-0.951994;36.114402;133.336231;
0.373875;0.999992;260.210426;-17.192975;139.931169;0.999998;38.683873;49.084629;137.726250;1.000008;-0.951992;36.114395;133.336232;
0.373907;0.999992;260.210254;-17.192981;139.931170;0.999998;38.683786;49.084591;137.726251;1.000008;-0.951988;36.114380;133.336232;
0.373971;0.999992;260.209909;-17.192992;139.931171;0.999998;38.683611;49.084517;137.726253;1.000008;-0.951979;36.114349;133.336234;
0.374099;0.999992;260.209219;-17.193014;139.931173;0.999998;38.683262;49.084367;137.726257;1.000008;-0.951961;36.114289;133.336236;
0.374355;0.999992;260.207840;-17.193058;139.931176;0.999998;38.682568;49.084068;137.726265;1.000008;-0.951923;36.114167;133.336242;
0.374867;0.999992;260.205089;-17.193149;139.931183;0.999998;38.681193;49.083469;137.726280;1.000008;-0.951838;36.113921;133.336253;
0.375891;0.999993;260.199607;-17.193334;139.931198;0.999998;38.678494;49.082266;137.726312;1.000009;-0.951630;36.113422;133.336275;
0.377939;0.999993;260.188728;-17.193725;139.931227;0.999998;38.673299;49.079840;137.726375;1.000009;-0.951065;36.112394;133.336321;
0.382035;0.999993;260.167313;-17.194588;139.931288;0.999999;38.663718;49.074912;137.726504;1.000009;-0.949345;36.110220;133.336420;
0.390227;0.999993;260.125871;-17.196621;139.931416;0.999999;38.647754;49.064775;137.726772;1.000010;-0.943581;36.105416;133.336641;
0.406611;0.999994;260.048649;-17.201785;139.931691;1.000001;38.628170;49.043548;137.727342;1.000011;-0.923119;36.094096;133.337176;
0.420108;0.999995;259.990795;-17.206834;139.931927;1.000002;38.623253;49.025518;137.727826;1.000012;-0.898247;36.083359;133.337689;
0.428427;0.999995;259.957727;-17.210307;139.932077;1.000002;38.625272;49.014159;137.728131;1.000013;-0.879306;36.076108;133.338038;
0.439379;0.999996;259.917218;-17.215302;139.932281;1.000003;38.633803;48.998925;137.728543;1.000014;-0.850174;36.065832;133.338537;
0.472147;0.999998;259.816305;-17.230966;139.932844;1.000006;38.692081;48.954266;137.729709;1.000016;-0.740202;36.032225;133.340156;
0.537683;1.000002;259.699168;-17.258521;139.933544;1.000010;38.906570;48.877951;137.731406;1.000020;-0.458567;35.961403;133.343440;
0.594079;1.000006;259.680163;-17.273017;139.933522;1.000013;39.153352;48.832549;137.731928;1.000021;-0.185474;35.904169;133.345868;
0.650474;1.000010;259.720995;-17.275964;139.932777;1.000015;39.398148;48.808650;137.731386;1.000022;0.066028;35.857715;133.347391;
0.706869;1.000014;259.809906;-17.275238;139.931846;1.000016;39.605734;48.794773;137.730471;1.000021;0.264627;35.819376;133.348393;
0.730505;1.000015;259.857253;-17.274723;139.931460;1.000016;39.674670;48.790664;137.730048;1.000020;0.326315;35.805991;133.348662;
0.730505;1.000015;259.857813;-17.276005;139.931605;1.000016;39.674856;48.788985;137.730218;1.000020;0.326160;35.805078;133.348829;
0.730506;1.000015;259.857815;-17.276004;139.931605;1.000016;39.674859;48.788986;137.730218;1.000020;0.326163;35.805078;133.348829;
0.730507;1.000015;259.857818;-17.276004;139.931605;1.000016;39.674862;48.788986;137.730218;1.000020;0.326165;35.805077;133.348829;
0.730509;1.000015;259.857822;-17.276004;139.931605;1.000016;39.674868;48.788986;137.730218;1.000020;0.326170;35.805076;133.348829;
0.730513;1.000015;259.857831;-17.276003;139.931605;1.000016;39.674879;48.788985;137.730218;1.000020;0.326180;35.805074;133.348829;
0.730521;1.000015;259.857849;-17.276003;139.931604;1.000016;39.674902;48.788984;137.730218;1.000020;0.326200;35.805070;133.348829;
0.730537;1.000015;259.857885;-17.276002;139.931604;1.000016;39.674948;48.788983;137.730218;1.000020;0.326240;35.805061;133.348829;
0.730538;1.000015;259.857887;-17.276002;139.931604;1.000016;39.674951;48.788983;137.730218;1.000020;0.326242;35.805061;133.348829;
0.730538;1.000015;259.857887;-17.276002;139.931604;1.000016;39.674951;48.788983;137.730218;1.000020;0.326242;35.805061;133.348829;
0.730538;1.000015;259.857887;-17.276002;139.931604;1.000016;39.674951;48.788983;137.730218;1.000020;0.326242;35.805061;133.348829;
0.730569;1.000015;259.857957;-17.276000;139.931604;1.000016;39.675040;48.788979;137.730217;1.000020;0.326320;35.805044;133.348829;
0.730633;1.000015;259.858102;-17.275996;139.931602;1.000016;39.675224;48.788972;137.730216;1.000020;0.326479;35.805010;133.348830;
0.730761;1.000015;259.858390;-17.275989;139.931600;1.000016;39.675592;48.788959;137.730213;1.000020;0.326798;35.804941;133.348831;
0.731017;1.000015;259.858968;-17.275974;139.931595;1.000016;39.676326;48.788932;137.730207;1.000020;0.327435;35.804803;133.348833;
0.731529;1.000015;259.860124;-17.275944;139.931585;1.000016;39.677789;48.788877;137.730196;1.000020;0.328702;35.804529;133.348837;
0.732553;1.000015;259.862444;-17.275883;139.931565;1.000016;39.680695;48.788771;137.730174;1.000020;0.331213;35.803983;133.348845;
0.734601;1.000015;259.867109;-17.275761;139.931526;1.000016;39.686425;48.788563;137.730129;1.000020;0.336146;35.802903;133.348860;
0.738697;1.000015;259.876537;-17.275514;139.931447;1.000016;39.697552;48.788169;137.730039;1.000020;0.345649;35.800788;133.348887;
0.746889;1.000016;259.895756;-17.275010;139.931290;1.000016;39.718462;48.787464;137.729856;1.000020;0.363194;35.796741;133.348931;
0.763273;1.000017;259.935441;-17.274006;139.930978;1.000016;39.754857;48.786337;137.729483;1.000019;0.392434;35.789383;133.348974;
0.764997;1.000017;259.939684;-17.273905;139.930945;1.000016;39.758273;48.786236;137.729444;1.000019;0.395070;35.788667;133.348976;
0.764997;1.000017;259.939684;-17.273905;139.930945;1.000016;39.758273;48.786236;137.729444;1.000019;0.395070;35.788667;133.348976;
0.764997;1.000017;259.939684;-17.273905;139.930945;1.000016;39.758273;48.786236;137.729444;1.000019;0.395070;35.788667;133.348976;
0.765010;1.000017;259.939715;-17.273904;139.930945;1.000016;39.758298;48.786235;137.729444;1.000019;0.395089;35.788662;133.348976;
0.765010;1.000017;259.939715;-17.273904;139.930945;1.000016;39.758298;48.786235;137.729444;1.000019;0.395089;35.788662;133.348976;
0.765011;1.000017;259.939718;-17.273906;139.930945;1.000016;39.758301;48.786233;137.729444;1.000019;0.395091;35.788660;133.348976;
0.765012;1.000017;259.939720;-17.273906;139.930945;1.000016;39.758303;48.786233;137.729444;1.000019;0.395092;35.788660;133.348976;
0.765014;1.000017;259.939725;-17.273906;139.930945;1.000016;39.758307;48.786232;137.729444;1.000019;0.395095;35.788658;133.348976;
0.765018;1.000017;259.939735;-17.273906;139.930945;1.000016;39.758314;48.786232;137.729443;1.000019;0.395101;35.788657;133.348976;
0.765026;1.000017;259.939755;-17.273905;139.930945;1.000016;39.758330;48.786232;137.729443;1.000019;0.395113;35.788654;133.348976;
0.765042;1.000017;259.939795;-17.273904;139.930944;1.000016;39.758361;48.786231;137.729443;1.000019;0.395137;35.788647;133.348976;
0.765074;1.000017;259.939874;-17.273902;139.930944;1.000016;39.758424;48.786229;137.729442;1.000019;0.395185;35.788634;133.348976;
0.765138;1.000017;259.940033;-17.273898;139.930943;1.000016;39.758549;48.786226;137.729441;1.000019;0.395281;35.788608;133.348976;
0.765266;1.000017;259.940352;-17.273890;139.930940;1.000016;39.758798;48.786219;137.729438;1.000019;0.395471;35.788555;133.348976;
0.765522;1.000017;259.940988;-17.273874;139.930935;1.000016;39.759296;48.786205;137.729432;1.000019;0.395852;35.788450;133.348976;
0.766034;1.000017;259.942262;-17.273843;139.930926;1.000016;39.760286;48.786178;137.729420;1.000019;0.396607;35.788240;133.348976;
0.767058;1.000017;259.944813;-17.273780;139.930906;1.000016;39.762244;48.786125;137.729396;1.000019;0.398094;35.787824;133.348976;
0.769106;1.000017;259.949931;-17.273656;139.930868;1.000017;39.766075;48.786021;137.729349;1.000019;0.400976;35.787002;133.348976;
0.770792;1.000017;259.954159;-17.273554;139.930836;1.000017;39.769143;48.785939;137.729310;1.000019;0.403257;35.786338;133.348975;
0.770792;1.000017;259.954159;-17.273554;139.930836;1.000017;39.769143;48.785939;137.729310;1.000019;0.403257;35.786338;133.348975;
0.770793;1.000017;259.954161;-17.273554;139.930836;1.000017;39.769145;48.785939;137.729310;1.000019;0.403259;35.786337;133.348975;
0.770794;1.000017;259.954164;-17.273554;139.930836;1.000017;39.769146;48.785939;137.729310;1.000019;0.403260;35.786337;133.348975;
0.770796;1.000017;259.954169;-17.273554;139.930836;1.000017;39.769150;48.785939;137.729310;1.000019;0.403263;35.786336;133.348975;
0.770800;1.000017;259.954179;-17.273554;139.930836;1.000017;39.769157;48.785939;137.729310;1.000019;0.403268;35.786335;133.348975;
0.770808;1.000017;259.954199;-17.273553;139.930836;1.000017;39.769172;48.785939;137.729310;1.000019;0.403279;35.786331;133.348975;
0.770824;1.000017;259.954239;-17.273552;139.930836;1.000017;39.769200;48.785938;137.729309;1.000019;0.403300;35.786325;133.348975;
0.770856;1.000017;259.954320;-17.273550;139.930835;1.000017;39.769258;48.785936;137.729309;1.000019;0.403342;35.786313;133.348975;
0.770920;1.000017;259.954480;-17.273547;139.930834;1.000017;39.769373;48.785933;137.729307;1.000019;0.403427;35.786288;133.348975;
0.771048;1.000017;259.954802;-17.273539;139.930831;1.000017;39.769602;48.785927;137.729304;1.000019;0.403597;35.786238;133.348975;
0.771048;1.000017;259.954803;-17.273539;139.930831;1.000017;39.769603;48.785927;137.729304;1.000019;0.403597;35.786238;133.348975;
0.771048;1.000017;259.954803;-17.273539;139.930831;1.000017;39.769603;48.785927;137.729304;1.000019;0.403597;35.786238;133.348975;
0.771048;1.000017;259.954803;-17.273539;139.930831;1.000017;39.769603;48.785927;137.729304;1.000019;0.403597;35.786238;133.348975;
0.771304;1.000017;259.955445;-17.273524;139.930827;1.000017;39.770059;48.785915;137.729298;1.000019;0.403934;35.786138;133.348975;
0.771816;1.000017;259.956733;-17.273493;139.930817;1.000017;39.770968;48.785891;137.729286;1.000019;0.404603;35.785939;133.348974;
0.772840;1.000017;259.959312;-17.273432;139.930798;1.000017;39.772764;48.785844;137.729263;1.000019;0.405917;35.785545;133.348973;
0.774888;1.000017;259.964482;-17.273312;139.930760;1.000017;39.776270;48.785753;137.729215;1.000019;0.408454;35.784767;133.348971;
0.778984;1.000017;259.974869;-17.273076;139.930684;1.000017;39.782933;48.785582;137.729120;1.000019;0.413161;35.783259;133.348962;
0.787176;1.000018;259.995800;-17.272629;139.930535;1.000017;39.794863;48.785287;137.728931;1.000018;0.421112;35.780436;133.348936;
0.803560;1.000019;260.038037;-17.271851;139.930247;1.000017;39.813156;48.784863;137.728553;1.000018;0.431240;35.775580;133.348841;
0.836328;1.000020;260.122422;-17.270850;139.929728;1.000017;39.828589;48.784637;137.727812;1.000016;0.429773;35.769145;133.348488;
0.901864;1.000022;260.283873;-17.271377;139.928949;1.000017;39.794597;48.786673;137.726399;1.000014;0.358871;35.769150;133.347196;
0.967400;1.000024;260.432807;-17.274526;139.928463;1.000018;39.708075;48.793063;137.724996;1.000012;0.227669;35.785145;133.345200;
1.000000;1.000024;260.503386;-17.278125;139.928358;1.000018;39.664324;48.796022;137.724359;1.000012;0.155910;35.796492;133.344091;
1.000000;1.000024;342.902180;857.026215;96.351501;1.000018;21.608130;25.229322;1.137694;1.000012;176.244770;408.403241;111.600110;
1.000001;1.000024;342.901210;857.023602;96.351361;1.000018;21.607942;25.229108;1.137690;1.000012;176.244597;408.402816;111.600049;
1.000002;1.000024;342.900240;857.020988;96.351221;1.000018;21.607754;25.228893;1.137686;1.000012;176.244423;408.402392;111.599987;
1.000004;1.000024;342.898300;857.015761;96.350941;1.000018;21.607377;25.228464;1.137678;1.000012;176.244076;408.401542;111.599864;
1.000008;1.000024;342.894421;857.005307;96.350381;1.000018;21.606625;25.227606;1.137661;1.000012;176.243382;408.399843;111.599617;
1.000016;1.000024;342.886663;856.984401;96.349261;1.000018;21.605120;25.225890;1.137629;1.000011;176.241993;408.396445;111.599124;
1.000032;1.000024;342.871150;856.942601;96.347021;1.000018;21.602111;25.222458;1.137564;1.000011;176.239216;408.389650;111.598138;
