time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;
20;1.05864;1.04315;1.00882;1.0125;1.01406;1.04114;1.05345;1.0861;1.04494;1.03698;1.03568;1.02795;1.02444;1.01833;
20.001;1.05863;1.04314;1.00882;1.01249;1.01405;1.04113;1.05344;1.08608;1.04493;1.03697;1.03567;1.02794;1.02443;1.01832;
20.003;1.05862;1.04313;1.00881;1.01248;1.01403;1.04111;1.05341;1.08605;1.04491;1.03695;1.03565;1.02792;1.02441;1.0183;
20.007;1.0586;1.0431;1.00878;1.01245;1.01401;1.04108;1.05337;1.08599;1.04488;1.03691;1.03562;1.02789;1.02438;1.01826;
20.015;1.05856;1.04306;1.00874;1.0124;1.01396;1.04102;1.0533;1.08589;1.04481;1.03685;1.03556;1.02783;1.02432;1.0182;
20.031;1.05849;1.04298;1.00867;1.01232;1.01388;1.04093;1.05318;1.08572;1.0447;1.03674;1.03546;1.02774;1.02423;1.0181;
20.063;1.05839;1.04287;1.00857;1.0122;1.01376;1.0408;1.05302;1.08551;1.04456;1.0366;1.03533;1.02761;1.0241;1.01797;
20.127;1.05826;1.04273;1.00844;1.01206;1.01362;1.04064;1.05283;1.08526;1.04438;1.03643;1.03516;1.02746;1.02394;1.0178;
20.255;1.05808;1.04255;1.00826;1.01187;1.01343;1.04044;1.05259;1.08494;1.04416;1.03622;1.03496;1.02725;1.02374;1.01759;
20.511;1.05783;1.04228;1.00799;1.01158;1.01315;1.04012;1.05222;1.08444;1.04382;1.03588;1.03463;1.02694;1.02343;1.01727;
20.767;1.05761;1.04205;1.00779;1.01133;1.0129;1.03985;1.05188;1.08399;1.04351;1.03558;1.03434;1.02667;1.02315;1.01698;
21.023;1.05741;1.04185;1.00763;1.01112;1.01269;1.03961;1.05158;1.08358;1.04323;1.03531;1.03409;1.02642;1.02291;1.01672;
21.535;1.05706;1.0415;1.00737;1.01074;1.01232;1.0392;1.05106;1.08287;1.04276;1.03485;1.03365;1.02601;1.02249;1.01628;
22.047;1.05675;1.04117;1.00711;1.0104;1.01198;1.03882;1.05059;1.08224;1.04233;1.03443;1.03326;1.02564;1.02211;1.01588;
23.071;1.05624;1.04062;1.00662;1.00982;1.01141;1.03818;1.04982;1.08123;1.04162;1.03374;1.03259;1.025;1.02148;1.01521;
24.095;1.05581;1.04014;1.00618;1.00932;1.01092;1.03765;1.04919;1.08043;1.04103;1.03317;1.03205;1.02448;1.02095;1.01466;
26.143;1.05516;1.03944;1.00551;1.00859;1.01021;1.03689;1.04831;1.07935;1.0402;1.03236;1.03126;1.02371;1.02019;1.01387;
28.191;1.05468;1.03891;1.00499;1.00806;1.00968;1.03633;1.04769;1.07862;1.03961;1.03177;1.03069;1.02316;1.01963;1.0133;
32.287;1.05414;1.03832;1.00439;1.00747;1.0091;1.03573;1.04704;1.07791;1.03898;1.03116;1.03008;1.02256;1.01903;1.0127;
36.383;1.05389;1.03805;1.00411;1.00719;1.00883;1.03545;1.04676;1.07761;1.0387;1.03088;1.02981;1.02229;1.01876;1.01242;
40.479;1.05384;1.03799;1.00403;1.00713;1.00877;1.0354;1.04671;1.07757;1.03865;1.03083;1.02975;1.02224;1.01871;1.01237;
48.671;1.05417;1.03832;1.00434;1.00746;1.0091;1.03573;1.04705;1.07793;1.03899;1.03116;1.03008;1.02256;1.01904;1.0127;
56.863;1.05473;1.03887;1.00487;1.008;1.00964;1.03628;1.04761;1.07851;1.03954;1.03171;1.03063;1.02311;1.01958;1.01324;
66.863;1.05555;1.03968;1.00566;1.0088;1.01044;1.03708;1.04842;1.07933;1.04034;1.03251;1.03143;1.0239;1.02037;1.01402;
76.863;1.05641;1.04053;1.00649;1.00963;1.01128;1.03792;1.04927;1.08018;1.04118;1.03334;1.03226;1.02473;1.02119;1.01484;
86.863;1.05725;1.04137;1.00731;1.01046;1.0121;1.03874;1.0501;1.08101;1.04201;1.03416;1.03308;1.02554;1.02201;1.01565;
96.863;1.05806;1.04217;1.0081;1.01124;1.01288;1.03953;1.05089;1.0818;1.04279;1.03494;1.03386;1.02632;1.02278;1.01642;
100;1.05831;1.04241;1.00834;1.01148;1.01313;1.03977;1.05113;1.08204;1.04303;1.03517;1.0341;1.02656;1.02302;1.01665;
