time;NETWORK_B2_U_value;B2-G1 _generator_omegaPu;B2-G1 _generator_PGen;B2-G1 _generator_QGen;
2.165277;18.027774;1.003000;173.647729;14.722810;
2.191803;17.988172;1.002863;178.385005;15.005152;
2.218329;17.951205;1.002692;182.598380;15.306209;
2.244855;17.918074;1.002493;186.223080;15.609462;
2.271381;17.889868;1.002270;189.211253;15.898722;
2.297907;17.867502;1.002029;191.530605;16.159340;
2.324433;17.851668;1.001775;193.162845;16.379210;
2.350959;17.842801;1.001513;194.102211;16.549505;
2.377485;17.841053;1.001250;194.354244;16.665117;
2.430537;17.857634;1.000747;192.928396;16.735997;
2.483589;17.896984;1.000297;189.147643;16.621356;
2.536641;17.951943;0.999932;183.402033;16.384915;
2.584388;18.009477;0.999695;176.979018;16.154820;
2.632135;18.066703;0.999557;169.847885;15.936175;
2.675107;18.114363;0.999521;163.252527;15.783508;
2.718079;18.155325;0.999567;156.924365;15.679229;
2.761051;18.187843;0.999687;151.250770;15.613856;
2.804023;18.211151;0.999870;146.566903;15.568383;
2.846996;18.225226;1.000100;143.130986;15.521429;
2.889968;18.230498;1.000360;141.106700;15.456042;
2.932940;18.227610;1.000631;140.554792;15.364660;
2.975912;18.217250;1.000894;141.433869;15.251024;
3.018884;18.200104;1.001134;143.609401;15.128891;
3.061856;18.176905;1.001335;146.869404;15.018190;
3.104829;18.148538;1.001486;150.945007;14.939811;
3.147801;18.116157;1.001580;155.533822;14.910413;
3.190773;18.081256;1.001614;160.323835;14.938482;
3.233745;18.045661;1.001588;165.015493;15.022437;
3.276717;18.011440;1.001505;169.339971;15.151043;
3.319689;17.980728;1.001374;173.072368;15.305806;
3.362662;17.955522;1.001203;176.039782;15.465034;
3.405634;17.937424;1.001003;178.122151;15.606502;
3.448606;17.927495;1.000787;179.255465;15.712949;
3.491578;17.926107;1.000566;179.428024;15.773656;
3.534550;17.932866;1.000354;178.678679;15.785109;
3.577522;17.946823;1.000160;177.089018;15.752394;
3.620495;17.966442;0.999994;174.780288;15.684573;
3.663467;17.989874;0.999864;171.908866;15.594013;
3.706439;18.015146;0.999775;168.658527;15.493192;
3.749411;18.040360;0.999730;165.230890;15.392355;
3.792383;18.063847;0.999728;161.833848;15.298053;
3.835355;18.084276;0.999768;158.668662;15.212778;
3.878327;18.100690;0.999844;155.916873;15.135660;
3.921300;18.112500;0.999950;153.728408;15.063902;
3.964272;18.119435;1.000076;152.212108;14.994520;
4.007244;18.121483;1.000215;151.429596;14.925873;
4.050216;18.118771;1.000357;151.393730;14.857633;
4.093188;18.111746;1.000491;152.069847;14.794840;
4.136160;18.100905;1.000611;153.376479;14.742532;
4.179133;18.086758;1.000709;155.198892;14.704352;
4.222105;18.070093;1.000779;157.398932;14.686175;
4.265077;18.051778;1.000819;159.823095;14.690925;
4.308049;18.032792;1.000828;162.314311;14.718680;
4.351021;18.014180;1.000806;164.722022;14.766447;
4.393993;17.996991;1.000755;166.910714;14.828520;
4.436966;17.982215;1.000680;168.767047;14.897647;
4.479938;17.970671;1.000586;170.202133;14.965272;
4.522910;17.962971;1.000478;171.156881;15.023883;
4.565882;17.959438;1.000364;171.602185;15.067577;
4.608854;17.960092;1.000249;171.538288;15.092735;
4.651826;17.964647;1.000140;170.993122;15.098276;
4.737771;17.982052;0.999967;168.812144;15.058989;
4.811707;18.002683;0.999876;166.098251;14.988160;
4.885644;18.024044;0.999847;163.125043;14.902761;
4.952187;18.040957;0.999873;160.618740;14.824684;
5.018729;18.053379;0.999941;158.618285;14.749587;
5.085272;18.060144;1.000038;157.356732;14.680520;
5.151815;18.060879;1.000148;156.949005;14.619941;
5.218358;18.055922;1.000254;157.384853;14.572091;
5.284901;18.046191;1.000342;158.539868;14.542433;
5.351444;18.033075;1.000401;160.202590;14.535524;
5.417987;18.018296;1.000424;162.111706;14.552467;
5.484529;18.003739;1.000410;163.996320;14.589414;
5.551072;17.991224;1.000363;165.612781;14.637961;
5.617615;17.982247;1.000292;166.773356;14.687268;
5.684158;17.977756;1.000206;167.364368;14.727008;
5.750701;17.977984;1.000117;167.351473;14.749157;
5.817244;17.982568;1.000036;166.784314;14.753194;
5.883787;17.990373;0.999973;165.774221;14.738096;
5.950330;18.000027;0.999934;164.483765;14.708791;
6.016872;18.010005;0.999921;163.100389;14.670469;
6.083415;18.018906;0.999934;161.811390;14.628077;
6.149958;18.025625;0.999968;160.779224;14.585700;
6.216501;18.029455;1.000017;160.121192;14.546661;
6.283044;18.030143;1.000074;159.897614;14.514519;
6.349587;18.027753;1.000129;160.104746;14.490580;
6.416130;18.022787;1.000174;160.680513;14.477201;
6.482672;18.016052;1.000205;161.521185;14.476613;
6.549215;18.008454;1.000218;162.494994;14.487620;
6.615758;18.000988;1.000211;163.463872;14.507745;
6.682301;17.994586;1.000188;164.301759;14.532919;
6.748844;17.989975;1.000152;164.909745;14.557902;
6.815387;17.987658;1.000108;165.226192;14.578904;
6.881930;17.987744;1.000063;165.231701;14.592230;
6.948473;17.990015;1.000021;164.948778;14.596134;
7.081558;17.998018;0.999970;163.892554;14.579772;
7.194952;18.006006;0.999962;162.784909;14.548235;
7.308345;18.012023;0.999985;161.896909;14.512116;
7.421738;18.014365;1.000026;161.484689;14.480966;
7.535131;18.012767;1.000069;161.612932;14.461862;
7.648524;18.008167;1.000099;162.167084;14.457993;
7.761918;18.002322;1.000107;162.913340;14.468330;
7.875311;17.997176;1.000093;163.587558;14.486908;
7.988704;17.994218;1.000064;163.986624;14.505315;
8.102097;17.994050;1.000030;164.022818;14.516342;
8.215491;17.996292;1.000002;163.735559;14.516624;
8.328884;17.999854;0.999987;163.257773;14.507000;
8.442277;18.003374;0.999988;162.766712;14.491397;
8.555670;18.005707;1.000002;162.419484;14.474838;
8.669064;18.006256;1.000021;162.306158;14.461863;
8.782457;18.005068;1.000039;162.430180;14.455444;
8.895850;18.002724;1.000050;162.719207;14.456327;
9.009243;18.000090;1.000050;163.058739;14.462924;
9.122637;17.998011;1.000042;163.334385;14.471962;
9.236030;17.997051;1.000027;163.467932;14.479753;
9.349423;17.997341;1.000012;163.436839;14.483552;
9.462816;17.998599;1.000001;163.273536;14.482377;
9.689603;18.001280;0.999996;162.905223;14.471952;
9.916389;18.001773;1.000008;162.813245;14.462741;
10.000000;18.001652;1.000012;162.820587;14.460616;
