time;NETWORK_Bus12_lineB6B12_switch_state_value;NETWORK_Bus13_lineB12B13_switch_state_value;NETWORK_Bus12_lineB12B13_switch_state_value;NETWORK_Bus12_load12_switch_state_value;NETWORK__BUS___12-BUS___13-1_AC_state_value;NETWORK__BUS___12-BUS___13-1_AC_U1_value;NETWORK__BUS___12-BUS___13-1_AC_U2_value;NETWORK__BUS____6-BUS___12-1_AC_state_value;NETWORK__BUS____6-BUS___12-1_AC_U1_value;NETWORK__BUS____6-BUS___12-1_AC_U2_value;NETWORK__BUS____6_TN_U_value;NETWORK_Bus12_1A_U_value;NETWORK_calculatedBus__BUS___12_VL_0_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_1_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_2_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_3_switchOff_value;NETWORK_calculatedBus__BUS___12_VL_0_U_value;NETWORK_calculatedBus__BUS___12_VL_1_U_value;NETWORK_calculatedBus__BUS___12_VL_2_U_value;NETWORK_calculatedBus__BUS___12_VL_3_U_value;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_V_re;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_V_im;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_i_re;NETWORK_calculatedBus__BUS___12_VL_1_ACPIN_i_im;NETWORK_Bus13_1A_U_value;_LOAD__12_EC_load_switchOffSignal1;_LOAD__12_EC_load_switchOffSignal2;_LOAD__12_EC_load_running;_LOAD__12_EC_load_PPu;_LOAD__12_EC_load_QPu;NETWORK_Bus12_1A_switchOff;NETWORK_Bus12_1A_phi_value;NETWORK_Bus12_1A_Upu_value;ReclosingLOVR_lackOfVoltageRelay_switchControlSignal;ReclosingLOVR_lackOfVoltageRelay_tripCond;ReclosingLOVR_lackOfVoltageRelay_busRecCond;ReclosingLOVR_lackOfVoltageRelay_recloseCond;ReclosingLOVR_lackOfVoltageRelay_sleepMode;
10.000000;1.000000;2.000000;2.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.070341;1.070341;14.770708;0.000000;-1.000000;-1.000000;-1.000000;-1.000000;0.000000;0.000000;14.770708;0.000000;0.988127;-0.282291;-0.052798;0.031276;14.406079;-1.000000;-1.000000;1.000000;0.061000;0.016000;-1.000000;0.000000;0.000000;1.000000;-1.000000;-1.000000;-1.000000;1.000000;
10.000000;1.000000;1.000000;2.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.072566;1.072566;14.801409;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.801409;0.000000;0.000000;0.000000;0.000000;0.000000;14.503269;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;-1.000000;1.000000;
11.000000;1.000000;1.000000;2.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071994;1.071994;14.793523;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.793523;0.000000;0.000000;0.000000;0.000000;0.000000;14.495626;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;-1.000000;1.000000;
11.000000;1.000000;1.000000;2.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071994;1.071994;14.793522;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.793522;0.000000;0.000000;0.000000;0.000000;0.000000;14.495626;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;-1.000000;1.000000;
12.000000;1.000000;1.000000;2.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071654;1.071654;14.788831;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.788831;0.000000;0.000000;0.000000;0.000000;0.000000;14.491479;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;-1.000000;1.000000;
12.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071654;1.071654;14.788830;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.788830;0.000000;0.000000;0.000000;0.000000;0.000000;14.491478;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
13.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071576;1.071576;14.787749;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787749;0.000000;0.000000;0.000000;0.000000;0.000000;14.490545;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
14.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071564;1.071564;14.787589;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787589;0.000000;0.000000;0.000000;0.000000;0.000000;14.490423;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
15.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071566;1.071566;14.787617;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787617;0.000000;0.000000;0.000000;0.000000;0.000000;14.490466;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
16.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071571;1.071571;14.787675;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787675;0.000000;0.000000;0.000000;0.000000;0.000000;14.490532;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
17.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071575;1.071575;14.787730;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787730;0.000000;0.000000;0.000000;0.000000;0.000000;14.490593;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
18.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071578;1.071578;14.787778;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787778;0.000000;0.000000;0.000000;0.000000;0.000000;14.490645;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
19.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071581;1.071581;14.787817;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787817;0.000000;0.000000;0.000000;0.000000;0.000000;14.490688;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
20.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071583;1.071583;14.787850;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787850;0.000000;0.000000;0.000000;0.000000;0.000000;14.490724;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
21.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071585;1.071585;14.787877;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787877;0.000000;0.000000;0.000000;0.000000;0.000000;14.490753;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
22.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071587;1.071587;14.787899;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787899;0.000000;0.000000;0.000000;0.000000;0.000000;14.490777;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
23.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071588;1.071588;14.787917;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787917;0.000000;0.000000;0.000000;0.000000;0.000000;14.490797;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
24.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071589;1.071589;14.787932;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787932;0.000000;0.000000;0.000000;0.000000;0.000000;14.490814;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
25.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071590;1.071590;14.787945;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787945;0.000000;0.000000;0.000000;0.000000;0.000000;14.490827;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
26.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071591;1.071591;14.787955;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787955;0.000000;0.000000;0.000000;0.000000;0.000000;14.490838;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
27.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071592;1.071592;14.787963;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787963;0.000000;0.000000;0.000000;0.000000;0.000000;14.490848;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
28.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071592;1.071592;14.787970;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787970;0.000000;0.000000;0.000000;0.000000;0.000000;14.490855;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
29.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071592;1.071592;14.787976;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787976;0.000000;0.000000;0.000000;0.000000;0.000000;14.490862;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
30.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071593;1.071593;14.787981;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787981;0.000000;0.000000;0.000000;0.000000;0.000000;14.490867;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
31.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071593;1.071593;14.787985;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787985;0.000000;0.000000;0.000000;0.000000;0.000000;14.490871;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
32.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071593;1.071593;14.787988;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787988;0.000000;0.000000;0.000000;0.000000;0.000000;14.490875;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
33.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787991;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787991;0.000000;0.000000;0.000000;0.000000;0.000000;14.490878;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
34.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787993;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787993;0.000000;0.000000;0.000000;0.000000;0.000000;14.490880;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
35.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787995;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787995;0.000000;0.000000;0.000000;0.000000;0.000000;14.490882;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
36.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787997;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787997;0.000000;0.000000;0.000000;0.000000;0.000000;14.490884;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
37.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
38.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
39.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
40.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
41.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
42.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
43.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
44.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
45.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
46.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
47.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
48.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
49.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
50.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
51.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
52.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
53.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
54.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
55.000000;1.000000;1.000000;1.000000;2.000000;2.000000;0.000000;0.000000;2.000000;1.071594;1.071594;14.787998;0.000000;1.000000;1.000000;-1.000000;1.000000;0.000000;0.000000;14.787998;0.000000;0.000000;0.000000;0.000000;0.000000;14.490885;1.000000;-1.000000;-1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;-1.000000;1.000000;1.000000;2.000000;
