    (0.0208605,0.00186637)     (0.0377489,0.00771815)       (0.202993,0.0415039)    (0.00815717,0.00209862)    (0.00616584,0.00124702)       (-0.143312,0.447739)      (0.412203,-0.0149293)      (0.112104,0.00266217)        (0.60283,0.0143157)    (0.00470399,0.00394133)    (0.0198034,0.000203819)       (-0.143312,0.447739)     (-0.0805145,0.0209332)     (-0.0376704,0.0171364)    (-0.0216834,0.00986386)  (0.00853444,-6.22615e-06)   (-0.00411345,0.00158219)       (-0.143312,0.447739)   (-0.0214601,-0.00668329)     (0.0113824,0.00768611)      (0.0609675,0.0411689)    (0.00393958,0.00127249)   (0.00143411,0.000970991)       (-0.143312,0.447739)
   (-0.0232146,-0.0132376)     (0.0480682,-0.0273759)       (0.258484,-0.147212)    (0.0193268,-0.00625521)   (0.00756814,-0.00446078)     (-0.479968,-0.0440867)        (1.61714,-0.103271)       (0.459208,-0.049037)        (2.46937,-0.263694)     (0.0303249,-0.0139932)    (0.0803511,-0.00783207)     (-0.479968,-0.0440867)       (-1.18435,-0.231975)      (-0.776186,-0.128691)     (-0.446778,-0.0740756)      (0.0586208,0.0185148)    (-0.0760148,-0.0132591)     (-0.479968,-0.0440867)     (-0.0231346,0.0012193)     (-0.118794,-0.0370854)       (-0.636293,-0.19864)  (0.00280396,-0.000625027)   (-0.0150493,-0.00469533)     (-0.479968,-0.0440867)
    (-0.0232146,0.0132376)      (0.0480682,0.0273759)        (0.258484,0.147212)     (0.0193268,0.00625521)    (0.00756814,0.00446078)      (-0.479968,0.0440867)         (1.61714,0.103271)        (0.459208,0.049037)         (2.46937,0.263694)      (0.0303249,0.0139932)     (0.0803511,0.00783207)      (-0.479968,0.0440867)        (-1.18435,0.231975)       (-0.776186,0.128691)      (-0.446778,0.0740756)     (0.0586208,-0.0185148)     (-0.0760148,0.0132591)      (-0.479968,0.0440867)    (-0.0231346,-0.0012193)      (-0.118794,0.0370854)        (-0.636293,0.19864)   (0.00280396,0.000625027)    (-0.0150493,0.00469533)      (-0.479968,0.0440867)
   (0.00152139,-0.0471627)     (-0.0590616,-0.145499)      (-0.317601,-0.782414)     (-0.0188975,-0.037411)   (-0.00945266,-0.0235764)        (-2.18009,0.920135)       (-0.449757,-1.25185)      (-0.158091,-0.374229)        (-0.850125,-2.0124)    (-0.0270135,-0.0349431)    (-0.0265092,-0.0647699)        (-2.18009,0.920135)      (-0.208565,-0.555022)      (-0.189122,-0.443594)       (-0.10886,-0.255336)   (-0.00547863,0.00340781)    (-0.0170478,-0.0411988)        (-2.18009,0.920135)       (0.0669647,0.117543)     (-0.0548635,-0.136033)      (-0.293864,-0.728628)    (-0.0125062,-0.0223896)   (-0.00692455,-0.0171853)        (-2.18009,0.920135)
    (0.00152139,0.0471627)      (-0.0590616,0.145499)       (-0.317601,0.782414)      (-0.0188975,0.037411)    (-0.00945266,0.0235764)       (-2.18009,-0.920135)        (-0.449757,1.25185)       (-0.158091,0.374229)         (-0.850125,2.0124)     (-0.0270135,0.0349431)     (-0.0265092,0.0647699)       (-2.18009,-0.920135)       (-0.208565,0.555022)       (-0.189122,0.443594)        (-0.10886,0.255336)  (-0.00547863,-0.00340781)     (-0.0170478,0.0411988)       (-2.18009,-0.920135)      (0.0669647,-0.117543)      (-0.0548635,0.136033)       (-0.293864,0.728628)     (-0.0125062,0.0223896)    (-0.00692455,0.0171853)       (-2.18009,-0.920135)
             (-0.110844,0)            (0.000130752,0)            (0.000703111,0)              (0.0199479,0)           (-0.000609777,0)               (0.209293,0)              (-0.231783,0)              (0.0167933,0)              (0.0903053,0)              (0.0461821,0)           (-0.000197676,0)               (0.209293,0)              (-0.130924,0)              (0.0728689,0)              (0.0419439,0)              (0.0542968,0)             (0.00267713,0)               (0.209293,0)              (-0.134319,0)            (-0.00137168,0)            (-0.00734711,0)              (0.0238584,0)           (-0.000218265,0)               (0.209293,0)
              (-0.75055,0)              (0.0226365,0)               (0.121727,0)               (0.141931,0)           (-0.000644549,0)             (-0.0540358,0)                (-1.1352,0)               (0.150492,0)               (0.809263,0)               (0.267927,0)             (0.00838219,0)             (-0.0540358,0)              (-0.661522,0)               (0.329354,0)               (0.189579,0)               (0.262644,0)              (0.0108152,0)             (-0.0540358,0)              (-0.803322,0)            (-0.00355096,0)             (-0.0190199,0)               (0.142741,0)           (-0.000716258,0)             (-0.0540358,0)
             (-0.126714,0)             (0.00165486,0)             (0.00889894,0)              (0.0232787,0)           (-0.000455929,0)              (-0.308901,0)              (-0.243306,0)              (0.0262121,0)               (0.140954,0)              (0.0537282,0)            (0.000968621,0)              (-0.308901,0)             (-0.0411272,0)           (-0.000170874,0)           (-9.83567e-05,0)              (0.0101066,0)           (-0.000769406,0)              (-0.308901,0)             (-0.0850441,0)            (-0.00343045,0)             (-0.0183744,0)              (0.0150778,0)           (-0.000462589,0)              (-0.308901,0)
            (0.00383983,0)            (-0.00629523,0)             (-0.0338522,0)            (-0.00267471,0)           (-0.000986607,0)                (0.14266,0)              (-0.127606,0)            (-0.00745817,0)             (-0.0401059,0)              (0.0152085,0)            (-0.00239747,0)                (0.14266,0)              (0.0571652,0)             (-0.0517813,0)             (-0.0298057,0)              (-0.029724,0)            (-0.00256306,0)                (0.14266,0)              (0.0533046,0)            (-0.00484888,0)             (-0.0259719,0)            (-0.00952761,0)           (-0.000596269,0)                (0.14266,0)
            (0.00890745,0)            (0.000395667,0)             (0.00212768,0)            (-0.00147494,0)            (0.000114069,0)               (0.192453,0)              (0.0401558,0)            (-0.00241134,0)             (-0.0129668,0)             (-0.0076963,0)            (0.000102489,0)               (0.192453,0)             (0.00135013,0)             (-0.0016142,0)           (-0.000929148,0)            (-0.00081992,0)           (-8.78544e-05,0)               (0.192453,0)             (0.00450505,0)            (0.000242021,0)             (0.00129633,0)           (-0.000798051,0)            (3.21399e-05,0)               (0.192453,0)
          (-0.000891818,0)            (0.000488229,0)             (0.00262542,0)            (0.000314119,0)            (7.31366e-05,0)              (-0.123041,0)             (0.00281064,0)             (0.00222517,0)              (0.0119657,0)            (0.000925553,0)             (0.00033518,0)              (-0.123041,0)             (-0.0101642,0)             (0.00427876,0)             (0.00246289,0)             (0.00379991,0)            (0.000111586,0)              (-0.123041,0)            (-0.00559622,0)            (0.000109257,0)            (0.000585213,0)            (0.000995862,0)            (1.19766e-05,0)              (-0.123041,0)
              (0.014815,0)           (-0.000578325,0)            (-0.00310991,0)            (-0.00284303,0)           (-8.34344e-06,0)              (0.0778116,0)              (0.0600039,0)            (-0.00744153,0)             (-0.0400164,0)             (-0.0138481,0)           (-0.000372761,0)              (0.0778116,0)            (-0.00156478,0)            (-0.00412998,0)            (-0.00237725,0)           (-0.000858095,0)           (-0.000317219,0)              (0.0778116,0)             (0.00774503,0)           (-0.000521922,0)            (-0.00279556,0)            (-0.00138233,0)           (-6.35147e-05,0)              (0.0778116,0)
           (-0.00781268,0)            (-0.00090137,0)            (-0.00484707,0)             (0.00111886,0)            (-0.00018885,0)              (0.0448019,0)             (-0.0410559,0)            (0.000798912,0)             (0.00429611,0)             (0.00684951,0)           (-0.000333118,0)              (0.0448019,0)            (-0.00387473,0)            (-0.00160918,0)           (-0.000926258,0)            (0.000472099,0)           (-0.000183734,0)              (0.0448019,0)            (-0.00286441,0)           (-0.000862005,0)            (-0.00461714,0)            (0.000499622,0)           (-0.000110097,0)              (0.0448019,0)
