"time","deltaFrequency"
5.092,-7.223787808641191e-5
5.093,-7.193194669952163e-5
5.094,-7.16255043968772e-5
5.095,-7.131855416275812e-5
5.096,-7.101109897433844e-5
5.097,-7.070314182300308e-5
5.098,-7.039468572145324e-5
5.099,-7.008573365396842e-5
5.1,-6.97762886332498e-5
5.101,-6.946635366489318e-5
5.102,-6.915593178291601e-5
5.103,-6.884502597870323e-5
5.104,-6.853363930048317e-5
5.105,-6.822177476806246e-5
5.106,-6.790943042034314e-5
5.107,-6.759652512045022e-5
5.108,-6.728314692594495e-5
5.109,-6.69692987926851e-5
5.11,-6.665498367652845e-5
5.111,-6.634020454043821e-5
5.112,-6.602496434027216e-5
5.113,-6.57092660603098e-5
5.114,-6.539311266351433e-5
5.115,-6.507650711284896e-5
5.116,-6.475945239259318e-5
5.117,-6.44419514941319e-5
5.118,-6.412400738753377e-5
5.119,-6.380562305707826e-5
5.12,-6.34868015154666e-5
5.121,-6.316754572566197e-5
5.122,-6.284785870036558e-5
5.123,-6.252774343806777e-5
5.124,-6.22072029372589e-5
5.125,-6.18862401964293e-5
5.126,-6.156485824249103e-5
5.127,-6.1243060066829e-5
5.128,-6.092084869635528e-5
5.129,-6.0598227143771055e-5
5.13,-6.027519842888296e-5
5.131,-5.9951765578603045e-5
5.132,-5.962793161273794e-5
5.133,-5.9303699558199696e-5
5.134,-5.897907246321665e-5
5.135,-5.865405333338458e-5
5.136,-5.832864523114267e-5
5.137,-5.8002851176297554e-5
5.138,-5.7676674238393844e-5
5.139,-5.735011743013274e-5
5.14,-5.7023183821058865e-5
5.141,-5.669587645940055e-5
5.142,-5.636819839338614e-5
5.143,-5.604015267124396e-5
5.144,-5.5711742362518635e-5
5.145,-5.5382970529649356e-5
5.146,-5.505384023507531e-5
5.147,-5.47243545412357e-5
5.148,-5.43945165105697e-5
5.149,-5.40643292268328e-5
5.15,-5.37337957595696e-5
5.151,-5.340291917832474e-5
5.152,-5.3071702566853673e-5
5.153,-5.2740149008911885e-5
5.154,-5.2408261588254845e-5
5.155,-5.207604337442717e-5
5.156,-5.174349747960605e-5
5.157,-5.141062697333609e-5
5.158,-5.107743496779449e-5
5.159,-5.074392453963128e-5
5.16,-5.0410098786812796e-5
5.161,-5.007596082151622e-5
5.162,-4.974151374170788e-5
5.163,-4.94067606453541e-5
5.164,-4.9071704637526636e-5
5.165,-4.8736348830402676e-5
5.166,-4.84006963361594e-5
5.167,-4.806475025986856e-5
5.168,-4.77285137279182e-5
5.169,-4.739198983827464e-5
5.17,-4.705518172443135e-5
5.171,-4.671809249856551e-5
5.172,-4.638072529417059e-5
5.173,-4.604308321631834e-5
5.174,-4.570516940560765e-5
5.175,-4.536698699553199e-5
5.176,-4.502853909116311e-5
5.177,-4.4689828847310764e-5
5.178,-4.435085939746841e-5
5.179,-4.401163386802409e-5
5.18,-4.3672155399576695e-5
5.181,-4.333242711851426e-5
5.182,-4.299245219385739e-5
5.183,-4.265223373778326e-5
5.184,-4.2311774919312484e-5
5.185,-4.1971078871938516e-5
5.186,-4.163014874336568e-5
5.187,-4.128898768840372e-5
5.188,-4.0947598847651534e-5
5.189,-4.060598539012972e-5
5.19,-4.026415044933174e-5
5.191,-3.992209720138362e-5
5.192,-3.9579828786884264e-5
5.193,-3.9237348374854264e-5
5.194,-3.88946591272088e-5
5.195,-3.855176419875761e-5
5.196,-3.8208666751415876e-5
5.197,-3.7865369961309625e-5
5.198,-3.75218769832486e-5
5.199,-3.717819098625341e-5
5.2,-3.683431513934465e-5
5.201,-3.6490252618648356e-5
5.202,-3.614600658607969e-5
5.203,-3.580154537985436e-5
5.204,-3.545686757178146e-5
5.205,-3.511201259698282e-5
5.206,-3.476698354631935e-5
5.207,-3.442178353907366e-5
5.208,-3.407641567321207e-5
5.209,-3.3730883060911765e-5
5.21,-3.3385188807244504e-5
5.211,-3.3039336031492894e-5
5.212,-3.269332782451784e-5
5.213,-3.234716730560194e-5
5.214,-3.200085758692239e-5
5.215,-3.1654401773550944e-5
5.216,-3.1307802984770206e-5
5.217,-3.096106431144108e-5
5.218,-3.06141888799516e-5
5.219,-3.0267179788268095e-5
5.22,-2.9920040155673178e-5
5.221,-2.957277309434403e-5
5.222,-2.9225381702246978e-5
5.223,-2.8877869091559205e-5
5.224,-2.8530238381563322e-5
5.225,-2.8182492670225656e-5
5.226,-2.7834635076828818e-5
5.227,-2.748666870644456e-5
5.228,-2.713859667125007e-5
5.229,-2.6790422069211672e-5
5.23,-2.6442148026717405e-5
5.231,-2.6093777634628168e-5
5.232,-2.5745314019332e-5
5.233,-2.5396760264584373e-5
5.234,-2.504811951098418e-5
5.235,-2.4699394828076038e-5
5.236,-2.4350589349353413e-5
5.237,-2.400170617988806e-5
5.238,-2.365274841054088e-5
5.239,-2.3303719160594483e-5
5.24,-2.2954621528015196e-5
5.241,-2.26054586249802e-5
5.242,-2.225623354945583e-5
5.243,-2.1906949392302977e-5
5.244,-2.1557609279909684e-5
5.245,-2.120821630313685e-5
5.246,-2.0858773567056232e-5
5.247,-2.0509284155423302e-5
5.248,-2.0159751194626097e-5
5.249,-1.981017776842009e-5
5.25,-1.9460566981877037e-5
5.251,-1.9110921925857838e-5
5.252,-1.876124570543425e-5
5.253,-1.8411541404361742e-5
5.254,-1.80618121348175e-5
5.255,-1.7712060980557e-5
5.256,-1.7362291032441135e-5
5.257,-1.701250538843624e-5
5.258,-1.666270713940321e-5
5.259,-1.6312899383308377e-5
5.26,-1.5963085196801785e-5
5.261,-1.5613267670744335e-5
5.262,-1.5263449895996928e-5
5.263,-1.4913634963420463e-5
5.264,-1.4563825949664988e-5
5.265,-1.4214025945591402e-5
5.266,-1.3864238027849751e-5
5.267,-1.3514465280195509e-5
5.268,-1.3164710786384148e-5
5.269,-1.2814977615960288e-5
5.27,-1.2465268866890256e-5
5.271,-1.2115587587402388e-5
5.272,-1.1765936875463012e-5
5.273,-1.1416319800616748e-5
5.274,-1.1066739425302785e-5
5.275,-1.0717198833276598e-5
5.276,-1.036770107987195e-5
5.277,-1.0018249248844313e-5
5.278,-9.66884640263288e-6
5.279,-9.319495589465987e-6
5.28,-8.970199900204534e-6
5.281,-8.62096237597143e-6
5.282,-8.271786086311295e-6
5.283,-7.922674079452463e-6
5.284,-7.573629424939554e-6
5.285,-7.224655178106332e-6
5.286,-6.875754387181132e-6
5.287,-6.526930100392292e-6
5.288,-6.178185373073575e-6
5.289,-5.829523260558744e-6
5.29,-5.480946789759855e-6
5.291,-5.132459023116098e-6
5.292,-4.784062994644955e-6
5.293,-4.4357617454693354e-6
5.294,-4.087558323817575e-6
5.295,-3.7394557566017284e-6
5.296,-3.3914570849447045e-6
5.297,-3.043565335758558e-6
5.298,-2.69578354306077e-6
5.299,-2.3481147337633956e-6
5.3,-2.0005482781471073e-6
5.301,-1.6530989626062365e-6
5.302,-1.3057710503971975e-6
5.303,-9.585675329049081e-7
5.304,-6.114914370414226e-7
5.305,-2.6454574708623113e-7
5.306,8.226652425946668e-8
5.307,4.289423927161806e-7
5.308,7.754788526881384e-7
5.309,1.1218729270012773e-6
5.31,1.4681216100598249e-6
5.311,1.8142219246897184e-6
5.312,2.1601708866114677e-6
5.313,2.5059655115455826e-6
5.314,2.851602822318e-6
5.315,3.1970798417546575e-6
5.316,3.5423935997869194e-6
5.317,3.887541119240723e-6
5.318,4.23251943715286e-6
5.319,4.5773255834546944e-6
5.32,4.921956609393874e-6
5.321,5.2664095306909076e-6
5.322,5.610681412804297e-6
5.323,5.954769292770834e-6
5.324,6.298670221838165e-6
5.325,6.64238124414851e-6
5.326,6.985899425160369e-6
5.327,7.3292218161213896e-6
5.328,7.672345482490073e-6
5.329,8.01526748972492e-6
5.33,8.357984896179005e-6
5.331,8.700494774416256e-6
5.332,9.04279420410603e-6
5.333,9.384880250706829e-6
5.334,9.726750008098861e-6
5.335,1.006840054174063e-5
5.336,1.0409828952617772e-5
5.337,1.0751032327505072e-5
5.338,1.1092007753177313e-5
5.339,1.1432752323514705e-5
5.34,1.1773263139502887e-5
5.341,1.2113537309232925e-5
5.342,1.2453571933690455e-5
5.343,1.2793364120966544e-5
5.344,1.3132910993363112e-5
5.345,1.3472209658971224e-5
5.346,1.3811257232987373e-5
5.347,1.4150050851924334e-5
5.348,1.44885876309786e-5
5.349,1.4826864706662946e-5
5.35,1.5164879208384718e-5
5.351,1.550262827976212e-5
5.352,1.5840109057307927e-5
5.353,1.6177318677534913e-5
5.354,1.651425431248299e-5
5.355,1.6850913098664932e-5
5.356,1.7187292193909798e-5
5.357,1.752338876315207e-5
5.358,1.785919995711538e-5
5.359,1.8194722954945064e-5
5.36,1.8529954935786463e-5
5.361,1.8864893050363207e-5
5.362,1.919953451334777e-5
5.363,1.9533876475463785e-5
5.364,1.986791613717287e-5
5.365,2.020165068472579e-5
5.366,2.0535077332795026e-5
5.367,2.0868193260525914e-5
5.368,2.12009956754855e-5
5.369,2.1533481792346265e-5
5.37,2.1865648811569827e-5
5.371,2.2197493962039516e-5
5.372,2.2529014465533237e-5
5.373,2.2860207529618037e-5
5.374,2.3191070397388103e-5
5.375,2.352160030483219e-5
5.376,2.3851794473728205e-5
5.377,2.4181650161381185e-5
5.378,2.451116460377989e-5
5.379,2.4840335065334784e-5
5.38,2.51691587749292e-5
5.381,2.5497633025395317e-5
5.382,2.5825755059827316e-5
5.383,2.6153522149741093e-5
5.384,2.648093157375797e-5
5.385,2.6807980596288417e-5
5.386,2.7134666517270034e-5
5.387,2.7460986615324146e-5
5.388,2.7786938183282928e-5
5.389,2.811251850687313e-5
5.39,2.8437724907348638e-5
5.391,2.876255467754163e-5
5.392,2.9087005124495136e-5
5.393,2.9411073569463042e-5
5.394,2.9734757340804663e-5
5.395,3.005805374556303e-5
5.396,3.0380950079234026e-5
5.397,3.0703433722578666e-5
5.398,3.102552072675735e-5
5.399,3.134720839881311e-5
5.4,3.166849408131611e-5
5.401,3.198937507420396e-5
5.402,3.2309848734257685e-5
5.403,3.262991238273116e-5
5.404,3.294956335508914e-5
5.405,3.326879900811264e-5
5.406,3.3587616684371824e-5
5.407,3.390601374064772e-5
5.408,3.4223987533721356e-5
5.409,3.454153544169003e-5
5.41,3.485865481422934e-5
5.411,3.5175343043647445e-5
5.412,3.5491597493830795e-5
5.413,3.580741555708755e-5
5.414,3.6122794618620446e-5
5.415,3.6437732077843066e-5
5.416,3.6752225334169e-5
5.417,3.706627178701183e-5
5.418,3.7379868849996e-5
5.419,3.7693013936745956e-5
5.42,3.8005704467991563e-5
5.421,3.831793786446269e-5
5.422,3.8629711561100066e-5
5.423,3.894102299284441e-5
5.424,3.925186960174187e-5
5.425,3.9562248836944036e-5
5.426,3.987215813339162e-5
5.427,4.018159496865792e-5
5.428,4.0490556791894505e-5
5.429,4.079904108067467e-5
5.43,4.1107045298360845e-5
5.431,4.141456692252632e-5
5.432,4.172160345206066e-5
5.433,4.2028152357431736e-5
5.434,4.2334211151739964e-5
5.435,4.2639777312558635e-5
5.436,4.2944848374304456e-5
5.437,4.324942182876157e-5
5.438,4.355349519613583e-5
5.439,4.385706600373851e-5
5.44,4.4160131778880896e-5
5.441,4.446269005597969e-5
5.442,4.4764738376557034e-5
5.443,4.5066274282135055e-5
5.444,4.5367295328446744e-5
5.445,4.566779906411966e-5
5.446,4.596778306620308e-5
5.447,4.626724489753542e-5
5.448,4.656618212806052e-5
5.449,4.686459235614393e-5
5.45,4.716247314462407e-5
5.451,4.7459822106077354e-5
5.452,4.775663682465847e-5
5.453,4.8052914912943834e-5
5.454,4.8348653990615276e-5
5.455,4.864385165603835e-5
5.456,4.893850554310575e-5
5.457,4.923261327860473e-5
5.458,4.9526172503533417e-5
5.459,4.9819180851784495e-5
5.46,5.011163596435608e-5
5.461,5.0403535517773435e-5
5.462,5.069487715303467e-5
5.463,5.0985658546665036e-5
5.464,5.127587736097894e-5
5.465,5.1565531286712485e-5
5.466,5.185461800039093e-5
5.467,5.2143135199855806e-5
5.468,5.243108058294865e-5
5.469,5.2718451847511005e-5
5.47,5.3005246705595255e-5
5.471,5.3291462890570074e-5
5.472,5.3577098107382426e-5
5.473,5.386215009650641e-5
5.474,5.41466165913107e-5
5.475,5.44304953322694e-5
5.476,5.471378408117289e-5
5.477,5.4996480578495266e-5
5.478,5.527858260023777e-5
5.479,5.556008791529621e-5
5.48,5.584099430677725e-5
5.481,5.612129953647127e-5
5.482,5.6401001423012076e-5
5.483,5.668008801507085e-5
5.484,5.695855326592891e-5
5.485,5.723640751398307e-5
5.486,5.7513648528129124e-5
5.487,5.7790274127000885e-5
5.488,5.8066282115021295e-5
5.489,5.83416702966133e-5
5.49,5.861643649751613e-5
5.491,5.889057854346902e-5
5.492,5.916409427442204e-5
5.493,5.943698151611443e-5
5.494,5.970923812981255e-5
5.495,5.998086194836105e-5
5.496,6.025185086144802e-5
5.497,6.052220271612896e-5
5.498,6.079191538788109e-5
5.499,6.106098677349792e-5
5.5,6.132941474135123e-5
5.501,6.159719718823453e-5
5.502,6.186433202515218e-5
5.503,6.21308171560031e-5
5.504,6.239665049889709e-5
5.505,6.266182997194392e-5
5.506,6.292635350746423e-5
5.507,6.319021905198952e-5
5.508,6.345342453784042e-5
5.509,6.371596791154843e-5
5.51,6.397784714096133e-5
5.511,6.423906018682146e-5
5.512,6.449960503118746e-5
5.513,6.475947964901252e-5
5.514,6.501868201524985e-5
5.515,6.527721013327437e-5
5.516,6.55350620135664e-5
5.517,6.579223564529002e-5
5.518,6.604872906024184e-5
5.519,6.630454028311306e-5
5.52,6.655966733148944e-5
5.521,6.681410825848388e-5
5.522,6.706786110299845e-5
5.523,6.732092391104061e-5
5.524,6.757329475703955e-5
5.525,6.78249717012136e-5
5.526,6.807595281799195e-5
5.527,6.832623619601463e-5
5.528,6.85758199239217e-5
5.529,6.882470209745861e-5
5.53,6.907288083368712e-5
5.531,6.932035423545813e-5
5.532,6.956712041983337e-5
5.533,6.98131775251909e-5
5.534,7.005852368990872e-5
5.535,7.03031570523649e-5
5.536,7.054707577225372e-5
5.537,7.079027800216409e-5
5.538,7.103276190889574e-5
5.539,7.127452567345927e-5
5.54,7.151556747686527e-5
5.541,7.175588552144063e-5
5.542,7.199547798819594e-5
5.543,7.223434310077437e-5
5.544,7.247247906860821e-5
5.545,7.27098841082352e-5
5.546,7.294655645750936e-5
5.547,7.318249436139013e-5
5.548,7.341769605773152e-5
5.549,7.36521597985984e-5
5.55,7.388588386447736e-5
5.551,7.411886650743327e-5
5.552,7.435110602216355e-5
5.553,7.458260070336564e-5
5.554,7.481334881731527e-5
5.555,7.504334870134244e-5
5.556,7.527259865014457e-5
5.557,7.550109698684082e-5
5.558,7.572884204876118e-5
5.559,7.595583216613022e-5
5.56,7.618206568338337e-5
5.561,7.640754095916691e-5
5.562,7.663225635923254e-5
5.563,7.685621024933198e-5
5.564,7.707940100942778e-5
5.565,7.730182702658794e-5
5.566,7.752348670919673e-5
5.567,7.774437844432214e-5
5.568,7.796450065455929e-5
5.569,7.818385176960874e-5
5.57,7.84024038722464e-5
5.571,7.862015543480538e-5
5.572,7.883712875411675e-5
5.573,7.90533222243539e-5
5.574,7.926873425390113e-5
5.575,7.948336325824812e-5
5.576,7.969720764577914e-5
5.577,7.991026586751104e-5
5.578,8.01225363602498e-5
5.579,8.033401756790681e-5
5.58,8.05447079343935e-5
5.581,8.075460593204298e-5
5.582,8.096371003318836e-5
5.583,8.11720187172682e-5
5.584,8.137953047082647e-5
5.585,8.158624379461799e-5
5.586,8.179215718229216e-5
5.587,8.19972691559201e-5
5.588,8.220157822336205e-5
5.589,8.240508292800541e-5
5.59,8.260778178481587e-5
5.591,8.280967337270795e-5
5.592,8.301075621375276e-5
5.593,8.32110288797594e-5
5.594,8.341048995674782e-5
5.595,8.360913799521086e-5
5.596,8.380697160959016e-5
5.597,8.400398937169484e-5
5.598,8.420018989596656e-5
5.599,8.439557179684698e-5
5.6,8.45901336958832e-5
5.601,8.478387422172773e-5
5.602,8.49767920030331e-5
5.603,8.516888569687353e-5
5.604,8.536015395321783e-5
5.605,8.555059543624566e-5
5.606,8.574020881013666e-5
5.607,8.592899277459765e-5
5.608,8.611694600091369e-5
5.609,8.630406718879158e-5
5.61,8.64903550592544e-5
5.611,8.667580831911437e-5
5.612,8.686042568228913e-5
5.613,8.704420589111805e-5
5.614,8.722714768794049e-5
5.615,8.740924982220122e-5
5.616,8.759051105755589e-5
5.617,8.777093014344928e-5
5.618,8.795050587906417e-5
5.619,8.812923703516162e-5
5.62,8.830712241802985e-5
5.621,8.84841608197462e-5
5.622,8.866035105370429e-5
5.623,8.883569195461405e-5
5.624,8.901018232876368e-5
5.625,8.91838210392848e-5
5.626,8.935660692088732e-5
5.627,8.952853882959744e-5
5.628,8.969961564275764e-5
5.629,8.986983622349953e-5
5.63,9.003919945627104e-5
5.631,9.020770424683633e-5
5.632,9.037534948674875e-5
5.633,9.054213409598333e-5
5.634,9.070805698740969e-5
5.635,9.087311709521373e-5
5.636,9.103731334647591e-5
5.637,9.120064471090927e-5
5.638,9.136311013691056e-5
5.639,9.152470858708739e-5
5.64,9.168543904536364e-5
5.641,9.184530048145234e-5
5.642,9.200429190059367e-5
5.643,9.216241232223865e-5
5.644,9.231966073031117e-5
5.645,9.247603616557853e-5
5.646,9.263153766170262e-5
5.647,9.278616424523989e-5
5.648,9.293991498537935e-5
5.649,9.309278893709916e-5
5.65,9.324478516248291e-5
5.651,9.339590275203591e-5
5.652,9.354614078205259e-5
5.653,9.369549836435453e-5
5.654,9.38439746036579e-5
5.655,9.399156860467883e-5
5.656,9.413827950766063e-5
5.657,9.428406438161119e-5
5.658,9.442893433231347e-5
5.659,9.457291522352307e-5
5.66,9.471600613153441e-5
5.661,9.485820615395824e-5
5.662,9.499951439551069e-5
5.663,9.51399299822242e-5
5.664,9.527945200460408e-5
5.665,9.541807960289361e-5
5.666,9.555581192444151e-5
5.667,9.569264810238565e-5
5.668,9.582858730539101e-5
5.669,9.59636286737009e-5
5.67,9.609777140440201e-5
5.671,9.623101465905393e-5
5.672,9.63633576489542e-5
5.673,9.64947995569787e-5
5.674,9.662533958731956e-5
5.675,9.675497696548518e-5
5.676,9.688371090987857e-5
5.677,9.701154066732443e-5
5.678,9.713846546333116e-5
5.679,9.726448456603976e-5
5.68,9.738959722938034e-5
5.681,9.75138027214939e-5
5.682,9.763710031762685e-5
5.683,9.775948931434186e-5
5.684,9.788096900109622e-5
5.685,9.800153868866346e-5
5.686,9.812119769492256e-5
5.687,9.823994533775249e-5
5.688,9.835778094213765e-5
5.689,9.847470386858959e-5
5.69,9.859071345630355e-5
5.691,9.870580906579107e-5
5.692,9.881999006466913e-5
5.693,9.893325583476553e-5
5.694,9.904560577211896e-5
5.695,9.91570392514518e-5
5.696,9.926755569722445e-5
5.697,9.9377154512581e-5
5.698,9.948583512908726e-5
5.699,9.959359698541448e-5
5.7,9.970043950602303e-5
5.701,9.980636215800587e-5
5.702,9.991136439424508e-5
5.703,1.0001544568893905e-4
5.704,1.0011860550918072e-4
5.705,1.0022084336469561e-4
5.706,1.0032215874389294e-4
5.707,1.004225511493928e-4
5.708,1.0052202009802613e-4
5.709,1.0062056512083473e-4
5.71,1.007181857559658e-4
5.711,1.0081488154867202e-4
5.712,1.0091065203710059e-4
5.713,1.0100549679492588e-4
5.714,1.0109941540292766e-4
5.715,1.0119240744188573e-4
5.716,1.0128447248547445e-4
5.717,1.0137561015000074e-4
5.718,1.0146582003756066e-4
5.719,1.01555101778672e-4
5.72,1.0164345500385252e-4
5.721,1.0173087933651459e-4
5.722,1.0181737444270311e-4
5.723,1.0190293996714672e-4
5.724,1.0198757558299576e-4
5.725,1.02071280970506e-4
5.726,1.0215405581703862e-4
5.727,1.0223589980995484e-4
5.728,1.0231681266503756e-4
5.729,1.0239679409096425e-4
5.73,1.024758438248341e-4
5.731,1.0255396158953545e-4
5.732,1.026311471292729e-4
5.733,1.0270740020246194e-4
5.734,1.0278272057462345e-4
5.735,1.0285710801838377e-4
5.736,1.0293056232058007e-4
5.737,1.030030832609441e-4
5.738,1.0307467065473475e-4
5.739,1.0314532432431633e-4
5.74,1.032150440707369e-4
5.741,1.032838297305716e-4
5.742,1.033516811617119e-4
5.743,1.0341859820073296e-4
5.744,1.0348453070463393e-4
5.745,1.0354950340740743e-4
5.746,1.036135377958658e-4
5.747,1.0367663367105706e-4
5.748,1.0373879084824011e-4
5.749,1.038000091568847e-4
5.75,1.0386028841935513e-4
5.751,1.0391962848643743e-4
5.752,1.0397802920891763e-4
5.753,1.0403549043758176e-4
5.754,1.0409201205163754e-4
5.755,1.0414759393029271e-4
5.756,1.0420223594564959e-4
5.757,1.0425593799823218e-4
5.758,1.0430869999566994e-4
5.759,1.0436052185980316e-4
5.76,1.0441140349115585e-4
5.761,1.0446134483999003e-4
5.762,1.04510345828146e-4
5.763,1.0455840640588576e-4
5.764,1.0460552655189304e-4
5.765,1.046517062093244e-4
5.766,1.0469694537107443e-4
5.767,1.04741244001616e-4
5.768,1.0478460210805451e-4
5.769,1.0482701968328456e-4
5.77,1.0486849674862242e-4
5.771,1.0490903332538437e-4
5.772,1.0494862942778127e-4
5.773,1.0498728509844568e-4
5.774,1.0502500039422102e-4
5.775,1.0506177536484529e-4
5.776,1.0509761008137275e-4
5.777,1.051325045935414e-4
5.778,1.0516645901503807e-4
5.779,1.051994734311279e-4
5.78,1.0523154792707601e-4
5.781,1.0526268262367466e-4
5.782,1.0529287764171613e-4
5.783,1.053221331090981e-4
5.784,1.0535044916792913e-4
5.785,1.0537782595321232e-4
5.786,1.0540426362126709e-4
5.787,1.0542976234972912e-4
5.788,1.054543222949178e-4
5.789,1.0547794366289054e-4
5.79,1.0550062661707216e-4
5.791,1.0552237138483633e-4
5.792,1.055431781580296e-4
5.793,1.0556304716402565e-4
5.794,1.0558197863730356e-4
5.795,1.055999727981316e-4
5.796,1.0561702990941058e-4
5.797,1.056331502340413e-4
5.798,1.0564833402071372e-4
5.799,1.0566258153943409e-4
5.8,1.0567589308863035e-4
5.801,1.0568826895962502e-4
5.802,1.0569970945795149e-4
5.803,1.0571021488203769e-4
5.804,1.0571978556583872e-4
5.805,1.0572842182199338e-4
5.806,1.0573612401287846e-4
5.807,1.0574289246534363e-4
5.808,1.0574872755597653e-4
5.809,1.0575362964004853e-4
5.81,1.0575759909414728e-4
5.811,1.0576063630907129e-4
5.812,1.0576274168272448e-4
5.813,1.0576391560590537e-4
5.814,1.0576415850493959e-4
5.815,1.0576347079194193e-4
5.816,1.0576185291455431e-4
5.817,1.0575930530620781e-4
5.818,1.0575582841454434e-4
5.819,1.0575142269431126e-4
5.82,1.0574608862867763e-4
5.821,1.0573982669370707e-4
5.822,1.0573263737967409e-4
5.823,1.0572452118395859e-4
5.824,1.0571547859683506e-4
5.825,1.0570551015831597e-4
5.826,1.0569461637999211e-4
5.827,1.0568279780898138e-4
5.828,1.0567005498529625e-4
5.829,1.056563884489492e-4
5.83,1.0564179878969071e-4
5.831,1.0562623094756418e-4
5.832,1.0560972233975008e-4
5.833,1.0559228884687855e-4
5.834,1.0557393097343493e-4
5.835,1.0555464925232627e-4
5.836,1.0553444421645963e-4
5.837,1.0551331642716377e-4
5.838,1.0549126641024031e-4
5.839,1.0546829474122887e-4
5.84,1.0544440198856364e-4
5.841,1.054195887206788e-4
5.842,1.0539385553443026e-4
5.843,1.0536720301246305e-4
5.844,1.053396317587385e-4
5.845,1.0531114239853423e-4
5.846,1.0528173553581155e-4
5.847,1.0525141179584807e-4
5.848,1.0522017182523768e-4
5.849,1.0518801626346885e-4
5.85,1.0515494577134632e-4
5.851,1.0512096099546397e-4
5.852,1.0508606261794284e-4
5.853,1.0505025131379853e-4
5.854,1.0501352777225748e-4
5.855,1.0497589268254615e-4
5.856,1.0493734674810185e-4
5.857,1.0489789067946731e-4
5.858,1.0485752521560698e-4
5.859,1.0481625105995818e-4
5.86,1.0477406895859076e-4
5.861,1.0473097967178546e-4
5.862,1.046869839314013e-4
5.863,1.0464208251903528e-4
5.864,1.0459627619496814e-4
5.865,1.0454956573369145e-4
5.866,1.0450195193811851e-4
5.867,1.0445343558984632e-4
5.868,1.0440401751310446e-4
5.869,1.0435369851080623e-4
5.87,1.0430247940007575e-4
5.871,1.0425036101224805e-4
5.872,1.0419734419286897e-4
5.873,1.0414342979458979e-4
5.874,1.0408861865585095e-4
5.875,1.0403291165062001e-4
5.876,1.0397630965286453e-4
5.877,1.0391881355076293e-4
5.878,1.0386042421828279e-4
5.879,1.0380114256491879e-4
5.88,1.0374096949306022e-4
5.881,1.036799059193072e-4
5.882,1.036179527673653e-4
5.883,1.0355511097515091e-4
5.884,1.034913814663696e-4
5.885,1.0342676521446492e-4
5.886,1.0336126315735328e-4
5.887,1.0329487627558365e-4
5.888,1.0322760552838872e-4
5.889,1.0315945191763376e-4
5.89,1.0309041641676231e-4
5.891,1.0302050004185048e-4
5.892,1.0294970379476354e-4
5.893,1.0287802869157758e-4
5.894,1.0280547575547416e-4
5.895,1.027320460309511e-4
5.896,1.0265774055540078e-4
5.897,1.0258256037332103e-4
5.898,1.0250650655763138e-4
5.899,1.0242958016704051e-4
5.9,1.023517822886788e-4
5.901,1.0227311400257122e-4
5.902,1.0219357639584814e-4
5.903,1.0211317057695624e-4
5.904,1.0203189766855303e-4
5.905,1.0194975877197976e-4
5.906,1.018667550241048e-4
5.907,1.0178288755469111e-4
5.908,1.0169815751481792e-4
5.909,1.0161256606977531e-4
5.91,1.0152611436353709e-4
5.911,1.014388035756042e-4
5.912,1.0135063488547758e-4
5.913,1.0126160947976359e-4
5.914,1.0117172855927947e-4
5.915,1.0108099331773701e-4
5.916,1.0098940498437514e-4
5.917,1.0089696476711651e-4
5.918,1.0080361234798829e-4
5.919,1.0070939784867505e-4
5.92,1.0061433169283873e-4
5.921,1.0051841507419113e-4
5.922,1.0042164915802232e-4
5.923,1.0032403513093868e-4
5.924,1.0022557420086287e-4
5.925,1.0012626756861209e-4
5.926,1.0002611643500359e-4
5.927,9.992512202927628e-5
5.928,9.982328556645825e-5
5.929,9.972060828999929e-5
5.93,9.961709143624375e-5
5.931,9.951273626285229e-5
5.932,9.940754400616925e-5
5.933,9.930151593806613e-5
5.934,9.919465333751987e-5
5.935,9.908695747640195e-5
5.936,9.897842964079473e-5
5.937,9.886907110967513e-5
5.938,9.875888320465265e-5
5.939,9.864786722602048e-5
5.94,9.853602448117726e-5
5.941,9.842335629883792e-5
5.942,9.83098640219282e-5
5.943,9.819554895784677e-5
5.944,9.808041247794108e-5
5.945,9.796445591803149e-5
5.946,9.784768064946547e-5
5.947,9.773008802937966e-5
5.948,9.761167944333238e-5
5.949,9.749245625556568e-5
5.95,9.73724198729542e-5
5.951,9.725157168105625e-5
5.952,9.712991307964103e-5
5.953,9.700744549689944e-5
5.954,9.688417033970609e-5
5.955,9.676008902914646e-5
5.956,9.66352030076223e-5
5.957,9.650951371042993e-5
5.958,9.638302258707654e-5
5.959,9.625573110128016e-5
5.96,9.612764069544255e-5
5.961,9.599875286170345e-5
5.962,9.58690690637809e-5
5.963,9.573859078670921e-5
5.964,9.560731952262813e-5
5.965,9.547525677788826e-5
5.966,9.534240405173477e-5
5.967,9.52087628576237e-5
5.968,9.507433472322191e-5
5.969,9.493912116198544e-5
5.97,9.480312373710831e-5
5.971,9.466634395494111e-5
5.972,9.452878339999415e-5
5.973,9.439044360703974e-5
5.974,9.425132614637732e-5
5.975,9.411143259541177e-5
5.976,9.397076452444253e-5
5.977,9.382932352508533e-5
5.978,9.368711119606132e-5
5.979,9.354412912898624e-5
5.98,9.34003789367921e-5
5.981,9.325586223951632e-5
5.982,9.311058065009092e-5
5.983,9.29645358027642e-5
5.984,9.281772933888988e-5
5.985,9.267016289271623e-5
