time;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;_LOAD___5_EC_load_PPu;_LOAD___5_EC_load_QPu;
20.014889;0.980276;1.049325;0.071655;0.761498;
20.014948;0.980275;1.049324;0.071655;0.761496;
20.014948;0.980275;1.049324;0.071655;0.761496;
20.014949;0.980275;1.049324;0.071655;0.761496;
20.014950;0.980275;1.049323;0.071655;0.761496;
20.014952;0.980275;1.049323;0.071655;0.761496;
20.014956;0.980275;1.049323;0.071655;0.761496;
20.014964;0.980275;1.049323;0.071655;0.761496;
20.014980;0.980275;1.049323;0.071655;0.761495;
20.015012;0.980274;1.049322;0.071655;0.761494;
20.015076;0.980273;1.049320;0.071655;0.761492;
20.015204;0.980271;1.049316;0.071655;0.761488;
20.015460;0.980267;1.049309;0.071654;0.761480;
20.015972;0.980259;1.049295;0.071653;0.761464;
20.016996;0.980243;1.049269;0.071651;0.761434;
20.019044;0.980214;1.049223;0.071648;0.761377;
20.023140;0.980164;1.049154;0.071643;0.761279;
20.031332;0.980092;1.049096;0.071635;0.761140;
20.047716;0.980036;1.049205;0.071629;0.761031;
20.064100;0.980070;1.049529;0.071632;0.761097;
20.096868;0.980281;1.050439;0.071656;0.761506;
20.129636;0.980609;1.051512;0.071692;0.762144;
20.162404;0.980982;1.052579;0.071733;0.762869;
20.227940;0.981701;1.054445;0.071811;0.764267;
20.293476;0.982339;1.055951;0.071881;0.765511;
20.359012;0.982860;1.057119;0.071939;0.766525;
20.421548;0.983245;1.057971;0.071981;0.767277;
20.421548;0.983245;1.057971;0.071981;0.767277;
20.421549;0.983246;1.057971;0.071981;0.767277;
20.421550;0.983246;1.057971;0.071981;0.767277;
20.421552;0.983246;1.057971;0.071981;0.767277;
20.421556;0.983246;1.057971;0.071981;0.767277;
20.421564;0.983246;1.057971;0.071981;0.767277;
20.421580;0.983246;1.057971;0.071981;0.767278;
20.421612;0.983246;1.057972;0.071981;0.767278;
20.421662;0.983246;1.057972;0.071981;0.767278;
20.421662;0.983246;1.057972;0.071981;0.767278;
20.421662;0.983246;1.057972;0.071981;0.767278;
20.421676;0.983246;1.057972;0.071981;0.767279;
20.421804;0.983247;1.057974;0.071981;0.767280;
20.422060;0.983248;1.057977;0.071981;0.767283;
20.422572;0.983251;1.057983;0.071982;0.767288;
20.423596;0.983256;1.057994;0.071982;0.767298;
20.425644;0.983267;1.058018;0.071983;0.767319;
20.429740;0.983288;1.058063;0.071986;0.767360;
20.437932;0.983329;1.058153;0.071990;0.767440;
20.449283;0.983383;1.058272;0.071996;0.767545;
20.449283;0.983383;1.058272;0.071996;0.767545;
20.449283;0.983383;1.058272;0.071996;0.767545;
20.449765;0.983385;1.058277;0.071996;0.767549;
20.449765;0.983385;1.058277;0.071996;0.767549;
20.449766;0.983385;1.058277;0.071996;0.767549;
20.449767;0.983385;1.058277;0.071996;0.767549;
20.449769;0.983385;1.058277;0.071996;0.767549;
20.449773;0.983385;1.058277;0.071996;0.767549;
20.449781;0.983385;1.058277;0.071996;0.767549;
20.449797;0.983385;1.058277;0.071996;0.767549;
20.449829;0.983385;1.058277;0.071996;0.767550;
20.449893;0.983385;1.058278;0.071996;0.767550;
20.450021;0.983386;1.058279;0.071996;0.767551;
20.450277;0.983387;1.058282;0.071996;0.767554;
20.450789;0.983390;1.058287;0.071997;0.767558;
20.451813;0.983394;1.058297;0.071997;0.767567;
20.453861;0.983403;1.058318;0.071998;0.767585;
20.457957;0.983422;1.058358;0.072000;0.767621;
20.466149;0.983457;1.058438;0.072004;0.767690;
20.482533;0.983524;1.058588;0.072011;0.767820;
20.515301;0.983643;1.058862;0.072025;0.768052;
20.580837;0.983839;1.059326;0.072046;0.768435;
20.646373;0.983997;1.059707;0.072063;0.768744;
20.683414;0.984081;1.059901;0.072073;0.768908;
20.683414;0.984081;1.059901;0.072073;0.768908;
20.683415;0.984081;1.059901;0.072073;0.768908;
20.683416;0.984081;1.059901;0.072073;0.768908;
20.683418;0.984081;1.059901;0.072073;0.768908;
20.683422;0.984081;1.059901;0.072073;0.768908;
20.683430;0.984081;1.059901;0.072073;0.768908;
20.683446;0.984081;1.059901;0.072073;0.768908;
20.683478;0.984081;1.059902;0.072073;0.768909;
20.683542;0.984081;1.059902;0.072073;0.768909;
20.683613;0.984082;1.059902;0.072073;0.768909;
20.683613;0.984082;1.059902;0.072073;0.768909;
20.683613;0.984082;1.059902;0.072073;0.768909;
20.683670;0.984082;1.059903;0.072073;0.768909;
20.683926;0.984082;1.059904;0.072073;0.768910;
20.684438;0.984083;1.059906;0.072073;0.768912;
20.685462;0.984085;1.059911;0.072073;0.768916;
20.687510;0.984089;1.059921;0.072074;0.768924;
20.691606;0.984097;1.059940;0.072074;0.768940;
20.699798;0.984113;1.059978;0.072076;0.768971;
20.707217;0.984128;1.060012;0.072078;0.769000;
20.707217;0.984128;1.060012;0.072078;0.769000;
20.707217;0.984128;1.060012;0.072078;0.769000;
20.707351;0.984128;1.060012;0.072078;0.769000;
20.707351;0.984128;1.060012;0.072078;0.769000;
20.707352;0.984128;1.060012;0.072078;0.769000;
20.707353;0.984128;1.060012;0.072078;0.769000;
20.707355;0.984128;1.060012;0.072078;0.769000;
20.707359;0.984128;1.060012;0.072078;0.769000;
20.707367;0.984128;1.060012;0.072078;0.769000;
20.707383;0.984128;1.060012;0.072078;0.769000;
20.707415;0.984128;1.060013;0.072078;0.769001;
20.707479;0.984128;1.060013;0.072078;0.769001;
20.707607;0.984129;1.060013;0.072078;0.769001;
20.707863;0.984129;1.060015;0.072078;0.769002;
20.708375;0.984130;1.060017;0.072078;0.769004;
20.709399;0.984132;1.060022;0.072078;0.769008;
20.711447;0.984136;1.060031;0.072079;0.769016;
20.715543;0.984144;1.060049;0.072080;0.769032;
20.723735;0.984160;1.060086;0.072081;0.769063;
20.740119;0.984193;1.060158;0.072085;0.769127;
20.772887;0.984259;1.060298;0.072092;0.769256;
20.838423;0.984395;1.060556;0.072107;0.769522;
20.945924;0.984615;1.060900;0.072131;0.769951;
20.945924;0.984615;1.060900;0.072131;0.769951;
20.945924;0.984615;1.060900;0.072131;0.769951;
20.946142;0.984615;1.060901;0.072131;0.769952;
20.946142;0.984615;1.060901;0.072131;0.769952;
20.946143;0.984615;1.060901;0.072131;0.769952;
20.946144;0.984615;1.060901;0.072131;0.769952;
20.946146;0.984615;1.060901;0.072131;0.769952;
20.946150;0.984615;1.060901;0.072131;0.769952;
20.946158;0.984615;1.060901;0.072131;0.769952;
20.946174;0.984615;1.060901;0.072131;0.769952;
20.946206;0.984615;1.060901;0.072131;0.769953;
20.946270;0.984616;1.060901;0.072131;0.769953;
20.946398;0.984616;1.060901;0.072131;0.769953;
20.946654;0.984616;1.060902;0.072132;0.769954;
20.947166;0.984617;1.060903;0.072132;0.769956;
20.948190;0.984620;1.060906;0.072132;0.769961;
20.950238;0.984624;1.060912;0.072132;0.769969;
20.954334;0.984632;1.060923;0.072133;0.769986;
20.962526;0.984649;1.060945;0.072135;0.770019;
20.978910;0.984683;1.060987;0.072139;0.770084;
21.011678;0.984748;1.061062;0.072146;0.770211;
21.077214;0.984867;1.061178;0.072159;0.770444;
21.208286;0.985054;1.061305;0.072180;0.770810;
21.339358;0.985183;1.061349;0.072194;0.771063;
21.470430;0.985268;1.061373;0.072203;0.771229;
21.601502;0.985299;1.061403;0.072207;0.771289;
21.719467;0.985291;1.061412;0.072206;0.771273;
21.837431;0.985260;1.061404;0.072202;0.771213;
22.073361;0.985219;1.061382;0.072198;0.771133;
22.309291;0.985228;1.061384;0.072199;0.771150;
22.545220;0.985260;1.061397;0.072202;0.771213;
22.781150;0.985291;1.061408;0.072206;0.771274;
23.253009;0.985318;1.061412;0.072209;0.771326;
24.196727;0.985332;1.061413;0.072210;0.771354;
25.140446;0.985341;1.061414;0.072211;0.771371;
27.027883;0.985351;1.061418;0.072212;0.771391;
28.915319;0.985358;1.061420;0.072213;0.771404;
32.690193;0.985364;1.061423;0.072214;0.771416;
40.239940;0.985368;1.061425;0.072214;0.771424;
47.789687;0.985369;1.061425;0.072214;0.771427;
57.789687;0.985370;1.061426;0.072214;0.771429;
59.999988;0.985370;1.061426;0.072214;0.771429;
59.999988;0.982830;1.067016;0.071935;0.766495;
59.999989;0.982830;1.067016;0.071935;0.766468;
59.999990;0.982830;1.067016;0.071935;0.766468;
59.999992;0.982830;1.067016;0.071935;0.766469;
59.999996;0.982830;1.067016;0.071935;0.766468;
60.000004;0.982830;1.067016;0.071935;0.766468;
60.000020;0.982831;1.067016;0.071935;0.766468;
60.000052;0.982831;1.067017;0.071935;0.766468;
60.000116;0.982831;1.067018;0.071935;0.766469;
60.000244;0.982831;1.067021;0.071935;0.766470;
60.000500;0.982832;1.067026;0.071936;0.766471;
60.001012;0.982834;1.067036;0.071936;0.766475;
60.002036;0.982838;1.067054;0.071936;0.766482;
60.004084;0.982845;1.067089;0.071937;0.766495;
60.008180;0.982856;1.067146;0.071938;0.766517;
60.016372;0.982870;1.067224;0.071940;0.766544;
60.032756;0.982875;1.067275;0.071940;0.766555;
60.065524;0.982843;1.067156;0.071937;0.766492;
60.098292;0.982783;1.066889;0.071930;0.766376;
60.163828;0.982673;1.066344;0.071918;0.766160;
60.294900;0.982542;1.065586;0.071904;0.765905;
60.425972;0.982455;1.065071;0.071894;0.765736;
60.688116;0.982362;1.064514;0.071884;0.765554;
60.950260;0.982317;1.064216;0.071879;0.765467;
61.474548;0.982298;1.063998;0.071877;0.765431;
61.998836;0.982297;1.063918;0.071877;0.765428;
63.047412;0.982300;1.063880;0.071877;0.765434;
65.144564;0.982303;1.063869;0.071877;0.765440;
69.338868;0.982304;1.063868;0.071878;0.765442;
69.999986;0.982304;1.063868;0.071878;0.765442;
69.999986;0.979677;1.069382;0.071589;0.760352;
69.999987;0.979677;1.069381;0.071589;0.760335;
69.999988;0.979677;1.069381;0.071589;0.760335;
69.999990;0.979677;1.069381;0.071589;0.760336;
69.999994;0.979678;1.069381;0.071589;0.760335;
70.000002;0.979678;1.069382;0.071589;0.760335;
70.000018;0.979678;1.069382;0.071589;0.760335;
70.000050;0.979678;1.069382;0.071589;0.760336;
70.000114;0.979678;1.069384;0.071590;0.760336;
70.000242;0.979678;1.069386;0.071590;0.760337;
70.000498;0.979679;1.069391;0.071590;0.760339;
70.001010;0.979681;1.069401;0.071590;0.760343;
70.002034;0.979685;1.069419;0.071590;0.760350;
70.004082;0.979692;1.069453;0.071591;0.760363;
70.008178;0.979703;1.069511;0.071592;0.760384;
70.016370;0.979716;1.069588;0.071594;0.760411;
70.032754;0.979722;1.069638;0.071594;0.760421;
70.065522;0.979689;1.069521;0.071591;0.760358;
70.098290;0.979630;1.069256;0.071584;0.760243;
70.163826;0.979519;1.068715;0.071572;0.760028;
70.294898;0.979389;1.067965;0.071558;0.759775;
70.425970;0.979303;1.067455;0.071548;0.759609;
70.688114;0.979211;1.066906;0.071538;0.759431;
70.950258;0.979168;1.066612;0.071534;0.759347;
71.474546;0.979150;1.066398;0.071532;0.759312;
71.998834;0.979149;1.066318;0.071532;0.759311;
73.047410;0.979152;1.066281;0.071532;0.759317;
75.144562;0.979155;1.066271;0.071532;0.759322;
79.338866;0.979156;1.066269;0.071532;0.759324;
87.727474;0.979156;1.066269;0.071532;0.759324;
97.727474;0.979156;1.066269;0.071532;0.759324;
107.727474;0.979156;1.066269;0.071532;0.759324;
117.727474;0.979156;1.066269;0.071532;0.759324;
127.727474;0.979156;1.066269;0.071532;0.759324;
137.727474;0.979156;1.066269;0.071532;0.759324;
147.727474;0.979156;1.066269;0.071532;0.759324;
150.000000;0.979156;1.066269;0.071532;0.759324;
